,delta 0,delta 1,delta 2,delta 3,delta 4,delta 5,total
0,0,57,37,27,21,17,159
1,0,15,6,4,1,0,26
2,0,9,3,3,1,1,17
3,0,4,1,5,3,6,19
4,0,2,3,3,3,0,11
5,0,10,4,1,1,1,17
6,0,6,1,6,1,5,19
7,0,8,2,3,1,0,14
8,0,6,2,4,4,1,17
9,0,3,2,1,3,0,9
10,0,4,0,3,1,2,10
11,0,6,2,0,1,2,11
12,0,8,2,0,0,2,12
13,0,2,5,1,2,2,12
14,0,2,2,2,0,0,6
15,0,9,3,1,1,1,15
16,0,6,1,2,0,1,10
17,0,6,4,0,3,3,16
18,0,3,2,2,1,4,12
19,0,3,1,1,1,1,7
20,0,3,1,1,3,0,8
21,0,6,1,1,0,1,9
22,0,1,1,1,0,0,3
23,0,4,3,3,2,3,15
24,0,3,2,1,3,0,9
25,0,2,3,1,1,3,10
26,0,1,3,2,2,2,10
27,0,4,1,1,0,2,8
28,0,1,4,0,1,1,7
29,0,1,0,1,0,0,2
30,0,2,1,0,2,2,7
31,0,1,1,0,1,1,4
32,0,0,4,1,1,1,7
33,0,0,1,2,1,2,6
34,0,1,1,0,2,1,5
35,0,0,0,0,2,0,2
36,0,0,1,3,0,1,5
37,0,0,2,1,0,0,3
38,0,0,4,2,2,1,9
39,0,0,2,0,1,1,4
40,0,0,1,0,0,0,1
41,0,0,0,4,1,0,5
42,0,0,3,1,1,3,8
43,0,0,1,3,0,1,5
44,0,0,1,1,2,0,4
45,0,0,1,1,2,4,8
46,0,0,2,3,1,1,7
47,0,0,1,0,1,1,3
48,0,0,2,3,2,0,7
49,0,0,4,0,0,1,5
50,0,0,4,0,2,2,8
51,0,0,4,1,1,1,7
52,0,0,1,0,1,3,5
53,0,0,4,0,1,1,6
54,0,0,5,3,0,1,9
55,0,0,1,2,1,0,4
56,0,0,5,5,0,0,10
57,0,0,2,0,1,0,3
58,0,0,1,2,0,0,3
59,0,0,4,1,3,1,9
60,0,0,3,2,1,0,6
61,0,0,0,0,1,1,2
62,0,0,3,0,4,0,7
63,0,0,3,0,1,2,6
64,0,0,2,2,1,1,6
65,0,0,3,0,2,2,7
66,0,0,0,1,4,0,5
67,0,0,1,0,3,0,4
68,0,0,0,1,3,2,6
69,0,0,2,2,1,0,5
70,0,0,1,2,0,0,3
71,0,0,0,1,2,0,3
72,0,0,0,3,1,3,7
73,0,0,0,2,2,1,5
74,0,0,0,3,0,2,5
75,0,0,0,1,0,3,4
76,0,0,0,1,0,0,1
77,0,0,1,0,3,4,8
78,0,0,1,1,2,1,5
79,0,0,0,3,0,2,5
80,0,0,0,0,2,1,3
81,0,0,0,4,3,0,7
82,0,0,1,1,3,2,7
83,0,0,1,2,6,0,9
84,0,0,0,1,2,3,6
85,0,0,1,2,3,1,7
86,0,0,0,0,2,2,4
87,0,0,0,3,0,1,4
88,0,0,0,2,3,1,6
89,0,0,0,4,1,1,6
90,0,0,0,3,0,1,4
91,0,0,0,1,1,1,3
92,0,0,0,0,5,2,7
93,0,0,0,4,4,3,11
94,0,0,0,2,4,6,12
95,0,0,0,3,2,1,6
96,0,0,0,3,1,2,6
97,0,0,0,1,4,0,5
98,0,0,0,0,2,3,5
99,0,0,0,1,2,3,6
100,0,0,0,0,2,2,4
101,0,0,0,2,1,1,4
102,0,0,0,2,1,5,8
103,0,0,0,2,2,2,6
104,0,0,0,0,2,0,2
105,0,0,0,2,3,1,6
106,0,0,0,1,0,1,2
107,0,0,0,1,0,4,5
108,0,0,0,0,2,0,2
109,0,0,0,0,1,0,1
110,0,0,0,0,0,1,1
111,0,0,0,1,2,1,4
112,0,0,0,1,0,2,3
113,0,0,0,0,0,1,1
114,0,0,0,0,4,2,6
115,0,0,0,0,3,1,4
116,0,0,0,0,2,2,4
117,0,0,0,0,1,2,3
118,0,0,0,0,2,2,4
119,0,0,0,1,1,2,4
120,0,0,0,0,1,3,4
121,0,0,0,1,0,1,2
122,0,0,0,0,0,1,1
123,0,0,0,0,0,1,1
124,0,0,0,0,1,1,2
125,0,0,0,0,1,2,3
126,0,0,0,1,1,1,3
127,0,0,0,0,0,1,1
128,0,0,0,0,1,1,2
129,0,0,0,0,1,0,1
133,0,0,0,0,1,0,1
134,0,0,0,0,1,0,1
135,0,0,0,0,0,1,1
136,0,0,0,0,1,2,3
138,0,0,0,0,1,0,1
139,0,0,0,0,1,1,2
145,0,0,0,0,0,1,1
148,0,0,0,0,1,0,1
150,0,0,0,0,1,0,1
151,0,0,0,0,0,1,1
154,0,0,0,0,1,0,1
