,count,game_hits,cell_fails,accuracy
2,2,1,1,0.9992
3,25,24,3,0.999808
4,34,34,0,1.0
5,6,2,12,0.9968
6,30,29,1,0.9999466666666667
7,7,5,6,0.9986285714285714
8,7,6,1,0.9997714285714285
9,5,3,4,0.99872
10,8,7,6,0.9988
11,7,5,7,0.9984
12,6,3,22,0.9941333333333333
13,4,2,8,0.9968
14,12,6,32,0.9957333333333334
15,5,1,28,0.99104
16,5,2,15,0.9952
17,4,0,16,0.9936
18,5,1,9,0.99712
19,1,1,0,1.0
20,4,3,3,0.9988
21,3,1,18,0.9904
22,5,3,12,0.99616
23,6,1,47,0.9874666666666667
24,5,2,19,0.99392
25,11,3,83,0.9879272727272728
26,2,0,9,0.9928
27,3,0,31,0.9834666666666667
28,2,0,9,0.9928
29,8,3,36,0.9928
30,6,0,75,0.98
31,7,2,70,0.984
32,2,0,12,0.9904
33,4,1,46,0.9816
34,1,0,4,0.9936
35,4,0,15,0.994
36,5,0,82,0.97376
37,3,0,34,0.9818666666666667
38,5,1,55,0.9824
39,3,0,36,0.9808
40,5,0,66,0.97888
41,3,0,69,0.9632000000000001
42,3,0,21,0.9888
43,2,1,17,0.9864
44,6,0,81,0.9784
45,5,0,56,0.98208
46,5,1,43,0.98624
48,7,2,118,0.9730285714285715
49,6,1,99,0.9736
50,2,0,56,0.9552
51,1,0,31,0.9504
52,3,0,34,0.9818666666666667
53,3,0,69,0.9632000000000001
54,7,1,147,0.9664
55,4,0,66,0.9736
56,7,0,161,0.9632000000000001
57,3,0,67,0.9642666666666667
58,9,0,150,0.9733333333333334
59,1,0,23,0.9632000000000001
60,4,0,145,0.942
61,4,0,86,0.9656
62,2,0,47,0.9624
63,1,0,19,0.9696
65,6,0,154,0.9589333333333333
66,4,0,107,0.9572
67,5,0,146,0.95328
68,4,0,151,0.9396
69,4,0,70,0.972
70,4,0,133,0.9468
71,1,0,2,0.9968
72,3,0,89,0.9525333333333333
73,3,0,82,0.9562666666666667
74,4,0,141,0.9436
75,3,0,92,0.9509333333333333
76,1,0,41,0.9344
77,6,0,95,0.9746666666666667
78,5,0,136,0.95648
79,4,0,135,0.946
80,2,0,116,0.9072
81,4,0,145,0.942
82,1,0,13,0.9792
83,3,0,152,0.9189333333333334
84,10,1,325,0.948
85,1,0,65,0.896
86,5,0,158,0.94944
87,7,0,273,0.9376
88,5,0,138,0.95584
89,2,0,106,0.9152
90,4,0,103,0.9588
91,5,0,169,0.94592
92,5,0,159,0.94912
93,4,0,150,0.94
94,9,0,392,0.9303111111111111
95,7,0,255,0.9417142857142857
96,2,0,135,0.892
97,5,0,226,0.92768
98,3,0,113,0.9397333333333333
99,5,0,150,0.952
100,4,0,180,0.928
101,8,0,433,0.9134
102,1,0,67,0.8928
103,6,0,342,0.9088
104,7,0,484,0.8893714285714286
105,5,0,303,0.90304
106,10,0,525,0.916
107,7,0,249,0.9430857142857143
108,4,0,137,0.9452
109,2,0,54,0.9568
110,8,0,470,0.906
111,4,0,322,0.8712
112,3,0,163,0.9130666666666667
113,9,0,687,0.8778666666666667
114,9,0,612,0.8912
115,3,0,174,0.9072
116,10,0,461,0.92624
117,4,0,237,0.9052
118,5,0,384,0.87712
119,7,0,362,0.9172571428571429
120,4,0,134,0.9464
121,5,0,293,0.90624
122,12,0,836,0.8885333333333333
123,7,0,570,0.8697142857142857
124,6,0,338,0.9098666666666666
125,4,0,181,0.9276
126,6,0,405,0.892
127,7,0,493,0.8873142857142857
128,10,0,677,0.89168
129,6,0,548,0.8538666666666667
130,7,0,662,0.8486857142857143
131,10,0,692,0.88928
132,8,0,444,0.9112
133,9,0,762,0.8645333333333334
134,8,0,598,0.8804
135,10,0,730,0.8832
136,6,0,467,0.8754666666666666
137,4,0,410,0.836
138,6,0,410,0.8906666666666667
139,12,0,777,0.8964
140,10,0,738,0.88192
141,5,0,391,0.87488
142,5,0,380,0.8784
143,8,0,483,0.9034
144,9,0,719,0.8721777777777777
145,6,0,529,0.8589333333333333
146,3,0,190,0.8986666666666667
147,5,0,319,0.89792
148,9,0,889,0.8419555555555556
149,4,0,363,0.8548
150,4,0,328,0.8688
151,9,0,511,0.9091555555555555
152,7,0,576,0.8683428571428571
153,5,0,339,0.89152
154,7,0,534,0.8779428571428571
155,11,0,697,0.8986181818181818
156,13,0,1121,0.8620307692307693
157,4,0,266,0.8936
158,3,0,189,0.8992
159,3,0,92,0.9509333333333333
160,4,0,286,0.8855999999999999
161,3,0,281,0.8501333333333333
162,6,0,293,0.9218666666666666
163,5,0,450,0.856
164,10,0,819,0.86896
165,10,0,807,0.87088
166,8,0,561,0.8878
167,7,0,539,0.8768
168,6,0,560,0.8506666666666667
169,4,0,517,0.7932
170,3,0,261,0.8608
171,2,0,244,0.8048
172,3,0,183,0.9024
173,3,0,99,0.9472
174,3,0,303,0.8384
175,5,0,327,0.8953599999999999
176,4,0,311,0.8756
177,5,0,291,0.90688
178,1,0,136,0.7824
180,1,0,23,0.9632000000000001
181,1,0,83,0.8672
182,1,0,27,0.9568
183,2,0,54,0.9568
184,2,0,254,0.7968
185,1,0,125,0.8
186,1,0,65,0.896
193,3,0,91,0.9514666666666667
196,1,0,28,0.9552
197,1,0,154,0.7536
200,1,0,85,0.864
