,Game Index,Delta,Target Lives,CNN Lives,CNN Errors,GA Lives,GA Errors,Target State,CNN Start,GA Start
0,50000,5,95,68,100,59,77,17404333379446008893330756256157618809021001271385006425042001618699643138126789783341823207959544619642998348138346638019718206777329519977557332372475040927030439240288634084246304063529,30916302977063752984291345688252052023014981917227475416032325827328314749804474455904148792203181544255873159100775982707604440731362550785620903849857880935004640076890160,950170595981822198598966789503433255680141737371774362562576845352148368219013274398565532263845890895146101006746317707555668447731815232532359761266025960604434464
1,50001,5,163,88,152,87,125,569998238039320598657949845068329024271950659995025722431053896226641059610014319775697415231365599578172605023625984650834668789774406425167905508958095260685827382091139304286385656016,646270500426731266192865023240275951198683568562822541006513407006693102156751185268953378394227710452512948252664520928261634215917059566092731978878034562231308287609969218927223386144,646270500426731266192922384610829902076793860260730134298814672212088473992847231452023284197635969135464651039623924148551428490791600991774729319296887864298323466467702120776007168032
2,50002,1,152,363,21,364,18,39159751578776701947338889769076165769041699090511971972284878482526131778034247891646230928906408078935012650253110441262961379770765121396339494734168007179422470509648276492913185129226,58192484077854774554283867221122644090323270309671934279793154089870966231619611902244260014344679757057446725088065562843608437603953043653708427366260325133143504269119230466054327558506,58192484077854774554283867221122644096870051525464218019819533483526487317287638069563434392541939753889231216424847007240277921727989956420271455958456420075570359503924729047654491152747
3,50003,2,95,428,23,429,17,29051215882027997108628688847442031063553169695098589994458923408511533700501784763206185226490759237079325227946851645104694089694234446209897986713979954232200692706715816467390468,69428748397750759072233102349040224834460952932992770606033223122960609660356756713848203331211304576651023649295440568317952390844541586403713397468005879342990427977335151185515960545268,69428748397750759072233102349040224834460952932992770605855772262536877509343738206063050348692822169850820133517933016134208771531900870854950235441129176159114368046995226419894589271028
4,50004,3,4,616,0,4,0,3802951914021483793361594744832,139234637988954637032459841145945367802352543898394494373609464774967965787265763965013310483941540799968344500122769199424197435660201664727220297294279920506982085416608301350701462716415,3802951914021483793361594744832
5,50005,4,131,409,130,414,95,70709874352332424469318389082400200599966529891411122674722372788161707485931672008099270418920278088836352193452909622412400058548957343916134458039118878941794396071679697215907185304064,62519584655606058739366731749507603365524004522366264946689829895408582212419157370086429471783261599545722703376049091173924644559884973387052947173217658217852735153025207327335345727454,62519584655606058739366731749507603365524004522366264946691562813967407761108400075345998111376965769141486631393047989920179912848332081308808617641801780338788596583070137212732128602110
6,50006,1,155,369,20,371,14,67985902163963121092258052537831194461561294112354724221352573852770566486520025371523430514137430860164651702489633349515243234422108591750052503362713402943563097751879896517086044160,122782107501052339650595913501671578396444472815566756992968053330003927639613310558520331274363778162527797828783798926687955086457944520428046392524260409465016918344508441197822949150719,87973448003812691070875061696831753342776437845625385264381526592395480117218304276200430299149038890496040919414315414780493803346630825404663896887392261583282168211453890560909778046975
7,50007,2,8,102,0,104,0,5463060079347187144386862351455854559365594496642798237739296232061838960176142008941492072396519383687078301428726717504241609260541460569128960,219924356747155188031419807422750391678238112940961137904230255352012351587299069086283882509403377857766843911904702280651734300976449898220072454071390162867016251372537794120384512,219924356747155188031419807422750391684481610043046799815584663592697331814572274440321107532496327897580567787905512097119142353755815941967253447435728451870444558598183567990194176
8,50008,2,139,383,69,381,47,8906147546783655998975244814252749930455760286988639757965562897683680659985780056342519322853589054943642019364386112805230774980003384491770994147854562317522505145647041612701091790861,113841870754002215293787293900446850077630641983254222919320646890281830550390336357772549497030735155752842522171392007210504082212376524766073452752839097976271112990376141029894413135853,113841870754002215293315548597344157408805034572099906890497875512052203660632707928267395546297008610397003135606104378462326139206819516753071501103923531355932314522199273233759067221997
9,50009,1,156,364,30,365,21,60983318230885214550647966166909488189075723386708979680139796945415322885431169442330045660480377316579723735145898901902758251356480562038904575965326695907964452694595622561246907991113,59641660614315293614956974381997533155411086262849165952001614486834107963164591320729349547505167245794112619847710054156514794697758791572513079689811197864758255769864378646582092709833,59641660614315293614956974381997533155411087823723440746578368029829277585085821609469402901693023384226763958105477780957974151394110879823730104938940430814705225308115531055927739105225
10,50010,4,83,449,78,453,54,2967964817677254408726868240293822750210630069042289095774184800766932251082040196960482547045083193248133173369516617730536272203147883165106077380553962575579463295908708352,87019954184438212690882021126786963011926268484418847789592005315103574699560584042097553602085889166647163734574399525074529347683611511233078285568607683268837836837032581837984853122939,87019954184439186554337821475889826240602783351329009105176055183379005045963223563011044478420832549542512250701714567171514458563937540822273691719250608648091829152929222098643654270843
