,delta 0,delta 1,delta 2,delta 3,delta 4,delta 5,total
0,0,58,20,27,16,16,137
1,0,16,4,5,4,4,33
2,0,9,2,1,4,6,22
3,0,4,7,1,2,4,18
4,0,4,5,3,5,4,21
5,0,8,0,2,4,2,16
6,0,10,1,2,1,2,16
7,0,6,1,0,1,1,9
8,0,3,1,4,2,1,11
9,0,3,1,2,2,1,9
10,0,9,1,3,2,4,19
11,0,6,0,4,2,3,15
12,0,5,1,1,1,3,11
13,0,3,3,1,2,3,12
14,0,7,1,1,1,0,10
15,0,5,1,3,0,0,9
16,0,8,2,0,1,1,12
17,0,3,0,1,0,2,6
18,0,1,0,3,3,4,11
19,0,3,1,1,1,3,9
20,0,2,1,1,4,2,10
21,0,3,3,1,1,0,8
22,0,6,2,0,1,4,13
23,0,4,0,2,2,2,10
24,0,1,1,1,0,1,4
25,0,3,0,0,0,1,4
26,0,2,2,2,2,0,8
27,0,2,1,2,1,0,6
28,0,2,2,2,0,1,7
29,0,1,1,2,2,1,7
30,0,1,1,0,0,2,4
31,0,0,0,0,1,1,2
32,0,1,1,2,1,0,5
33,0,0,1,1,1,4,7
34,0,0,1,4,0,1,6
35,0,0,0,0,0,3,3
36,0,0,1,0,1,2,4
37,0,0,0,0,2,2,4
38,0,0,4,0,1,1,6
39,0,0,0,2,3,1,6
40,0,0,2,1,1,0,4
41,0,0,0,1,3,1,5
42,0,0,1,0,1,2,4
43,0,0,0,1,2,0,3
44,0,0,2,2,2,1,7
45,0,0,3,1,4,1,9
46,0,0,4,0,0,0,4
47,0,0,3,2,2,1,8
48,0,0,1,0,1,0,2
49,0,0,1,2,3,0,6
50,0,0,2,1,2,0,5
51,0,0,2,2,1,0,5
52,0,0,3,1,2,1,7
53,0,0,0,1,2,1,4
54,0,0,0,2,0,2,4
55,0,0,1,0,2,1,4
56,0,0,4,1,1,1,7
57,0,0,2,0,1,3,6
58,0,0,2,0,4,0,6
59,0,0,1,2,1,0,4
60,0,0,0,2,2,4,8
61,0,0,1,1,4,3,9
62,0,0,1,0,1,0,2
63,0,0,0,2,1,3,6
64,0,0,2,1,1,4,8
65,0,0,1,1,1,2,5
66,0,0,2,2,1,1,6
67,0,0,2,1,1,6,10
68,0,0,3,2,1,3,9
69,0,0,0,1,1,1,3
70,0,0,0,1,3,2,6
71,0,0,0,1,2,3,6
72,0,0,3,0,1,1,5
73,0,0,3,3,2,1,9
74,0,0,2,0,3,2,7
75,0,0,0,0,6,4,10
76,0,0,2,2,1,0,5
77,0,0,2,2,0,2,6
78,0,0,2,1,1,3,7
79,0,0,3,2,6,1,12
80,0,0,4,2,2,1,9
81,0,0,4,3,4,0,11
82,0,0,2,2,1,4,9
83,0,0,1,4,1,3,9
84,0,0,1,2,5,2,10
85,0,0,2,0,2,1,5
86,0,0,1,2,1,1,5
87,0,0,3,3,2,1,9
88,0,0,2,1,2,0,5
89,0,0,4,2,3,3,12
90,0,0,2,2,3,0,7
91,0,0,1,0,0,1,2
92,0,0,3,3,2,2,10
93,0,0,4,1,4,2,11
94,0,0,1,6,1,1,9
95,0,0,3,2,1,1,7
96,0,0,4,2,1,1,8
97,0,0,0,3,1,3,7
98,0,0,1,5,1,1,8
99,0,0,2,2,0,1,5
100,0,0,2,2,0,1,5
101,0,0,1,0,3,1,5
102,0,0,1,0,1,1,3
103,0,0,0,1,1,3,5
104,0,0,0,2,1,0,3
105,0,0,1,1,0,1,3
106,0,0,0,0,2,1,3
107,0,0,0,2,2,2,6
108,0,0,0,2,0,0,2
109,0,0,1,1,2,0,4
110,0,0,0,1,4,1,6
111,0,0,0,1,1,0,2
112,0,0,0,1,1,0,2
113,0,0,0,0,1,1,2
114,0,0,0,0,2,0,2
115,0,0,0,0,1,0,1
116,0,0,0,2,0,1,3
118,0,0,0,1,0,0,1
119,0,0,0,0,0,1,1
120,0,0,0,0,0,1,1
122,0,0,0,0,1,0,1
123,0,0,0,0,2,0,2
124,0,0,1,1,0,1,3
133,0,0,0,0,1,0,1
140,0,0,0,0,1,0,1
145,0,0,0,0,1,0,1
