,count,cnn_fails,ga_fails,cnn_accuracy,ga_accuracy
2,2,1,0,0.9992,1.0
3,25,36,18,0.997696,0.998848
4,34,15,0,0.9992941176470588,1.0
5,6,21,7,0.9944,0.9981333333333333
6,30,11,5,0.9994133333333334,0.9997333333333334
7,7,9,7,0.9979428571428571,0.9984
8,7,3,5,0.9993142857142857,0.9988571428571429
9,5,13,2,0.99584,0.99936
10,7,0,4,1.0,0.9990857142857142
11,7,20,11,0.9954285714285714,0.9974857142857143
12,6,52,19,0.9861333333333333,0.9949333333333333
13,4,16,12,0.9936,0.9952
14,12,114,19,0.9848,0.9974666666666666
15,5,65,23,0.9792,0.99264
16,5,58,19,0.98144,0.99392
17,4,32,13,0.9872,0.9948
18,5,30,33,0.9904,0.98944
19,1,1,0,0.9984,1.0
20,4,3,5,0.9988,0.998
21,3,22,5,0.9882666666666666,0.9973333333333333
22,5,28,20,0.99104,0.9936
23,6,70,25,0.9813333333333334,0.9933333333333333
24,5,24,21,0.99232,0.99328
25,11,135,82,0.9803636363636363,0.9880727272727273
26,2,18,4,0.9856,0.9968
27,3,74,22,0.9605333333333334,0.9882666666666666
28,2,20,17,0.984,0.9864
29,8,50,56,0.99,0.9888
30,6,103,57,0.9725333333333334,0.9848
31,7,108,63,0.9753142857142857,0.9856
32,2,32,30,0.9744,0.976
33,4,61,32,0.9756,0.9872
34,1,5,11,0.992,0.9824
35,4,29,25,0.9884,0.99
36,5,163,95,0.94784,0.9696
37,3,44,15,0.9765333333333334,0.992
38,5,77,43,0.97536,0.98624
39,3,54,23,0.9712,0.9877333333333334
40,5,93,62,0.97024,0.98016
41,3,90,48,0.952,0.9744
42,3,25,22,0.9866666666666667,0.9882666666666666
43,2,18,10,0.9856,0.992
44,6,121,52,0.9677333333333333,0.9861333333333333
45,5,87,77,0.97216,0.97536
46,5,65,80,0.9792,0.9744
48,7,148,100,0.9661714285714286,0.9771428571428571
49,6,145,64,0.9613333333333334,0.9829333333333333
50,2,78,30,0.9376,0.976
51,1,42,19,0.9328,0.9696
52,3,37,41,0.9802666666666666,0.9781333333333333
53,3,79,69,0.9578666666666666,0.9632000000000001
54,7,193,128,0.9558857142857142,0.9707428571428571
55,4,87,83,0.9652000000000001,0.9668
56,7,235,153,0.9462857142857143,0.9650285714285715
57,3,76,73,0.9594666666666667,0.9610666666666666
58,9,204,183,0.9637333333333333,0.9674666666666667
59,1,24,24,0.9616,0.9616
60,4,184,121,0.9264,0.9516
61,4,99,113,0.9604,0.9548
62,2,61,52,0.9512,0.9584
63,1,26,32,0.9584,0.9488
65,6,199,182,0.9469333333333333,0.9514666666666667
66,4,120,79,0.952,0.9684
67,5,211,143,0.93248,0.95424
68,4,224,155,0.9104,0.938
69,4,104,87,0.9584,0.9652000000000001
70,4,153,109,0.9388,0.9564
71,1,4,2,0.9936,0.9968
72,3,120,82,0.9359999999999999,0.9562666666666667
73,3,122,77,0.9349333333333334,0.9589333333333333
74,4,171,87,0.9316,0.9652000000000001
75,3,127,77,0.9322666666666667,0.9589333333333333
76,1,43,34,0.9312,0.9456
77,6,129,135,0.9656,0.964
78,5,199,161,0.93632,0.94848
79,4,156,126,0.9376,0.9496
80,2,145,68,0.884,0.9456
81,4,200,104,0.92,0.9584
82,1,15,32,0.976,0.9488
83,3,186,150,0.9008,0.92
84,10,426,332,0.93184,0.9468799999999999
85,1,85,49,0.864,0.9216
86,5,226,124,0.92768,0.96032
87,7,388,273,0.9113142857142857,0.9376
88,5,185,145,0.9408,0.9536
89,2,139,82,0.8888,0.9344
90,4,154,164,0.9384,0.9344
91,5,205,163,0.9344,0.94784
92,5,225,210,0.928,0.9328
93,4,180,149,0.928,0.9404
94,9,523,387,0.9070222222222222,0.9312
95,7,348,271,0.9204571428571429,0.9380571428571428
96,2,198,119,0.8416,0.9048
97,5,302,254,0.9033599999999999,0.91872
98,3,137,101,0.9269333333333334,0.9461333333333334
99,5,175,158,0.944,0.94944
100,4,230,225,0.908,0.91
101,8,574,364,0.8852,0.9272
102,1,94,59,0.8496,0.9056
103,6,397,308,0.8941333333333333,0.9178666666666666
104,7,612,385,0.8601142857142857,0.912
105,5,391,294,0.87488,0.9059200000000001
106,10,741,486,0.88144,0.92224
107,7,369,230,0.9156571428571428,0.9474285714285714
108,4,182,225,0.9272,0.91
109,2,61,107,0.9512,0.9144
110,8,673,485,0.8654,0.903
111,4,426,250,0.8296,0.9
112,3,220,154,0.8826666666666667,0.9178666666666666
113,9,867,560,0.8458666666666667,0.9004444444444445
114,9,796,550,0.8584888888888889,0.9022222222222223
115,3,230,164,0.8773333333333333,0.9125333333333333
116,10,629,452,0.89936,0.92768
117,4,273,220,0.8908,0.912
118,5,517,360,0.83456,0.8848
119,7,488,347,0.8884571428571428,0.9206857142857143
120,4,184,182,0.9264,0.9272
121,5,396,299,0.8732800000000001,0.90432
122,12,1040,819,0.8613333333333333,0.8908
123,7,730,480,0.8331428571428572,0.8902857142857143
124,6,428,322,0.8858666666666667,0.9141333333333334
125,4,253,232,0.8988,0.9072
126,6,524,381,0.8602666666666667,0.8984
127,7,618,481,0.8587428571428571,0.8900571428571429
128,10,885,681,0.8584,0.89104
129,6,717,489,0.8088,0.8696
130,7,836,573,0.8089142857142857,0.8690285714285715
131,10,865,683,0.8616,0.89072
132,8,536,489,0.8928,0.9022
133,9,1014,696,0.8197333333333333,0.8762666666666666
134,8,760,622,0.848,0.8756
135,10,925,740,0.852,0.8815999999999999
136,6,617,497,0.8354666666666667,0.8674666666666666
137,4,532,307,0.7872,0.8772
138,6,505,433,0.8653333333333333,0.8845333333333333
139,12,987,883,0.8684000000000001,0.8822666666666666
140,10,935,671,0.8504,0.89264
141,5,496,422,0.84128,0.86496
142,5,479,351,0.84672,0.88768
143,8,615,482,0.877,0.9036
144,9,861,755,0.8469333333333333,0.8657777777777778
145,6,696,538,0.8144,0.8565333333333334
146,3,218,177,0.8837333333333334,0.9056
147,5,380,298,0.8784,0.90464
148,9,1132,873,0.7987555555555556,0.8448
149,4,461,355,0.8156,0.858
150,4,415,312,0.834,0.8752
151,9,651,621,0.8842666666666666,0.8896
152,7,756,614,0.8271999999999999,0.8596571428571429
153,5,445,380,0.8576,0.8784
154,7,675,586,0.8457142857142858,0.8660571428571429
155,11,895,657,0.8698181818181818,0.9044363636363636
156,13,1331,1141,0.8361846153846154,0.8595692307692308
157,4,329,230,0.8684000000000001,0.908
158,3,219,197,0.8832,0.8949333333333334
159,3,113,115,0.9397333333333333,0.9386666666666666
160,4,351,336,0.8596,0.8656
161,3,371,305,0.8021333333333334,0.8373333333333333
162,6,353,366,0.9058666666666667,0.9024
163,5,536,400,0.82848,0.872
164,10,1029,831,0.83536,0.86704
165,10,983,836,0.84272,0.86624
