,delta 0,delta 1,delta 2,delta 3,delta 4,delta 5,total
0,0,58,37,28,21,18,162
1,0,18,6,5,1,1,31
2,0,6,3,3,2,3,17
3,0,6,1,5,3,2,17
4,0,6,6,3,2,0,17
5,0,9,4,3,3,2,21
6,0,8,2,3,2,4,19
7,0,6,3,4,1,0,14
8,0,4,1,4,2,1,12
9,0,6,1,1,0,3,11
10,0,3,3,2,1,2,11
11,0,4,3,0,4,2,13
12,0,7,0,2,0,1,10
13,0,5,2,2,1,1,11
14,0,7,5,1,0,1,14
15,0,8,1,1,1,3,14
16,0,1,6,3,2,3,15
17,0,4,0,2,2,0,8
18,0,6,1,2,3,3,15
19,0,2,1,2,1,0,6
20,0,4,3,0,0,1,8
21,0,1,1,1,3,2,8
22,0,2,0,0,2,2,6
23,0,5,5,2,3,1,16
24,0,3,4,0,1,1,9
25,0,3,2,0,0,2,7
26,0,5,3,2,0,2,12
27,0,1,3,0,0,1,5
28,0,0,0,2,0,2,4
29,0,1,3,3,4,2,13
30,0,0,0,0,1,0,1
31,0,0,2,0,1,1,4
32,0,0,2,2,3,2,9
33,0,0,2,0,0,0,2
34,0,0,2,1,1,2,6
35,0,0,3,1,1,0,5
36,0,0,3,1,0,2,6
37,0,0,1,1,1,0,3
38,0,0,0,2,2,2,6
39,0,0,2,0,0,0,2
40,0,0,0,2,2,0,4
41,0,0,1,1,1,2,5
42,0,0,1,1,2,2,6
43,0,0,2,3,2,0,7
44,0,0,1,0,2,0,3
45,0,0,3,2,0,2,7
46,0,0,4,3,0,0,7
47,0,0,3,0,1,1,5
48,0,0,1,3,1,1,6
49,0,0,6,0,1,1,8
50,0,0,5,0,1,2,8
51,0,0,5,0,1,2,8
52,0,0,3,1,0,1,5
53,0,0,1,3,0,1,5
54,0,0,4,3,1,1,9
55,0,0,4,1,0,1,6
56,0,0,0,0,3,0,3
57,0,0,0,2,5,1,8
58,0,0,3,1,2,1,7
59,0,0,1,2,1,1,5
60,0,0,3,0,3,1,7
61,0,0,0,1,0,0,1
62,0,0,1,0,3,1,5
63,0,0,0,0,1,2,3
64,0,0,2,2,2,1,7
65,0,0,0,0,1,0,1
66,0,0,0,4,2,0,6
67,0,0,0,1,1,2,4
68,0,0,1,0,0,0,1
69,0,0,1,1,0,2,4
70,0,0,0,0,4,2,6
71,0,0,0,4,3,0,7
72,0,0,0,2,3,2,7
73,0,0,0,2,0,1,3
74,0,0,1,4,2,2,9
75,0,0,3,2,1,1,7
76,0,0,0,2,3,1,6
77,0,0,0,3,1,3,7
78,0,0,1,0,2,2,5
79,0,0,0,1,3,2,6
80,0,0,0,2,1,3,6
81,0,0,1,2,0,2,5
82,0,0,0,3,2,0,5
83,0,0,0,1,3,2,6
84,0,0,0,3,3,4,10
85,0,0,0,2,0,1,3
86,0,0,0,4,2,2,8
87,0,0,0,2,3,0,5
88,0,0,0,2,5,1,8
89,0,0,0,1,2,2,5
90,0,0,0,1,1,1,3
91,0,0,0,1,2,4,7
92,0,0,0,2,2,2,6
93,0,0,0,1,3,1,5
94,0,0,0,1,7,3,11
95,0,0,0,4,2,0,6
96,0,0,0,1,2,1,4
97,0,0,0,1,2,3,6
98,0,0,0,4,1,1,6
99,0,0,0,1,4,5,10
100,0,0,0,0,2,2,4
101,0,0,0,0,1,4,5
102,0,0,0,2,1,2,5
103,0,0,0,0,0,2,2
104,0,0,0,0,3,1,4
105,0,0,0,1,1,0,2
106,0,0,0,0,1,2,3
108,0,0,0,0,2,2,4
109,0,0,0,0,2,2,4
110,0,0,0,2,0,0,2
111,0,0,0,0,3,2,5
112,0,0,0,0,2,1,3
114,0,0,0,0,1,2,3
116,0,0,0,1,1,0,2
117,0,0,0,1,1,2,4
118,0,0,0,0,2,4,6
119,0,0,0,0,2,1,3
120,0,0,0,0,1,0,1
121,0,0,0,0,0,2,2
122,0,0,0,0,0,1,1
123,0,0,0,0,1,3,4
125,0,0,0,0,2,1,3
126,0,0,0,0,1,0,1
128,0,0,0,0,0,1,1
129,0,0,0,0,0,1,1
130,0,0,0,0,0,1,1
134,0,0,0,0,1,1,2
135,0,0,0,0,1,0,1
136,0,0,0,0,1,0,1
138,0,0,0,0,0,1,1
146,0,0,0,0,1,0,1
