,count,cnn_fails,ga_fails,cnn_accuracy,ga_accuracy
2,2,1,1,0.9992,0.9992
3,25,36,2,0.997696,0.999872
4,34,15,0,0.9992941176470588,1.0
5,6,21,12,0.9944,0.9968
6,30,11,1,0.9994133333333334,0.9999466666666667
7,7,9,3,0.9979428571428571,0.9993142857142857
8,7,3,1,0.9993142857142857,0.9997714285714285
9,5,13,2,0.99584,0.99936
10,8,6,6,0.9988,0.9988
11,7,20,7,0.9954285714285714,0.9984
12,6,52,18,0.9861333333333333,0.9952
13,4,16,5,0.9936,0.998
14,12,114,28,0.9848,0.9962666666666666
15,5,65,31,0.9792,0.99008
16,5,58,18,0.98144,0.99424
17,4,32,12,0.9872,0.9952
18,5,30,9,0.9904,0.99712
19,1,1,0,0.9984,1.0
20,4,3,3,0.9988,0.9988
21,3,22,18,0.9882666666666666,0.9904
22,5,28,11,0.99104,0.99648
23,6,70,37,0.9813333333333334,0.9901333333333333
24,5,24,16,0.99232,0.99488
25,11,135,78,0.9803636363636363,0.9886545454545455
26,2,18,10,0.9856,0.992
27,3,74,30,0.9605333333333334,0.984
28,2,20,9,0.984,0.9928
29,8,50,34,0.99,0.9932
30,6,103,67,0.9725333333333334,0.9821333333333333
31,7,108,63,0.9753142857142857,0.9856
32,2,32,12,0.9744,0.9904
33,4,61,38,0.9756,0.9848
34,1,5,3,0.992,0.9952
35,4,29,18,0.9884,0.9928
36,5,163,78,0.94784,0.97504
37,3,44,25,0.9765333333333334,0.9866666666666667
38,5,77,48,0.97536,0.98464
39,3,54,31,0.9712,0.9834666666666667
40,5,93,58,0.97024,0.98144
41,3,90,60,0.952,0.968
42,3,25,18,0.9866666666666667,0.9904
43,2,18,15,0.9856,0.988
44,6,121,77,0.9677333333333333,0.9794666666666667
45,5,87,53,0.97216,0.98304
46,5,65,38,0.9792,0.98784
48,7,148,105,0.9661714285714286,0.976
49,6,145,98,0.9613333333333334,0.9738666666666667
50,2,78,48,0.9376,0.9616
51,1,42,31,0.9328,0.9504
52,3,37,29,0.9802666666666666,0.9845333333333334
53,3,79,62,0.9578666666666666,0.9669333333333333
54,7,193,134,0.9558857142857142,0.9693714285714286
55,4,87,54,0.9652000000000001,0.9784
56,7,235,140,0.9462857142857143,0.968
57,3,76,59,0.9594666666666667,0.9685333333333334
58,9,204,138,0.9637333333333333,0.9754666666666667
59,1,24,19,0.9616,0.9696
60,4,184,122,0.9264,0.9512
61,4,99,80,0.9604,0.968
62,2,61,38,0.9512,0.9696
63,1,26,12,0.9584,0.9808
65,6,199,147,0.9469333333333333,0.9608
66,4,120,97,0.952,0.9612
67,5,211,131,0.93248,0.95808
68,4,224,141,0.9104,0.9436
69,4,104,57,0.9584,0.9772
70,4,153,114,0.9388,0.9544
71,1,4,2,0.9936,0.9968
72,3,120,77,0.9359999999999999,0.9589333333333333
73,3,122,73,0.9349333333333334,0.9610666666666666
74,4,171,134,0.9316,0.9464
75,3,127,87,0.9322666666666667,0.9536
76,1,43,32,0.9312,0.9488
77,6,129,87,0.9656,0.9768
78,5,199,121,0.93632,0.96128
79,4,156,120,0.9376,0.952
80,2,145,111,0.884,0.9112
81,4,200,137,0.92,0.9452
82,1,15,10,0.976,0.984
83,3,186,137,0.9008,0.9269333333333334
84,10,426,304,0.93184,0.95136
85,1,85,57,0.864,0.9088
86,5,226,150,0.92768,0.952
87,7,388,265,0.9113142857142857,0.9394285714285714
88,5,185,126,0.9408,0.95968
89,2,139,96,0.8888,0.9232
90,4,154,89,0.9384,0.9644
91,5,205,159,0.9344,0.94912
92,5,225,146,0.928,0.95328
93,4,180,130,0.928,0.948
94,9,523,381,0.9070222222222222,0.9322666666666667
95,7,348,238,0.9204571428571429,0.9456
96,2,198,120,0.8416,0.904
97,5,302,202,0.9033599999999999,0.93536
98,3,137,98,0.9269333333333334,0.9477333333333333
99,5,175,143,0.944,0.95424
100,4,230,164,0.908,0.9344
101,8,574,385,0.8852,0.923
102,1,94,62,0.8496,0.9008
103,6,397,321,0.8941333333333333,0.9144
104,7,612,444,0.8601142857142857,0.8985142857142857
105,5,391,279,0.87488,0.91072
106,10,741,496,0.88144,0.92064
107,7,369,245,0.9156571428571428,0.944
108,4,182,120,0.9272,0.952
109,2,61,51,0.9512,0.9592
110,8,673,444,0.8654,0.9112
111,4,426,306,0.8296,0.8776
112,3,220,158,0.8826666666666667,0.9157333333333333
113,9,867,622,0.8458666666666667,0.8894222222222222
114,9,796,590,0.8584888888888889,0.8951111111111111
115,3,230,168,0.8773333333333333,0.9104
116,10,629,437,0.89936,0.93008
117,4,273,222,0.8908,0.9112
118,5,517,376,0.83456,0.87968
119,7,488,342,0.8884571428571428,0.9218285714285714
120,4,184,140,0.9264,0.944
121,5,396,278,0.8732800000000001,0.91104
122,12,1040,758,0.8613333333333333,0.8989333333333334
123,7,730,554,0.8331428571428572,0.8733714285714286
124,6,428,322,0.8858666666666667,0.9141333333333334
125,4,253,162,0.8988,0.9352
126,6,524,387,0.8602666666666667,0.8968
127,7,618,470,0.8587428571428571,0.8925714285714286
128,10,885,640,0.8584,0.8976
129,6,717,527,0.8088,0.8594666666666667
