,Game Index,Delta,Target Lives,CNN Lives,CNN Errors,GA Lives,GA Errors,Target State,CNN Start,GA Start
0,50000,5,95,68,100,60,76,0010000000000000000000000111000000000000000000000010000000000000000000000000100111000000000000000100010011100000000000001000000010100000000000001000100000100000000000001000010001000000000000000100100000100001000000000000000000100000100000000000001000010000010000000101001100000100100000000010010000000010010000010001010000001001100000011100000000010000110100001000000000001000100000000011010000000100000000000000101100000001000000000011001110000000000001000011100001000000000000010000000000000000000010001100111000000000000100000001000000010000000000000011000000000000010000010000000000000000001000000001000000000000000101001,0000000000000000000000000000000000000000000000000001000000000000000000000001100001000000000000000000000001100000000000000010000000000000000000000001100011000000000000011100100000000000000000000000000000100000100000000000000000110000110001000000001000000000000000000001001100000000000000000001100000000000010001000000100000000011011000000100000000000001000000000110000000000100000000000010000000000110000000010000000100000000000100000000000110000000000010000000100000000000000000000000110000000000000100000100010000000010000110000110000000010000000000000010000000001000000000000000000000000000000100001100000000000000000110000,0000000000000000000000000000000000000000000000000001000000000000000000000000100001000000000000000000000001100000000000000000000000000000000000000001000011000000000000011100110000000000000000000000000010000000100000000000000000110000110000000000011000000000000000000101001100000000010000000001000000000000000000000000100000000010011000000100000000000001000000000110000000000100000000000010000000000110000000010000000000000000000100000000000010000000000010000000100000000000000000000000110000000000000100000100010000000000000100000110000000010000000000000010000000001000000000000000000000000000000100001100000000000000000110000
1,50001,5,163,88,152,85,118,0000000100001100010010101000000011111100000100010000100001001110000110000000000100001010000010001001110100001110000001001000000111100011000010110011100000000011100100010000110000011101110010000000000000000100000101001000000000000001000001100000000011000000100000011001000001100000000001010010100000000000000000011001001000000000000000000000011100111000000000000000010001000100000000000000011000101010001100000100000101010100001111000010000001100100001010101100010000010001001110000001011000001000100100000011111100011000000100000000111000001000010011100000000000000101110000110000000001100000001000000000000001101000011010000,0000000100110000001100010000000110000000000100011000000000000000000000000000011000001100100000000000011000000110000001000010000000000010000001100011000000010011000000000000000000011000000011000000000000000000000000010000000000000001000000000000000001000001100001100000000001100000000001100000100000000000000000000000110000000000000000000000010000001000000000000000000000001100000000000000010000100000000100000000001100010000000110000001000001100000000000000001100000000000000100001001100000000001100010000100000010001000100010000001000000001100100001000000010000000100000000000000000000000000000000001000000000011000000100000,0000000100110000001100000000000110000000000100011000000000000000000000000000011000001100000000000000011000001110000001000010000000000010000001100011000000010011000000100000000000001000000010000000000000000000000000010000000000000001000001000000000001000001100001100000000001100000000001100000100000000000000000000000110001000000000000000000010000001000000000000000000000001100000000000000000000100000000100000000001100010000000110000001000001100000000000000001100000000000000100001001101000000001000010000100000010001000000010000001000000001100000001000000010000000000000000000000000000000000000000001000000000011000000100001
2,50002,1,152,363,21,365,18,0100100000000000000000010010100110000000000000000110110000000000000000000011011100000000101000000001000000000000100100000000000000011000110010000000001100001100100011110000000110000000000001111100000010110000001101010000000101000100000001100110001101100000000000001001000110110000011011000111000001010000110100000000000000101011001010010000000000000001000000110000111000000000000100000000000000000000111110011100001000000000100100001110000000000000000100000101000000100000010000000001110010000000001010000001011100000000000010000001000111000010000000000000111001000001100000000111111000011111100010000100100000000001100001010,0110101011111110011110010010101100111111111111110110000100011111001111111001010111111100101011111100011001101100000101111110100111000010110010011111111001110011101110010011110010011011000101001101101010110011111101010001100100000101111001001011100101101111001001100000110010011110011011110111001001000000100100101100111110101001101010010111001111001111011010110110111011111110100111100111000011111110111000110111101111111110100100100001111101011111101001111100010101101111010001111001010010010111101011111111010001111101111010111111000101111010011110110010001101001000101001100100101011001010101010010100101101110000101101010,0110101011111110011110010010101100111111111111110110000100011111001111111001010111111100101011111100011001101100000101111110100111000010110010011111111001110011101110010011110010011011000101001101101010110011111101010001100100000101111001001011100101101111001000100000110010011110011011111111001101000000100100101100111110101001101010010111001111001111011010110110111011111110100111100111000011111110111000110111101111111110100100100001111101011111101001111100010101101111010001111001010010010111101011111011010001111101111010111111000101111010011110110010001101001000101001110100101011001010101010010100101101110000101101011
3,50003,2,95,428,23,427,16,0000000000000000000000111000000000100100011000010100000000010010010010001100000000000111001010000000000000000100100101000000000111000011100000000000000000000000010000011000000010001000000000000000000001000100000000000000000000000000000000000000000000001110000000000000000000000000000000011111100000000000000000001000000000000000010000000011000000000000001000000000001110000000000000100000000000100000000000001010000001000000000000100011000010000000000000000100010001101100000000000011110000110001000000000000011000000111000000000000000000000001000001100000000000000000000001011000000001010000000001101000000000110000000000100,0111111110100111001111011111111110100111011011010011111111100101010010100111111111110110100010011001110000110100111100111111111101110001100110111111111001011111001111100111111010010110110111101101111110100101111111111001111111101001111001111111111111100101111101100110011111110101111111001100100111111110111111101001001111111110101011111011010011111111010101011110000110011111110101010001111000101111111111101001011111001111111101000011011100010011111110101100001101101101111111001001111010010001011101111111000011100111001100111111111100111100011101101111111111011111111101010111111110010011111100101011111110010111111110100,0111111110100111001111011111111110100111011011010011111111100101010010100111110111110110100010011001110000110100111100111111111101110001100110111111111001011111001111100111111010010110110011101101111110100101111111111001111111101001111001111111111111100101111101100110011111110101111111001100110111111110111111101001001111111110101011111011010011111111010101011110000110111111110101010101111000101111111111101000011111001111111101000011011100010011111110101100001101101101111111001001111010010001011101111111000011100111001100111111111100111100011101101111111111011111111101010111111110010011111100101011111110010101111110100
4,50004,3,4,616,0,4,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000,1111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110001111111111111111111110100111111111111111111111101111111111111111111111111011111111111111111111111111111111111111111111111111,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000
5,50005,4,131,409,130,421,94,1000001000000010010000001000101100000100000100000000111000000010100100000000010110000000111100000000000101000000011100000110110000111000000000000111010000011110000000000100001000010001000000000110010000001000100000000100000000000001100000000010000010000000000000000001000001100000000000000000010000000011100000000000000100000010000000000000000010110101101000000000000000000000111000000000000000000110000000000000000000000011011100000110000000000000101110000011100000000000011111100000001000000000001110000000110011110000000010000000011000000100000011000000000011010110000010001011100000100010000000100001001000010001000000000,0111001011110011001011110111001101110011001011110011011001111001100111100110100011111101010011110110110011111111110011100110011111000111111111110001001111011100111111110010100111001001011000110001101101001100111111111001111101100110011111110100111100111110011111111100111110011100111111111111100111001100111111111111110010111110011011111111111001100111001010000011111100110011001101001111111111111001111001101111111001111100100111111100111111111111100100111100100011111111100010011110011011001111110011001111001101001111111010111111001100100111111000000110011100010011111001101010011110011001111110100111001101010011111011110,0111001011110011001011110111001101110011001011110011011001111001100111100110100011111101010011110110110111111111110011100110011111000111111110110001111111011100111111110010100111001001011000110011111101001100111111111001111101100110011111111100011100111110011111111100111110011100111111111111100111001100111111111111110011111110011011111111111001100111001011000011111100110011001101001111111111111001111001111111111001111110100111111100111111111111100100111100100011111111100010011110011111001111110111001111001111001111111010111111001100100111111000100110011100010011111001101010011110011001111100100111001101010011111111110
6,50006,1,155,369,20,372,14,0000000000100000000000000000011101100000000000000000000000110000100000000000001010011000110001110000001110001001000011000100011000100001100000001000101000000000100101110100010101000000001011010110001000100000110001111000011100000111110100011001001011000000000011001000000000100000000100010101111001100000001000011110101000010000001000100001010100000000000101011000101000110001000011000000011011000000100010100010011111000000000001010001000101100000000000101000001111001000000000001100000011001100000001000001000000011000000001001000010000000010000000010000010100000001000000000000000000000000000000000000000000110000000000000,1110000110111111111111111111111101001110111111111111110010000110001100011111010011101100100101110111001000101001011011000100111010101100101110001010101011110110100100110111110101011110001010000100101010100000110111001000000010100111110101001011111001011101000010101010001000111111100110000101101011101111101110110110001011000111110010101001010101001100110101001010101101111111011001010011001001000010111010011110110000011111001101010101000101101111101110101011011001101011111011101001111010001001111101011001001110011001111101001111010011110011111110110001010111111101011111001011101010001111001111111111111110100111111111111,1110000110111111111111111111111101001110111111111111110010000110001100011111010011101110100101110111001000101001011011000100101010101101101110001010101011110110100100110111110101011110001010000100101010100000110111001010010010100111110101001011111001011101000010101010001000111111100110000101101011101111101110110110001011000111110010101001010101001100110101001110101101111111011001010011001001000010111010011100110000011111001101010101000101101111101110101011011001101011111011101001111010001001111101011001001110011001111101001111010011110011111110110001010111111101011111001011101010001111001111111111111110100111111111111
7,50007,2,8,102,0,110,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110000000000000000000000101000000000000000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000110101000000000000000001111111110000000000000011111111111100000000000001111101111110000000000000011101011111000000000000011100100111110000000000001110101011011000000000000111001001111100000000000001110101111100000000000000111101111110000000000000000111111100000000000000000001100110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000000000000000000110101000000000000000001111111110000000000000011111111111100000000000001111101111110000000000000011101011111000000000000011110100111110000000000001110101011111000000000000111001001111100000000000001110101111100000000000000111101111110000000000000000111111100000000001000000001100110000000000100000000000000000000000001000000000000000000000000001000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
8,50008,2,139,383,69,384,39,0001000001100000000000110001100001000000000000000000000000100000000000000000000000100000000010000000000000100000000000000000000010001000111001000100000000100110000000100001000100000011000010000001000111000011100000000000010111000001110000000000111010000010000000000000011100010001000001010000001000000100100001001000011000000001000000100100001100000000110000001001001001000000011100000010011111100000000010000001001000011100001000000000010000100000000001100000000100001000000001100000000100100010000110011100000011001001101111011110000000000001110101000000101000000000000100110000010101000000000001010000101001000000000001101,1101000101001111111100010100101001011111111111100110101010011111111101111111101100111110111010111111110110100110101100100111111000001011010101000111111000110101101111010100011011111010111001110101110000111110011110101111010111010110101111001111010100010001010110111111110011000101010101000111100011110101011111001111101011111101001111001011101101111111001111101010010001011011101011111010010111100101010010111110011000001101100100111111110010111001101101011111110100101111110110100111110100101001110001001001111001001001000100110010010110011001001101000110101001111111010100111111011101011111111101000110101001010111111101101,1101000101001111111100010100101001011111111111100110101010011111111001111111101100111110111010111111110110100110101100100111111110001011010101000111111000110101101111010100011011111010111001110101110000111110011110101111010111010110101111001111010100110001010110111111110010000101010101000111100011110101011111001111101011111101011111001011101101111111001111101010010001011011101011111010010111100101010010111110011000001101100100111111010010011001101101011111110110101111110110101111110100101001110001001001011001001001000100110010010110011001001101000110101001111111010100111111011101011111111101000110101001010111111101101
9,50009,1,156,364,30,367,20,0111000000100000000101011000000010010001110100100100010100110000010000110010100001000000001011100010010001000000000101111111000001000000110010000011000100000000100000110000000111000000000000000000000000000000000000000000011100000000000000000000000110000000000000000000000010100000000000000000001100000000000000000110101001100000000000001010110000110110000000001001100000010011000000000011000111011110010000000000000000010001111001101100000000001100001100001000001010011110000000000011000101011110100000000000000000000001101100000000110011110110010110010000010001100010100010001000010110000000000001100000011000000010001001001,0110110110101000100101010010001010010110011100100101111100110011010010111110101001010111101010100010010101011110010111001001010111011110011010000010010100101110100110011110011101111111001111100111011010011111111111111111010011111111111111111111110000111111111111111111000110101111111111110000000101111111111111110110101101101001111111001000110110000110111111101001000011010011011111111011010111010000011100000110011110000001000011010111100010000111101001001000101010010010111101111011111101011100100111111110011100010001000101001110011000110110010010010110100011001010111000111011000110100101001101100001011010011111111001001,0110110111101000100101010010001010010110011100100101111100110011010010111110101001010111101010100010010101011110010111001001010111011110011010000110010100101110100110011110011100111111001111100111011010011111111111111111010011111111111111111111110000111111111111111111000110101111111111110000000101111111111111110110101101101001111111001000110110000110111111101001000011010011011111111011010111011000011100000110011110000001000011010111100110000111101001001000101010010010111101111011111101011100100111111110011100010001000101001110011000110110010010010110100011001010111000111011000110100101001101100001011010011111111001001
