,delta 0,delta 1,delta 2,delta 3,delta 4,delta 5,total
0,0,58,38,28,21,17,162
1,0,13,4,4,1,0,22
2,0,10,4,3,1,2,20
3,0,5,1,3,4,5,18
4,0,3,3,4,2,0,12
5,0,8,4,2,2,2,18
6,0,7,2,4,0,5,18
7,0,8,3,1,2,0,14
8,0,6,2,6,2,0,16
9,0,4,0,3,1,0,8
10,0,5,3,1,2,1,12
11,0,4,5,0,2,1,12
12,0,7,1,1,0,2,11
13,0,2,1,1,0,2,6
14,0,3,1,1,1,1,7
15,0,7,1,3,1,3,15
16,0,6,3,1,1,2,13
17,0,7,2,3,3,2,17
18,0,7,2,2,0,2,13
19,0,1,3,0,1,3,8
20,0,4,0,1,4,0,9
21,0,4,1,2,0,0,7
22,0,1,5,1,2,0,9
23,0,4,1,1,1,2,9
24,0,1,3,3,2,1,10
25,0,5,3,0,1,4,13
26,0,1,3,1,2,1,8
27,0,2,1,0,2,1,6
28,0,1,4,1,1,0,7
29,0,4,1,0,0,1,6
30,0,0,1,0,2,1,4
31,0,1,0,2,2,0,5
32,0,0,2,0,0,5,7
33,0,0,2,1,1,1,5
34,0,0,2,2,1,1,6
35,0,0,1,2,0,3,6
36,0,0,4,1,0,0,5
37,0,0,2,2,1,0,5
38,0,0,1,2,2,0,5
39,0,0,3,1,2,1,7
40,0,0,0,3,0,2,5
41,0,0,2,0,2,0,4
42,0,0,1,1,0,2,4
43,0,0,3,0,1,0,4
44,0,0,2,1,1,2,6
45,0,0,2,2,1,0,5
46,0,0,3,1,3,2,9
47,0,0,3,2,0,3,8
48,0,0,3,1,2,1,7
49,0,0,3,1,0,0,4
50,0,0,0,2,1,0,3
51,0,0,4,1,0,1,6
52,0,0,5,2,2,1,10
53,0,0,4,1,1,2,8
54,0,0,5,0,3,0,8
55,0,0,2,3,0,1,6
56,0,0,1,0,2,0,3
57,0,0,1,1,0,1,3
58,0,0,3,1,0,3,7
59,0,0,2,2,2,0,6
60,0,0,1,0,3,1,5
61,0,0,2,1,1,1,5
62,0,0,1,1,3,0,5
63,0,0,2,1,0,0,3
64,0,0,1,2,1,2,6
65,0,0,0,0,1,0,1
66,0,0,1,1,5,0,7
67,0,0,1,0,0,2,3
68,0,0,1,1,0,2,4
69,0,0,3,1,0,1,5
70,0,0,0,0,4,2,6
71,0,0,0,2,1,0,3
72,0,0,0,3,0,1,4
73,0,0,0,2,2,1,5
74,0,0,0,1,1,3,5
75,0,0,0,1,1,3,5
76,0,0,1,1,4,1,7
77,0,0,0,3,3,2,8
78,0,0,2,1,2,0,5
79,0,0,0,4,1,0,5
80,0,0,0,2,1,2,5
81,0,0,1,3,1,2,7
82,0,0,0,4,1,0,5
83,0,0,0,2,0,4,6
84,0,0,0,1,2,2,5
85,0,0,0,1,1,2,4
86,0,0,0,2,3,2,7
87,0,0,0,2,6,1,9
88,0,0,0,0,2,4,6
89,0,0,0,2,5,3,10
90,0,0,0,4,1,4,9
91,0,0,0,1,2,0,3
92,0,0,0,1,1,0,2
93,0,0,0,4,1,1,6
94,0,0,0,1,2,4,7
95,0,0,0,0,3,3,6
96,0,0,0,0,2,2,4
97,0,0,0,2,3,1,6
98,0,0,0,3,4,2,9
99,0,0,0,4,5,0,9
100,0,0,0,3,5,3,11
101,0,0,0,0,2,2,4
102,0,0,0,3,0,2,5
103,0,0,0,0,1,0,1
104,0,0,0,1,2,3,6
105,0,0,0,1,2,1,4
106,0,0,0,0,1,3,4
107,0,0,0,1,2,1,4
108,0,0,0,0,2,2,4
109,0,0,0,1,1,2,4
110,0,0,0,0,2,2,4
111,0,0,0,1,1,2,4
112,0,0,0,0,2,2,4
113,0,0,0,0,1,1,2
114,0,0,0,0,1,0,1
115,0,0,0,0,1,0,1
116,0,0,0,0,0,2,2
117,0,0,0,1,0,0,1
118,0,0,0,0,1,1,2
119,0,0,0,0,0,1,1
120,0,0,0,1,1,3,5
121,0,0,0,0,0,1,1
122,0,0,0,0,0,1,1
123,0,0,0,0,2,2,4
124,0,0,0,0,1,0,1
125,0,0,0,0,1,2,3
126,0,0,0,0,0,1,1
127,0,0,0,0,1,0,1
128,0,0,0,0,1,1,2
129,0,0,0,0,1,0,1
130,0,0,0,0,1,1,2
131,0,0,0,0,2,0,2
133,0,0,0,0,0,1,1
134,0,0,0,0,1,0,1
137,0,0,0,0,0,1,1
138,0,0,0,0,0,1,1
140,0,0,0,0,1,0,1
142,0,0,0,0,1,0,1
143,0,0,0,0,1,0,1
145,0,0,0,0,1,0,1
