,count,cnn_fails,ga_fails,cnn_accuracy,ga_accuracy
2,2,1,1,0.9992,0.9992
3,25,36,3,0.997696,0.999808
4,34,15,0,0.9992941176470588,1.0
5,6,21,11,0.9944,0.9970666666666667
6,30,11,1,0.9994133333333334,0.9999466666666667
7,7,9,6,0.9979428571428571,0.9986285714285714
8,7,3,1,0.9993142857142857,0.9997714285714285
9,5,13,4,0.99584,0.99872
10,7,0,0,1.0,1.0
11,7,20,8,0.9954285714285714,0.9981714285714286
12,6,52,21,0.9861333333333333,0.9944
13,4,16,10,0.9936,0.996
14,12,114,30,0.9848,0.996
15,5,65,34,0.9792,0.98912
16,5,58,18,0.98144,0.99424
17,4,32,10,0.9872,0.996
18,5,30,9,0.9904,0.99712
19,1,1,0,0.9984,1.0
20,4,3,3,0.9988,0.9988
21,3,22,18,0.9882666666666666,0.9904
22,5,28,12,0.99104,0.99616
23,6,70,45,0.9813333333333334,0.988
24,5,24,19,0.99232,0.99392
25,11,135,94,0.9803636363636363,0.9863272727272727
26,2,18,7,0.9856,0.9944
27,3,74,33,0.9605333333333334,0.9824
28,2,20,12,0.984,0.9904
29,8,50,34,0.99,0.9932
30,6,103,66,0.9725333333333334,0.9824
31,7,108,72,0.9753142857142857,0.9835428571428572
32,2,32,12,0.9744,0.9904
33,4,61,47,0.9756,0.9812
34,1,5,4,0.992,0.9936
35,4,29,21,0.9884,0.9916
36,5,163,86,0.94784,0.97248
37,3,44,33,0.9765333333333334,0.9824
38,5,77,53,0.97536,0.98304
39,3,54,35,0.9712,0.9813333333333334
40,5,93,63,0.97024,0.97984
41,3,90,65,0.952,0.9653333333333334
42,3,25,20,0.9866666666666667,0.9893333333333333
43,2,18,15,0.9856,0.988
44,6,121,81,0.9677333333333333,0.9784
45,5,87,57,0.97216,0.98176
46,5,65,51,0.9792,0.98368
48,7,148,108,0.9661714285714286,0.9753142857142857
49,6,145,109,0.9613333333333334,0.9709333333333333
50,2,78,52,0.9376,0.9584
51,1,42,32,0.9328,0.9488
52,3,37,34,0.9802666666666666,0.9818666666666667
53,3,79,63,0.9578666666666666,0.9664
54,7,193,145,0.9558857142857142,0.9668571428571429
55,4,87,62,0.9652000000000001,0.9752
56,7,235,149,0.9462857142857143,0.9659428571428571
57,3,76,62,0.9594666666666667,0.9669333333333333
58,9,204,148,0.9637333333333333,0.9736888888888889
59,1,24,20,0.9616,0.968
60,4,184,137,0.9264,0.9452
61,4,99,81,0.9604,0.9676
62,2,61,40,0.9512,0.968
63,1,26,15,0.9584,0.976
65,6,199,166,0.9469333333333333,0.9557333333333333
66,4,120,101,0.952,0.9596
67,5,211,148,0.93248,0.95264
68,4,224,144,0.9104,0.9424
69,4,104,60,0.9584,0.976
70,4,153,123,0.9388,0.9508
71,1,4,2,0.9936,0.9968
72,3,120,78,0.9359999999999999,0.9584
73,3,122,83,0.9349333333333334,0.9557333333333333
74,4,171,139,0.9316,0.9444
75,3,127,91,0.9322666666666667,0.9514666666666667
76,1,43,35,0.9312,0.944
77,6,129,94,0.9656,0.9749333333333333
78,5,199,136,0.93632,0.95648
79,4,156,132,0.9376,0.9472
80,2,145,110,0.884,0.912
81,4,200,138,0.92,0.9448
82,1,15,11,0.976,0.9824
83,3,186,139,0.9008,0.9258666666666666
84,10,426,323,0.93184,0.94832
85,1,85,59,0.864,0.9056
86,5,226,157,0.92768,0.94976
87,7,388,269,0.9113142857142857,0.9385142857142857
88,5,185,143,0.9408,0.95424
89,2,139,100,0.8888,0.92
90,4,154,99,0.9384,0.9604
91,5,205,162,0.9344,0.94816
92,5,225,152,0.928,0.95136
93,4,180,140,0.928,0.944
94,9,523,389,0.9070222222222222,0.9308444444444445
95,7,348,254,0.9204571428571429,0.9419428571428572
96,2,198,130,0.8416,0.896
97,5,302,222,0.9033599999999999,0.92896
98,3,137,111,0.9269333333333334,0.9408
99,5,175,154,0.944,0.95072
100,4,230,172,0.908,0.9312
101,8,574,420,0.8852,0.916
102,1,94,64,0.8496,0.8976
103,6,397,319,0.8941333333333333,0.9149333333333334
104,7,612,466,0.8601142857142857,0.8934857142857143
105,5,391,294,0.87488,0.9059200000000001
106,10,741,516,0.88144,0.91744
107,7,369,261,0.9156571428571428,0.9403428571428571
108,4,182,129,0.9272,0.9484
109,2,61,53,0.9512,0.9576
110,8,673,477,0.8654,0.9046
111,4,426,312,0.8296,0.8752
112,3,220,171,0.8826666666666667,0.9088
113,9,867,657,0.8458666666666667,0.8832
114,9,796,605,0.8584888888888889,0.8924444444444444
115,3,230,175,0.8773333333333333,0.9066666666666666
116,10,629,478,0.89936,0.92352
117,4,273,224,0.8908,0.9104
118,5,517,395,0.83456,0.8735999999999999
119,7,488,359,0.8884571428571428,0.9179428571428572
120,4,184,145,0.9264,0.942
121,5,396,292,0.8732800000000001,0.90656
122,12,1040,783,0.8613333333333333,0.8956
123,7,730,582,0.8331428571428572,0.8669714285714286
124,6,428,329,0.8858666666666667,0.9122666666666667
125,4,253,176,0.8988,0.9296
126,6,524,395,0.8602666666666667,0.8946666666666667
127,7,618,478,0.8587428571428571,0.8907428571428572
128,10,885,657,0.8584,0.89488
129,6,717,537,0.8088,0.8568
130,7,836,660,0.8089142857142857,0.8491428571428572
131,10,865,677,0.8616,0.89168
132,8,536,430,0.8928,0.914
133,9,1014,749,0.8197333333333333,0.8668444444444444
134,8,760,600,0.848,0.88
135,10,925,704,0.852,0.88736
136,6,617,475,0.8354666666666667,0.8733333333333333
137,4,532,399,0.7872,0.8404
138,6,505,391,0.8653333333333333,0.8957333333333333
139,12,987,748,0.8684000000000001,0.9002666666666667
140,10,935,721,0.8504,0.88464
141,5,496,362,0.84128,0.88416
142,5,479,372,0.84672,0.88096
143,8,615,470,0.877,0.906
144,9,861,684,0.8469333333333333,0.8784
145,6,696,535,0.8144,0.8573333333333333
146,3,218,183,0.8837333333333334,0.9024
147,5,380,315,0.8784,0.8992
148,9,1132,900,0.7987555555555556,0.84
149,4,461,355,0.8156,0.858
150,4,415,323,0.834,0.8708
151,9,651,516,0.8842666666666666,0.9082666666666667
152,7,756,567,0.8271999999999999,0.8704000000000001
153,5,445,342,0.8576,0.89056
154,7,675,521,0.8457142857142858,0.8809142857142858
155,11,895,718,0.8698181818181818,0.8955636363636363
156,13,1331,1068,0.8361846153846154,0.8685538461538461
157,4,329,254,0.8684000000000001,0.8984
158,3,219,187,0.8832,0.9002666666666667
159,3,113,94,0.9397333333333333,0.9498666666666666
160,4,351,281,0.8596,0.8876
161,3,371,282,0.8021333333333334,0.8496
162,6,353,285,0.9058666666666667,0.924
163,5,536,436,0.82848,0.86048
164,10,1029,811,0.83536,0.87024
165,10,983,778,0.84272,0.87552
166,8,668,533,0.8664000000000001,0.8934
167,7,692,540,0.8418285714285714,0.8765714285714286
168,6,703,555,0.8125333333333333,0.852
169,4,632,493,0.7472,0.8028
170,3,299,263,0.8405333333333334,0.8597333333333333
171,2,299,250,0.7608,0.8
172,3,220,188,0.8826666666666667,0.8997333333333334
173,3,110,91,0.9413333333333334,0.9514666666666667
174,3,341,276,0.8181333333333334,0.8528
175,5,375,297,0.88,0.90496
176,4,372,304,0.8512,0.8784
177,5,382,291,0.87776,0.90688
178,1,167,134,0.7328,0.7856
180,1,28,23,0.9552,0.9632000000000001
181,1,95,69,0.848,0.8896
182,1,31,25,0.9504,0.96
183,2,63,49,0.9496,0.9608
184,2,302,251,0.7584,0.7992
185,1,145,123,0.768,0.8032
186,1,87,68,0.8608,0.8912
193,3,110,87,0.9413333333333334,0.9536
196,1,32,28,0.9488,0.9552
197,1,209,143,0.6656,0.7712
200,1,93,81,0.8512,0.8704000000000001
