,delta 0,delta 1,delta 2,delta 3,delta 4,delta 5,total
0,0,2771,1709,1103,1055,798,7436
1,0,743,312,225,35,21,1336
2,0,484,339,190,50,57,1120
3,0,400,247,130,79,228,1084
4,0,312,237,202,134,25,910
5,0,294,201,149,85,61,790
6,0,292,171,141,112,82,798
7,0,300,151,124,106,49,730
8,0,279,132,131,104,88,734
9,0,305,128,123,97,104,757
10,0,289,129,97,102,124,741
11,0,299,110,104,96,101,710
12,0,318,120,90,84,135,747
13,0,270,123,99,74,78,644
14,0,281,119,86,72,80,638
15,0,292,124,70,71,75,632
16,0,243,118,77,62,81,581
17,0,253,115,80,85,85,618
18,0,240,112,74,66,78,570
19,0,204,92,63,69,94,522
20,0,177,90,59,70,68,464
21,0,162,105,65,54,55,441
22,0,153,107,65,56,67,448
23,0,126,97,71,61,76,431
24,0,123,110,62,63,69,427
25,0,86,87,51,65,67,356
26,0,80,111,69,67,55,382
27,0,62,120,70,50,42,344
28,0,53,98,81,60,51,343
29,0,47,117,65,65,57,351
30,0,20,92,68,52,54,286
31,0,33,108,77,54,56,328
32,0,20,115,65,53,51,304
33,0,15,113,55,47,63,293
34,0,16,107,67,53,68,311
35,0,16,102,60,68,49,295
36,0,6,135,53,56,44,294
37,0,9,103,51,47,41,251
38,0,6,123,64,48,57,298
39,0,4,125,64,61,51,305
40,0,2,122,81,47,57,309
41,0,2,117,62,45,50,276
42,0,2,112,56,53,52,275
43,0,1,123,58,48,50,280
44,0,0,124,63,44,53,284
45,0,0,124,68,55,49,296
46,0,0,124,64,47,55,290
47,0,0,113,69,59,63,304
48,0,0,130,72,55,54,311
49,0,0,121,62,41,60,284
50,0,0,107,82,57,65,311
51,0,0,88,47,63,58,256
52,0,0,124,87,70,51,332
53,0,0,120,80,55,43,298
54,0,0,122,76,60,55,313
55,0,0,89,69,61,46,265
56,0,0,102,78,60,62,302
57,0,0,104,74,61,74,313
58,0,0,68,87,47,51,253
59,0,0,73,75,69,54,271
60,0,0,76,71,48,60,255
61,0,0,70,59,71,61,261
62,0,0,65,73,76,77,291
63,0,0,70,87,51,51,259
64,0,0,53,75,59,69,256
65,0,0,54,78,49,54,235
66,0,0,49,77,62,60,248
67,0,0,51,85,57,57,250
68,0,0,34,78,50,60,222
69,0,0,45,84,67,72,268
70,0,0,28,82,59,75,244
71,0,0,25,86,70,59,240
72,0,0,33,107,81,71,292
73,0,0,40,101,83,76,300
74,0,0,28,94,72,73,267
75,0,0,28,95,77,84,284
76,0,0,17,79,77,76,249
77,0,0,16,104,69,64,253
78,0,0,21,97,57,90,265
79,0,0,10,77,70,87,244
80,0,0,7,92,64,74,237
81,0,0,7,97,82,101,287
82,0,0,11,101,74,78,264
83,0,0,8,97,81,87,273
84,0,0,4,89,82,93,268
85,0,0,3,82,89,85,259
86,0,0,8,73,90,95,266
87,0,0,6,93,98,93,290
88,0,0,3,113,103,108,327
89,0,0,2,82,95,106,285
90,0,0,5,78,74,92,249
91,0,0,2,86,87,88,263
92,0,0,0,93,86,92,271
93,0,0,1,66,88,98,253
94,0,0,0,55,86,118,259
95,0,0,0,61,86,90,237
96,0,0,0,64,82,102,248
97,0,0,0,60,83,102,245
98,0,0,0,50,82,95,227
99,0,0,1,62,90,107,260
100,0,0,1,38,82,88,209
101,0,0,0,53,70,105,228
102,0,0,1,54,90,80,225
103,0,0,0,44,91,66,201
104,0,0,0,54,80,81,215
105,0,0,0,27,76,64,167
106,0,0,0,50,87,88,225
107,0,0,0,34,86,74,194
108,0,0,0,28,77,82,187
109,0,0,0,27,72,76,175
110,0,0,0,30,62,69,161
111,0,0,0,30,75,76,181
112,0,0,0,9,65,68,142
113,0,0,0,15,66,63,144
114,0,0,0,13,50,58,121
115,0,0,0,13,53,89,155
116,0,0,0,13,52,63,128
117,0,0,0,21,66,43,130
118,0,0,0,14,58,64,136
119,0,0,0,13,44,51,108
120,0,0,0,6,48,37,91
121,0,0,0,6,47,51,104
122,0,0,0,7,30,43,80
123,0,0,0,8,44,53,105
124,0,0,0,4,32,30,66
125,0,0,0,2,37,43,82
126,0,0,0,3,42,35,80
127,0,0,0,4,24,31,59
128,0,0,0,4,31,28,63
129,0,0,0,1,32,23,56
130,0,0,0,1,25,29,55
131,0,0,0,2,18,17,37
132,0,0,0,1,20,25,46
133,0,0,0,0,14,13,27
134,0,0,0,2,14,19,35
135,0,0,0,0,12,18,30
136,0,0,0,0,16,12,28
137,0,0,0,1,9,16,26
138,0,0,0,0,8,13,21
139,0,0,0,0,6,9,15
140,0,0,0,0,6,3,9
141,0,0,0,0,10,6,16
142,0,0,0,0,5,12,17
143,0,0,0,0,3,7,10
144,0,0,0,0,3,1,4
145,0,0,0,0,5,3,8
146,0,0,0,0,5,9,14
147,0,0,0,0,3,3,6
148,0,0,0,0,1,5,6
149,0,0,0,0,3,5,8
150,0,0,0,0,3,4,7
151,0,0,0,0,7,0,7
152,0,0,0,0,1,2,3
153,0,0,0,0,1,1,2
154,0,0,0,0,1,3,4
155,0,0,0,0,2,1,3
156,0,0,0,0,0,2,2
157,0,0,0,0,1,1,2
158,0,0,0,0,2,1,3
159,0,0,0,0,1,0,1
160,0,0,0,0,1,1,2
162,0,0,0,0,1,1,2
170,0,0,0,0,0,1,1
173,0,0,0,0,1,0,1
