,count,cnn_fails,ga_fails,cnn_accuracy,ga_accuracy
2,62,45,31,0.9988387096774194,0.9992
3,964,1682,300,0.9972082987551867,0.9995020746887967
4,1137,798,10,0.9988770448548813,0.999985927880387
5,247,409,144,0.9973506072874494,0.9990672064777328
6,925,604,95,0.9989552432432433,0.9998356756756757
7,377,803,115,0.9965920424403183,0.9995119363395225
8,480,742,208,0.9975266666666667,0.9993066666666667
9,349,962,218,0.9955896848137535,0.9990005730659026
10,369,974,237,0.9957766937669377,0.9989723577235773
11,317,1267,446,0.993605047318612,0.9977488958990536
12,556,3368,1396,0.9903079136690648,0.9959827338129497
13,245,800,311,0.9947755102040816,0.9979689795918367
14,325,1422,598,0.9929993846153846,0.997056
15,330,2154,902,0.9895563636363637,0.9956266666666667
16,343,2099,977,0.9902087463556851,0.9954425655976676
17,248,1538,684,0.9900774193548387,0.9955870967741935
18,319,2277,1013,0.9885793103448276,0.9949191222570533
19,264,2015,933,0.9877878787878788,0.9943454545454545
20,356,3073,1612,0.9861887640449438,0.9927550561797753
21,280,2572,1242,0.9853028571428571,0.9929028571428571
22,280,2487,1178,0.9857885714285715,0.9932685714285714
23,279,2545,1281,0.985405017921147,0.9926537634408602
24,288,2985,1609,0.9834166666666667,0.9910611111111111
25,243,2791,1434,0.9816230452674897,0.990558024691358
26,255,3009,1569,0.98112,0.990155294117647
27,233,2521,1343,0.9826884120171674,0.9907776824034334
28,232,2993,1606,0.9793586206896552,0.9889241379310345
29,255,3120,1676,0.9804235294117647,0.9894839215686274
30,239,3340,1888,0.9776401673640167,0.9873606694560669
31,246,3360,1808,0.9781463414634146,0.9882406504065041
32,224,2937,1678,0.9790214285714286,0.9880142857142857
33,204,2758,1555,0.9783686274509804,0.9878039215686274
34,229,3255,1929,0.9772576419213974,0.9865222707423581
35,243,3391,2048,0.9776724279835391,0.9865152263374486
36,226,3787,2221,0.9731893805309735,0.9842761061946903
37,221,3665,2147,0.9734660633484162,0.984456108597285
38,217,3692,2215,0.9727778801843318,0.9836682027649769
39,220,3836,2221,0.9721018181818182,0.9838472727272727
40,223,4160,2412,0.970152466367713,0.9826941704035874
41,186,3344,2009,0.9712344086021505,0.9827182795698924
42,200,3324,2085,0.973408,0.98332
43,204,3922,2383,0.9692392156862745,0.9813098039215686
44,212,4415,2724,0.9666792452830189,0.9794415094339622
45,214,4333,2780,0.967603738317757,0.979214953271028
46,185,4074,2602,0.9647654054054055,0.9774962162162162
47,176,3867,2453,0.9648454545454546,0.9777
48,198,4346,2765,0.9648808080808081,0.9776565656565657
49,213,4620,2982,0.9652957746478873,0.9776
50,202,4395,2824,0.9651881188118812,0.9776316831683168
51,206,4859,3136,0.9622601941747573,0.9756427184466019
52,175,4344,2718,0.9602834285714286,0.9751497142857143
53,171,3806,2561,0.9643883040935672,0.9760374269005848
54,193,5084,3402,0.9578528497409327,0.9717968911917099
55,168,4516,2946,0.9569904761904762,0.9719428571428571
56,205,5640,3656,0.9559804878048781,0.9714653658536585
57,178,4434,2931,0.9601438202247191,0.9736539325842697
58,165,4724,3128,0.9541915151515151,0.9696678787878787
59,186,5587,3724,0.9519397849462365,0.9679655913978494
60,179,5028,3269,0.9550569832402235,0.9707798882681564
61,185,5608,3797,0.9514983783783784,0.9671610810810811
62,182,5362,3598,0.9528615384615384,0.9683692307692308
63,177,5243,3572,0.9526056497175142,0.9677107344632768
64,202,6135,4083,0.9514059405940594,0.9676594059405941
65,205,6417,4227,0.9499160975609756,0.9670087804878049
66,221,7630,5246,0.9447601809954751,0.9620199095022625
67,186,6514,4359,0.9439655913978494,0.9625032258064516
68,211,7272,4965,0.9448568720379147,0.962350710900474
69,187,6761,4524,0.942151871657754,0.9612919786096257
70,185,6743,4555,0.9416821621621622,0.9606054054054054
71,179,6234,4221,0.944277094972067,0.9622703910614525
72,202,7579,5311,0.9399683168316831,0.9579326732673268
73,202,7921,5524,0.9372594059405941,0.9562455445544554
74,193,6806,4566,0.9435772020725388,0.9621471502590674
75,172,7455,5222,0.9306511627906977,0.9514232558139535
76,156,5936,4083,0.9391179487179487,0.958123076923077
77,190,8271,5691,0.9303494736842105,0.9520757894736842
78,191,8211,5637,0.9312167539267016,0.9527790575916231
79,182,7692,5398,0.932378021978022,0.9525450549450549
80,204,8754,6067,0.9313411764705882,0.9524156862745098
81,190,8675,6040,0.9269473684210526,0.9491368421052632
82,205,9190,6292,0.9282731707317073,0.9508917073170732
83,231,10139,7036,0.9297731601731601,0.9512658008658008
84,202,9330,6479,0.9260990099009901,0.9486811881188119
85,188,8915,6278,0.9241276595744681,0.9465702127659574
86,201,9404,6535,0.9251422885572139,0.9479800995024875
87,206,10299,7176,0.9200077669902913,0.944264077669903
88,207,10765,7457,0.916792270531401,0.9423613526570048
89,191,9774,6758,0.9181235602094241,0.9433884816753927
90,232,11949,8422,0.9175931034482758,0.9419172413793103
91,199,10370,7290,0.9166231155778894,0.9413869346733669
92,232,11857,8171,0.9182275862068965,0.943648275862069
93,239,12119,8424,0.9188686192468619,0.9436050209205021
94,224,12462,8867,0.9109857142857143,0.9366642857142857
95,249,13962,9841,0.9102843373493976,0.9367646586345382
96,233,13132,9299,0.9098231759656652,0.9361442060085837
97,224,13384,9488,0.9044,0.9322285714285714
98,241,13918,10010,0.9075983402489627,0.9335435684647303
99,207,11787,8416,0.9088927536231884,0.9349487922705314
100,261,15925,11440,0.902375478927203,0.9298697318007663
101,223,14308,10179,0.8973417040358744,0.9269668161434977
102,217,13244,9474,0.9023483870967742,0.9301456221198157
103,254,16435,11909,0.8964724409448819,0.9249826771653543
104,262,16805,11930,0.8973740458015267,0.9271450381679389
105,278,18314,13316,0.8945956834532374,0.9233611510791366
106,247,15842,11426,0.8973797570850203,0.9259854251012145
107,262,17553,12504,0.892806106870229,0.9236396946564885
108,253,16989,12390,0.8925596837944664,0.9216442687747035
109,234,15908,11449,0.8912273504273505,0.9217162393162394
110,300,19965,14467,0.89352,0.9228426666666667
111,295,21349,15572,0.884208813559322,0.9155416949152543
112,279,19732,14176,0.8868415770609319,0.9187039426523298
113,285,20869,15198,0.882840701754386,0.9146778947368421
114,288,22383,16386,0.87565,0.9089666666666667
115,298,21864,15928,0.8826093959731544,0.9144805369127517
116,287,21460,15749,0.8803623693379791,0.9122006968641115
117,300,23077,16628,0.8769226666666666,0.9113173333333333
118,284,22443,16485,0.8735605633802817,0.9071267605633803
119,329,25333,18485,0.8768,0.9101033434650456
120,358,28833,21197,0.8711374301675978,0.9052648044692737
121,316,25437,18637,0.8712050632911392,0.9056354430379747
122,342,27436,20239,0.8716444444444444,0.905314619883041
123,312,25895,19084,0.8672051282051282,0.9021333333333333
124,343,28642,21098,0.8663930029154518,0.9015836734693877
125,338,28164,20832,0.8666792899408284,0.9013869822485208
126,331,28065,20923,0.8643383685800604,0.8988616314199396
127,373,31514,23337,0.8648193029490616,0.8998949061662198
128,323,27275,20070,0.8648916408668731,0.9005820433436532
129,323,27002,20087,0.8662439628482972,0.9004978328173374
130,389,33708,24851,0.8613552699228793,0.8977850899742931
131,364,30841,22891,0.8644351648351649,0.8993802197802198
132,407,34994,26106,0.8624314496314496,0.8973719901719902
133,389,34542,25678,0.8579249357326478,0.8943835475578407
134,394,34647,25889,0.8593015228426396,0.8948670050761421
135,380,32393,24173,0.8636084210526316,0.898218947368421
136,364,31544,23610,0.861345054945055,0.8962197802197802
137,427,40365,30267,0.8487494145199064,0.8865873536299766
138,389,34247,25445,0.8591383033419023,0.8953419023136246
139,387,33818,25205,0.8601839793281654,0.8957932816537468
140,362,33320,25216,0.8527292817679558,0.8885480662983425
141,399,37000,27647,0.8516290726817043,0.8891348370927318
142,377,32590,24557,0.8616870026525199,0.8957793103448276
143,387,35341,26666,0.853887338501292,0.8897529715762273
144,360,32742,24421,0.85448,0.8914622222222223
145,371,35400,26888,0.8473315363881402,0.8840409703504043
146,393,35870,27366,0.8539643765903308,0.8885862595419848
147,439,38071,28705,0.8612446469248292,0.895380410022779
148,374,35914,26933,0.8463572192513369,0.8847786096256685
149,345,31469,24114,0.8540568115942029,0.8881669565217392
150,381,35043,26589,0.8528377952755906,0.8883401574803149
151,368,35233,26774,0.8468130434782608,0.8835913043478261
152,304,28803,21560,0.8484052631578947,0.8865263157894737
153,348,32966,25156,0.848432183908046,0.8843402298850574
154,357,33364,25736,0.8504694677871149,0.8846565826330532
155,372,35300,27031,0.8481720430107527,0.8837376344086022
156,311,30310,22985,0.844064308681672,0.8817491961414791
157,317,28861,21899,0.8543293375394322,0.8894687697160883
158,309,28811,22048,0.8508168284789644,0.8858355987055017
159,263,25095,19217,0.8473307984790874,0.8830904942965779
160,296,25902,19800,0.8599891891891892,0.892972972972973
161,261,27007,20592,0.834439846743295,0.8737655172413793
162,300,27680,21103,0.8523733333333333,0.8874506666666666
163,288,28292,22010,0.8428222222222223,0.8777222222222222
164,262,25012,19234,0.8472549618320611,0.8825404580152671
