,delta 0,delta 1,delta 2,delta 3,delta 4,delta 5,total
0,0,3030,1861,1571,1611,1544,9617
1,0,623,241,82,38,27,1011
2,0,463,231,146,56,44,940
3,0,328,178,109,76,44,735
4,0,253,154,126,78,65,676
5,0,248,124,113,99,45,629
6,0,206,132,117,86,82,623
7,0,199,114,88,83,79,563
8,0,181,110,101,78,96,566
9,0,187,96,102,80,86,551
10,0,175,99,75,79,78,506
11,0,199,79,84,69,74,505
12,0,156,78,59,47,68,408
13,0,149,70,61,62,49,391
14,0,177,58,61,59,56,411
15,0,167,54,61,60,60,402
16,0,156,57,55,45,59,372
17,0,169,63,62,60,52,406
18,0,169,60,55,46,56,386
19,0,147,52,65,51,53,368
20,0,146,58,40,42,53,339
21,0,132,61,44,44,62,343
22,0,137,54,49,52,39,331
23,0,151,57,61,57,45,371
24,0,142,44,37,48,43,314
25,0,156,58,45,32,33,324
26,0,135,56,47,33,38,309
27,0,116,46,44,52,44,302
28,0,125,46,40,42,38,291
29,0,130,66,50,54,32,332
30,0,89,47,48,46,41,271
31,0,110,34,40,44,55,283
32,0,81,47,50,30,37,245
33,0,95,56,36,45,39,271
34,0,78,51,32,40,40,241
35,0,76,43,32,38,41,230
36,0,69,43,36,44,33,225
37,0,77,43,39,36,30,225
38,0,54,40,54,40,29,217
39,0,69,51,41,34,32,227
40,0,55,51,36,36,27,205
41,0,41,48,44,31,36,200
42,0,39,49,29,32,35,184
43,0,36,43,49,45,46,219
44,0,42,58,40,38,41,219
45,0,33,45,37,24,36,175
46,0,28,56,47,43,36,210
47,0,31,44,47,37,39,198
48,0,16,50,34,35,34,169
49,0,16,51,35,29,32,163
50,0,32,40,46,29,33,180
51,0,20,54,37,47,40,198
52,0,22,46,44,30,33,175
53,0,19,47,37,36,38,177
54,0,22,52,47,30,35,186
55,0,14,39,40,33,35,161
56,0,7,44,30,45,47,173
57,0,5,48,40,42,27,162
58,0,6,41,44,43,32,166
59,0,6,50,28,28,32,144
60,0,8,57,34,52,38,189
61,0,6,46,42,42,44,180
62,0,4,48,48,29,48,177
63,0,5,44,37,46,37,169
64,0,3,59,38,37,38,175
65,0,6,62,36,38,35,177
66,0,4,55,42,37,31,169
67,0,4,55,31,47,41,178
68,0,2,44,39,38,27,150
69,0,3,66,47,37,43,196
70,0,2,50,38,43,35,168
71,0,1,62,34,37,33,167
72,0,0,63,55,30,35,183
73,0,0,49,30,43,45,167
74,0,0,54,41,42,48,185
75,0,0,55,55,45,50,205
76,0,0,62,47,38,42,189
77,0,0,73,43,40,51,207
78,0,1,64,57,43,42,207
79,0,0,74,53,47,45,219
80,0,0,73,55,36,48,212
81,0,0,56,53,47,50,206
82,0,0,69,55,42,49,215
83,0,0,78,53,44,33,208
84,0,0,76,54,48,54,232
85,0,0,75,48,50,52,225
86,0,0,66,42,37,58,203
87,0,0,70,55,50,59,234
88,0,1,84,53,47,54,239
89,0,0,61,43,56,53,213
90,0,0,66,48,54,55,223
91,0,0,77,55,56,59,247
92,0,0,78,48,57,63,246
93,0,0,71,46,47,72,236
94,0,0,85,53,51,58,247
95,0,0,59,51,63,80,253
96,0,0,76,54,52,67,249
97,0,0,59,61,57,64,241
98,0,0,70,66,57,64,257
99,0,0,65,69,58,72,264
100,0,0,46,62,58,75,241
101,0,0,60,63,51,63,237
102,0,0,64,61,59,68,252
103,0,0,69,55,66,74,264
104,0,0,67,60,64,82,273
105,0,0,63,70,62,68,263
106,0,0,67,76,68,76,287
107,0,0,49,60,65,78,252
108,0,0,58,51,71,71,251
109,0,0,57,66,78,84,285
110,0,0,56,86,74,82,298
111,0,0,41,74,58,82,255
112,0,0,57,50,58,80,245
113,0,0,42,70,71,84,267
114,0,0,54,69,79,98,300
115,0,0,39,70,87,87,283
116,0,0,52,72,76,86,286
117,0,0,31,66,64,89,250
118,0,0,30,87,58,81,256
119,0,0,37,55,74,75,241
120,0,0,36,59,66,88,249
121,0,0,30,66,64,83,243
122,0,0,32,75,91,77,275
123,0,0,25,64,73,101,263
124,0,0,24,52,59,76,211
125,0,0,23,73,72,85,253
126,0,0,26,69,78,82,255
127,0,0,35,71,64,67,237
128,0,0,25,42,70,76,213
129,0,0,21,62,73,79,235
130,0,0,26,58,83,68,235
131,0,0,25,50,66,76,217
132,0,0,27,63,79,76,245
133,0,0,14,52,58,64,188
134,0,0,17,50,45,64,176
135,0,0,19,51,59,52,181
136,0,0,10,58,62,71,201
137,0,0,18,42,69,64,193
138,0,0,13,54,52,40,159
139,0,0,16,49,54,57,176
140,0,0,9,52,47,53,161
141,0,0,7,43,68,59,177
142,0,0,7,38,60,47,152
143,0,0,11,34,43,48,136
144,0,0,8,37,48,40,133
145,0,0,8,34,30,48,120
146,0,0,4,38,47,29,118
147,0,0,4,27,48,30,109
148,0,0,9,35,39,28,111
149,0,0,6,26,34,39,105
150,0,0,6,23,52,31,112
151,0,0,6,23,33,31,93
152,0,0,5,30,24,21,80
153,0,0,1,21,31,29,82
154,0,0,2,23,37,20,82
155,0,0,2,21,27,29,79
156,0,0,3,21,25,17,66
157,0,0,5,17,29,19,70
158,0,0,2,14,31,18,65
159,0,0,1,12,16,12,41
160,0,0,2,20,12,20,54
161,0,0,0,10,18,12,40
162,0,0,1,9,16,16,42
163,0,0,1,10,14,11,36
164,0,0,0,12,10,6,28
165,0,0,2,14,5,5,26
166,0,0,1,6,13,5,25
167,0,0,0,13,13,6,32
168,0,0,2,2,11,8,23
169,0,0,1,3,7,9,20
170,0,0,0,9,3,9,21
171,0,0,0,7,5,6,18
172,0,0,0,2,5,4,11
173,0,0,0,1,4,2,7
174,0,0,0,3,2,2,7
175,0,0,0,7,2,2,11
176,0,0,1,3,4,4,12
177,0,0,1,4,2,3,10
178,0,0,0,1,3,3,7
179,0,0,1,3,1,0,5
180,0,0,0,3,5,2,10
181,0,0,0,1,1,2,4
182,0,0,0,1,4,3,8
183,0,0,0,3,1,0,4
184,0,0,0,0,1,1,2
185,0,0,0,1,1,3,5
186,0,0,0,1,0,0,1
187,0,0,0,1,2,1,4
188,0,0,0,0,0,1,1
189,0,0,0,0,0,1,1
190,0,0,0,2,3,0,5
192,0,0,0,0,1,0,1
194,0,0,0,0,0,1,1
195,0,0,0,0,1,0,1
197,0,0,0,0,1,0,1
198,0,0,0,0,1,0,1
202,0,0,0,1,0,0,1
204,0,0,0,1,0,0,1
205,0,0,0,1,0,0,1
221,0,0,0,0,1,0,1
