,count,cnn_fails,ga_fails,cnn_accuracy,ga_accuracy
2,62,439,36,0.9886709677419355,0.9990709677419355
3,964,6735,12,0.9888215767634855,0.9999800829875519
4,1137,9227,10,0.9870156552330694,0.999985927880387
5,247,1879,23,0.9878283400809716,0.999851012145749
6,925,7853,49,0.9864164324324325,0.9999152432432432
7,377,4177,45,0.9822726790450929,0.9998090185676393
8,480,3174,170,0.98942,0.9994333333333333
9,349,711,111,0.9967404011461318,0.99949111747851
10,369,2028,166,0.9912065040650406,0.999280216802168
11,317,1719,218,0.9913236593059936,0.9988996845425867
12,556,4331,367,0.9875366906474821,0.9989438848920863
13,245,1422,207,0.9907134693877551,0.9986481632653061
14,325,2269,370,0.9888295384615384,0.9981784615384616
15,330,2343,398,0.98864,0.9980703030303031
16,343,2707,424,0.9873725947521866,0.9980221574344024
17,248,1917,451,0.9876322580645162,0.9970903225806451
18,319,2761,436,0.9861517241379311,0.9978131661442007
19,264,2292,539,0.9861090909090909,0.9967333333333334
20,356,3409,732,0.9846786516853933,0.9967101123595505
21,280,2817,813,0.9839028571428572,0.9953542857142857
22,280,2956,688,0.9831085714285714,0.9960685714285714
23,279,2839,726,0.9837189964157707,0.995836559139785
24,288,3516,898,0.9804666666666667,0.9950111111111111
25,243,2968,1025,0.9804576131687243,0.9932510288065843
26,255,3057,880,0.9808188235294117,0.994478431372549
27,233,3009,969,0.979337339055794,0.9933459227467811
28,232,3294,1157,0.9772827586206897,0.9920206896551724
29,255,3447,1204,0.9783717647058824,0.9924454901960784
30,239,3630,1198,0.9756987447698745,0.9919799163179917
31,246,3708,1377,0.9758829268292682,0.9910439024390244
32,224,3479,1189,0.97515,0.9915071428571428
33,204,3305,1293,0.974078431372549,0.9898588235294118
34,229,3916,1480,0.9726393013100436,0.9896593886462882
35,243,4412,1662,0.9709497942386831,0.9890567901234568
36,226,4305,1633,0.9695221238938053,0.9884389380530973
37,221,4203,1708,0.9695710407239819,0.9876343891402715
38,217,4369,1834,0.9677861751152074,0.9864774193548387
39,220,4266,1720,0.9689745454545454,0.9874909090909091
40,223,4848,2043,0.9652161434977579,0.9853417040358744
41,186,4207,1805,0.9638107526881721,0.9844731182795698
42,200,4232,1724,0.966144,0.986208
43,204,4872,2142,0.9617882352941176,0.9832
44,212,5073,2356,0.9617132075471698,0.9822188679245283
45,214,5549,2524,0.9585121495327102,0.9811289719626168
46,185,5039,2284,0.9564194594594595,0.9802464864864865
47,176,4574,2165,0.9584181818181818,0.9803181818181819
48,198,5569,2573,0.9549979797979798,0.9792080808080809
49,213,6118,2869,0.9540431924882629,0.9784488262910798
50,202,6052,2809,0.9520633663366337,0.977750495049505
51,206,6108,3101,0.9525592233009709,0.9759145631067961
52,175,5343,2584,0.9511497142857143,0.9763748571428571
53,171,5260,2505,0.9507836257309942,0.976561403508772
54,193,6195,3159,0.9486424870466321,0.9738113989637306
55,168,5826,3084,0.9445142857142858,0.9706285714285714
56,205,7506,3680,0.9414165853658536,0.9712780487804878
57,178,6272,3094,0.9436224719101124,0.9721887640449438
58,165,5827,2971,0.9434957575757575,0.9711903030303031
59,186,7168,3829,0.9383397849462366,0.9670623655913978
60,179,6754,3488,0.9396290502793296,0.9688223463687151
61,185,7634,4149,0.9339762162162162,0.9641167567567568
62,182,7178,3880,0.9368967032967033,0.9658901098901099
63,177,7344,4005,0.9336135593220339,0.9637966101694915
64,202,8353,4406,0.9338376237623762,0.96510099009901
65,205,9163,4879,0.9284839024390243,0.96192
66,221,10428,5926,0.9245031674208145,0.9570968325791855
67,186,8518,4783,0.9267268817204302,0.9588559139784947
68,211,9743,5394,0.9261194312796208,0.9590976303317535
69,187,9050,5056,0.9225668449197861,0.9567401069518716
70,185,9003,5210,0.9221362162162162,0.9549405405405406
71,179,8687,4904,0.9223508379888268,0.9561653631284917
72,202,9867,5915,0.9218455445544554,0.9531485148514851
73,202,10510,6357,0.9167524752475248,0.9496475247524753
74,193,9744,5497,0.919220725388601,0.9544290155440415
75,172,9637,5914,0.9103534883720931,0.9449860465116279
76,156,8031,4723,0.9176307692307692,0.9515589743589744
77,190,10674,6602,0.9101136842105263,0.9444042105263157
78,191,10733,6635,0.9100900523560209,0.9444188481675393
79,182,10278,6303,0.909643956043956,0.9445890109890109
80,204,12151,7496,0.9046980392156863,0.9412078431372549
81,190,11270,7076,0.9050947368421053,0.9404126315789474
82,205,12492,7732,0.9025014634146341,0.9396526829268292
83,231,13972,8617,0.9032242424242425,0.9403151515151515
84,202,12601,7978,0.900190099009901,0.9368079207920792
85,188,12044,7732,0.8974978723404256,0.9341957446808511
86,201,12897,8127,0.8973373134328358,0.9353074626865672
87,206,13503,8792,0.8951223300970874,0.9317126213592233
88,207,14433,9381,0.8884405797101449,0.9274898550724637
89,191,13286,8768,0.888703664921466,0.9265507853403141
90,232,16054,10775,0.8892827586206896,0.9256896551724138
91,199,14112,9179,0.8865366834170854,0.9261989949748743
92,232,15996,10463,0.8896827586206897,0.9278413793103448
93,239,16676,10779,0.8883615062761506,0.9278393305439331
94,224,16891,11324,0.87935,0.9191142857142858
95,249,18777,12923,0.879344578313253,0.9169606425702811
96,233,17587,11895,0.8792309012875537,0.9183175965665236
97,224,17860,12258,0.8724285714285714,0.9124428571428571
98,241,18772,12919,0.8753726141078838,0.9142307053941909
99,207,16123,10954,0.8753777777777778,0.9153314009661836
100,261,21433,15046,0.8686099616858238,0.9077639846743295
101,223,18632,13031,0.8663174887892376,0.9065040358744395
102,217,17775,12375,0.8689400921658986,0.9087557603686636
103,254,22313,15776,0.8594456692913386,0.9006236220472441
104,262,22384,15852,0.8633038167938931,0.9031938931297709
105,278,23517,17036,0.8646503597122303,0.9019510791366907
106,247,21391,15106,0.8614348178137652,0.9021473684210526
107,262,22521,16199,0.8624671755725191,0.9010748091603054
108,253,22826,16484,0.8556458498023716,0.8957533596837944
109,234,20757,15252,0.8580717948717949,0.8957128205128205
110,300,27261,19343,0.854608,0.8968373333333333
111,295,27954,20738,0.8483850847457627,0.8875227118644068
112,279,26281,18844,0.84928458781362,0.8919340501792115
113,285,27106,19995,0.8478259649122807,0.8877473684210526
114,288,28492,21681,0.8417111111111111,0.87955
115,298,28954,21412,0.8445422818791947,0.8850362416107382
116,287,27831,20690,0.8448445993031359,0.8846550522648083
117,300,30270,22504,0.83856,0.8799786666666667
118,284,28974,22034,0.8367661971830986,0.8758647887323944
119,329,33154,24941,0.8387647416413374,0.8787063829787234
120,358,37421,28567,0.8327553072625699,0.8723262569832402
121,316,33710,25499,0.8293164556962025,0.8708911392405063
122,342,35749,27012,0.832753216374269,0.8736280701754386
123,312,33595,25648,0.8277179487179487,0.8684717948717948
124,343,36506,28087,0.8297096209912537,0.8689819241982507
125,338,37168,28448,0.8240568047337278,0.8653349112426035
126,331,36282,27840,0.8246187311178248,0.8654259818731118
127,373,40996,31514,0.8241458445040215,0.8648193029490616
128,323,35981,27580,0.8217659442724459,0.8633808049535604
129,323,35493,27058,0.8241832817337461,0.8659665634674922
130,389,43602,33627,0.8206601542416453,0.8616884318766067
131,364,40505,31230,0.8219560439560439,0.8627252747252747
132,407,45552,35257,0.8209257985257985,0.861397542997543
133,389,45058,34827,0.8146714652956298,0.8567526992287917
134,394,45764,35601,0.814156345177665,0.8554274111675126
135,380,44535,33857,0.8124842105263158,0.8574442105263158
136,364,41957,32499,0.8155736263736264,0.8571472527472528
137,427,52601,41242,0.8029002341920375,0.8454632318501171
138,389,45310,34923,0.8136349614395887,0.8563578406169666
139,387,46147,35364,0.8092113695090439,0.8537922480620155
140,362,44175,34326,0.8047513812154696,0.8482828729281768
141,399,48097,37665,0.8071298245614035,0.8489624060150376
142,377,44548,34214,0.8109368700265251,0.8547946949602122
143,387,46992,36592,0.8057178294573644,0.8487152454780362
144,360,44581,34296,0.8018622222222223,0.8475733333333333
145,371,46959,36712,0.7974814016172507,0.8416733153638813
146,393,48360,37565,0.803114503816794,0.8470636132315521
147,439,52339,40129,0.8092428246013668,0.8537439635535308
148,374,47400,37225,0.7972192513368984,0.8407486631016043
149,345,42666,33297,0.8021286956521739,0.8455791304347826
150,381,47968,37361,0.7985595800524934,0.8431034120734908
151,368,47260,36861,0.7945217391304348,0.8397347826086956
152,304,39519,30606,0.7920052631578948,0.8389157894736842
153,348,45574,35327,0.790464367816092,0.8375770114942529
154,357,46521,36074,0.7915025210084033,0.8383238095238095
155,372,48947,37941,0.7894752688172043,0.8368129032258065
156,311,41354,32391,0.7872463022508038,0.8333581993569132
157,317,40931,31507,0.7934082018927445,0.8409741324921136
158,309,40289,31164,0.7913838187702266,0.8386330097087379
159,263,35059,27363,0.7867133079847909,0.8335330798479088
160,296,37588,28400,0.7968216216216216,0.8464864864864865
161,261,35902,28502,0.7799111111111111,0.8252750957854407
162,300,38958,29858,0.792224,0.8407573333333334
163,288,39233,30689,0.7820388888888888,0.8295055555555556
164,262,35401,27293,0.7838106870229008,0.8333251908396947
165,252,32691,24611,0.7924380952380952,0.8437396825396826
166,246,32954,25036,0.7856650406504064,0.8371642276422764
167,205,27824,21580,0.7828370731707317,0.8315707317073171
168,228,33062,25944,0.7679859649122807,0.8179368421052632
169,218,30000,23211,0.7798165137614679,0.8296440366972477
170,198,27066,20652,0.7812848484848485,0.8331151515151516
171,207,28324,21711,0.7810705314009662,0.8321855072463769
172,184,26338,20459,0.7709739130434783,0.8220956521739131
173,160,22553,17512,0.77447,0.8248800000000001
174,143,19851,15430,0.7778909090909091,0.8273566433566434
175,158,22056,17014,0.7766481012658228,0.827706329113924
176,151,21591,16665,0.7712211920529801,0.8234172185430464
177,124,17115,13141,0.7791612903225806,0.8304387096774194
178,137,19916,15445,0.7674043795620438,0.8196204379562044
179,117,16824,12708,0.7699282051282051,0.8262153846153846
180,94,13282,10185,0.7739234042553191,0.8266382978723404
181,91,12838,9973,0.7742769230769231,0.8246505494505494
182,108,15219,11733,0.7745333333333333,0.8261777777777778
183,96,12982,9346,0.7836333333333334,0.8442333333333334
184,65,9263,6998,0.7719876923076923,0.8277415384615385
185,78,10164,7795,0.7915076923076922,0.8401025641025641
186,74,10041,7507,0.7828972972972973,0.8376864864864865
187,69,9894,7535,0.7705739130434782,0.8252753623188406
188,61,8392,6457,0.7798819672131148,0.8306360655737706
189,52,6952,5149,0.7860923076923076,0.8415692307692307
190,41,6493,4885,0.7466146341463414,0.8093658536585366
191,35,4939,3723,0.7742171428571428,0.8298057142857143
192,40,5150,3672,0.794,0.85312
193,45,6845,5136,0.7566222222222222,0.8173866666666667
194,33,4260,3095,0.7934545454545454,0.849939393939394
195,32,4752,3693,0.7624,0.81535
196,28,4137,3143,0.7636000000000001,0.8204
197,22,3252,2443,0.7634909090909091,0.8223272727272727
198,22,3470,2647,0.7476363636363637,0.807490909090909
199,27,3855,2896,0.7715555555555556,0.8283851851851852
200,19,3222,2462,0.7286736842105264,0.7926736842105263
201,16,2362,1744,0.7638,0.8256
202,13,1990,1464,0.7550769230769231,0.8198153846153846
203,18,2388,1643,0.7877333333333334,0.8539555555555556
204,12,2041,1580,0.7278666666666667,0.7893333333333333
205,18,2791,2138,0.7519111111111112,0.8099555555555555
206,9,1549,1208,0.7246222222222223,0.7852444444444444
207,8,1307,1088,0.7385999999999999,0.7824
208,3,398,257,0.7877333333333334,0.8629333333333333
209,5,656,436,0.79008,0.86048
210,5,563,325,0.81984,0.896
211,2,272,180,0.7824,0.856
212,5,763,644,0.7558400000000001,0.79392
213,3,629,547,0.6645333333333334,0.7082666666666666
216,1,218,205,0.6512,0.6719999999999999
217,2,179,94,0.8568,0.9248
219,4,605,408,0.758,0.8368
222,1,217,162,0.6528,0.7408
223,1,232,176,0.6288,0.7183999999999999
225,1,69,39,0.8896,0.9376
226,1,226,202,0.6384000000000001,0.6768000000000001
227,1,224,204,0.6416,0.6736
228,1,164,88,0.7376,0.8592
233,1,99,55,0.8416,0.912
235,1,235,221,0.624,0.6464
