,count,game_hits,cell_fails,accuracy
2,2,2,0,1.0
3,25,25,0,1.0
4,34,34,0,1.0
5,6,5,1,0.9997333333333334
6,30,30,0,1.0
7,7,7,0,1.0
8,7,6,1,0.9997714285714285
9,5,4,1,0.99968
10,8,8,0,1.0
11,7,6,1,0.9997714285714285
12,6,6,0,1.0
13,4,3,3,0.9988
14,12,9,16,0.9978666666666667
15,5,3,16,0.99488
16,5,3,4,0.99872
17,4,1,8,0.9968
18,5,2,8,0.99744
19,1,1,0,1.0
20,4,3,2,0.9992
21,3,2,6,0.9968
22,5,3,6,0.99808
23,6,1,37,0.9901333333333333
24,5,2,16,0.99488
25,11,6,16,0.9976727272727273
26,2,1,6,0.9952
27,3,1,6,0.9968
28,2,0,8,0.9936
29,8,4,25,0.995
30,6,1,32,0.9914666666666667
31,7,2,35,0.992
32,2,1,2,0.9984
33,4,1,39,0.9844
34,1,0,2,0.9968
35,4,1,15,0.994
36,5,1,57,0.98176
37,3,1,8,0.9957333333333334
38,5,3,16,0.99488
39,3,1,8,0.9957333333333334
40,5,1,35,0.9888
41,3,0,56,0.9701333333333333
42,3,2,5,0.9973333333333333
43,2,1,9,0.9928
44,6,2,39,0.9896
45,5,1,27,0.99136
46,5,1,32,0.98976
48,7,2,63,0.9856
49,6,1,64,0.9829333333333333
50,2,0,47,0.9624
51,1,0,31,0.9504
52,3,1,15,0.992
53,3,0,62,0.9669333333333333
54,7,1,110,0.9748571428571429
55,4,1,38,0.9848
56,7,0,110,0.9748571428571429
57,3,0,41,0.9781333333333333
58,9,0,105,0.9813333333333334
59,1,0,20,0.968
60,4,0,71,0.9716
61,4,0,65,0.974
62,2,0,36,0.9712
63,1,0,14,0.9776
65,6,0,129,0.9656
66,4,0,90,0.964
67,5,0,112,0.96416
68,4,0,107,0.9572
69,4,1,43,0.9828
70,4,0,119,0.9524
71,1,0,2,0.9968
72,3,0,78,0.9584
73,3,1,55,0.9706666666666667
74,4,0,120,0.952
75,3,0,76,0.9594666666666667
76,1,0,30,0.952
77,6,0,96,0.9744
78,5,0,126,0.95968
79,4,0,116,0.9536
80,2,0,107,0.9144
81,4,0,133,0.9468
82,1,0,9,0.9856
83,3,0,132,0.9296
84,10,1,283,0.95472
85,1,0,58,0.9072
86,5,0,142,0.95456
87,7,0,249,0.9430857142857143
88,5,1,113,0.96384
89,2,0,79,0.9368
90,4,0,85,0.966
91,5,0,108,0.96544
92,5,0,147,0.95296
93,4,0,122,0.9512
94,9,0,343,0.9390222222222222
95,7,0,245,0.944
96,2,0,133,0.8936
97,5,0,190,0.9392
98,3,0,97,0.9482666666666667
99,5,0,143,0.95424
100,4,0,159,0.9364
101,8,0,388,0.9224
102,1,0,59,0.9056
103,6,0,319,0.9149333333333334
104,7,0,435,0.9005714285714286
105,5,0,289,0.90752
106,10,0,520,0.9168000000000001
107,7,0,238,0.9456
108,4,0,123,0.9508
109,2,0,48,0.9616
110,8,0,430,0.914
111,4,0,309,0.8764
112,3,0,139,0.9258666666666666
113,9,0,628,0.8883555555555556
114,9,0,595,0.8942222222222223
115,3,0,185,0.9013333333333333
116,10,0,449,0.92816
117,4,0,217,0.9132
118,5,0,369,0.88192
119,7,0,332,0.9241142857142857
120,4,0,136,0.9456
121,5,0,278,0.91104
122,12,0,751,0.8998666666666667
123,7,0,548,0.8747428571428572
124,6,0,318,0.9152
125,4,0,174,0.9304
126,6,0,370,0.9013333333333333
127,7,0,464,0.8939428571428572
128,10,0,628,0.89952
129,6,0,513,0.8632
130,7,0,647,0.8521142857142857
131,10,0,641,0.89744
132,8,0,407,0.9186
133,9,0,716,0.8727111111111111
134,8,0,576,0.8848
135,10,0,668,0.89312
136,6,0,451,0.8797333333333334
137,4,0,404,0.8384
138,6,0,363,0.9032
139,12,0,705,0.906
140,10,0,674,0.89216
141,5,0,356,0.88608
142,5,0,336,0.8924799999999999
143,8,0,473,0.9054
144,9,0,665,0.8817777777777778
145,6,0,508,0.8645333333333334
146,3,0,158,0.9157333333333333
147,5,0,294,0.9059200000000001
148,9,0,865,0.8462222222222222
149,4,0,338,0.8648
150,4,0,308,0.8768
151,9,0,497,0.9116444444444445
152,7,0,545,0.8754285714285714
153,5,0,314,0.89952
154,7,0,501,0.8854857142857143
155,11,0,692,0.8993454545454546
156,13,0,1046,0.8712615384615384
157,4,0,258,0.8968
158,3,0,181,0.9034666666666666
159,3,0,83,0.9557333333333333
160,4,0,265,0.894
161,3,0,277,0.8522666666666667
162,6,0,257,0.9314666666666667
163,5,0,419,0.86592
164,10,0,778,0.87552
165,10,0,765,0.8776
166,8,0,506,0.8988
167,7,0,519,0.8813714285714286
168,6,0,541,0.8557333333333333
169,4,0,489,0.8044
170,3,0,255,0.864
171,2,0,255,0.796
172,3,0,177,0.9056
173,3,0,87,0.9536
174,3,0,287,0.8469333333333333
175,5,0,291,0.90688
176,4,0,293,0.8828
177,5,0,302,0.9033599999999999
178,1,0,116,0.8144
180,1,0,23,0.9632000000000001
181,1,0,69,0.8896
182,1,0,25,0.96
183,2,0,52,0.9584
184,2,0,231,0.8152
185,1,0,115,0.8160000000000001
186,1,0,66,0.8944
193,3,0,84,0.9552
196,1,0,25,0.96
197,1,0,150,0.76
200,1,0,76,0.8784
