,delta 0,delta 1,delta 2,delta 3,delta 4,delta 5,total
0,0,67,41,31,28,31,198
1,0,15,4,9,0,2,30
2,0,7,5,2,2,3,19
3,0,4,1,2,2,0,9
4,0,5,4,2,4,0,15
5,0,8,3,3,3,3,20
6,0,5,1,6,4,2,18
7,0,7,1,1,1,1,11
8,0,4,3,3,3,2,15
9,0,9,4,3,2,1,19
10,0,4,1,2,2,0,9
11,0,5,3,0,0,2,10
12,0,4,2,2,1,3,12
13,0,2,1,2,0,0,5
14,0,8,3,1,1,2,15
15,0,6,3,2,0,1,12
16,0,2,2,1,3,0,8
17,0,6,1,3,0,3,13
18,0,3,0,0,3,2,8
19,0,4,5,2,0,1,12
20,0,3,3,2,0,0,8
21,0,4,1,0,1,0,6
22,0,2,2,0,3,0,7
23,0,3,2,1,0,3,9
24,0,1,2,1,1,3,8
25,0,5,3,0,1,1,10
26,0,2,1,0,1,2,6
27,0,2,2,1,0,1,6
28,0,0,3,2,1,1,7
29,0,1,5,1,3,0,10
30,0,0,0,1,1,1,3
31,0,1,0,1,2,1,5
32,0,0,3,2,0,3,8
33,0,0,0,1,2,1,4
34,0,0,3,1,0,0,4
35,0,0,2,1,0,0,3
36,0,0,3,1,0,1,5
37,0,0,1,3,1,0,5
38,0,0,0,1,2,0,3
39,0,0,3,2,0,0,5
40,0,0,1,0,0,0,1
41,0,0,3,0,1,1,5
42,0,0,2,2,2,0,6
43,0,0,2,1,2,3,8
44,0,0,5,1,1,0,7
45,0,0,4,4,1,2,11
46,0,0,2,0,0,1,3
47,0,0,2,0,0,1,3
48,0,0,2,1,3,2,8
49,0,0,4,3,2,1,10
50,0,0,4,1,1,1,7
51,0,0,9,0,1,1,11
52,0,0,2,1,0,1,4
53,0,0,1,1,0,2,4
54,0,0,3,2,0,1,6
55,0,0,1,0,4,1,6
56,0,0,1,0,1,1,3
57,0,0,0,4,2,0,6
58,0,0,0,0,5,0,5
59,0,0,2,1,1,1,5
60,0,0,0,1,0,1,2
61,0,0,0,3,2,1,6
62,0,0,1,1,1,0,3
63,0,0,3,0,0,0,3
64,0,0,1,1,2,3,7
65,0,0,1,0,1,1,3
66,0,0,2,0,2,0,4
67,0,0,0,4,0,1,5
68,0,0,0,1,2,1,4
69,0,0,0,1,1,1,3
70,0,0,0,2,1,2,5
71,0,0,1,3,2,1,7
72,0,0,0,3,1,1,5
73,0,0,0,1,1,3,5
74,0,0,1,1,2,1,5
75,0,0,0,1,1,2,4
76,0,0,0,4,2,1,7
77,0,0,1,2,3,3,9
78,0,0,0,3,2,1,6
79,0,0,0,4,5,2,11
80,0,0,0,3,2,0,5
81,0,0,0,4,0,3,7
82,0,0,0,1,0,3,4
83,0,0,0,0,2,0,2
84,0,0,0,2,3,3,8
85,0,0,1,2,2,0,5
86,0,0,0,0,2,2,4
87,0,0,0,2,3,3,8
88,0,0,0,0,3,3,6
90,0,0,0,3,3,0,6
91,0,0,0,4,5,1,10
92,0,0,0,2,1,1,4
93,0,0,0,1,6,5,12
94,0,0,0,3,3,4,10
95,0,0,0,3,1,2,6
96,0,0,0,1,6,4,11
97,0,0,0,2,0,4,6
98,0,0,0,1,2,1,4
99,0,0,0,0,3,0,3
100,0,0,0,1,1,2,4
101,0,0,0,0,3,3,6
102,0,0,0,0,1,1,2
103,0,0,0,0,0,1,1
104,0,0,0,1,1,0,2
106,0,0,0,0,0,2,2
107,0,0,0,1,1,1,3
108,0,0,0,1,2,0,3
109,0,0,0,0,1,2,3
110,0,0,0,1,0,3,4
111,0,0,0,0,2,0,2
112,0,0,0,0,1,3,4
113,0,0,0,0,3,0,3
114,0,0,0,1,1,1,3
115,0,0,0,0,2,1,3
116,0,0,0,0,0,1,1
117,0,0,0,0,3,2,5
118,0,0,0,0,1,1,2
119,0,0,0,0,0,2,2
120,0,0,0,0,1,0,1
121,0,0,0,0,0,1,1
122,0,0,0,0,1,2,3
123,0,0,0,0,0,1,1
124,0,0,0,0,1,0,1
125,0,0,0,0,0,1,1
126,0,0,0,0,1,0,1
127,0,0,0,0,0,1,1
128,0,0,0,0,0,1,1
130,0,0,0,0,1,0,1
132,0,0,0,0,1,2,3
137,0,0,0,0,0,1,1
138,0,0,0,0,1,0,1
140,0,0,0,0,1,0,1
146,0,0,0,0,1,0,1
147,0,0,0,0,0,1,1
148,0,0,0,0,1,0,1
149,0,0,0,0,1,0,1
