,count,game_hits,cell_fails,accuracy
2,2,1,1,0.9992
3,25,24,2,0.999872
4,34,34,0,1.0
5,6,5,1,0.9997333333333334
6,30,29,1,0.9999466666666667
7,7,7,0,1.0
8,7,6,1,0.9997714285714285
9,5,4,1,0.99968
10,8,8,0,1.0
11,7,6,2,0.9995428571428572
12,6,5,1,0.9997333333333334
13,4,2,7,0.9972
14,12,9,16,0.9978666666666667
15,5,3,15,0.9952
16,5,2,5,0.9984
17,4,1,8,0.9968
18,5,2,8,0.99744
19,1,1,0,1.0
20,4,3,3,0.9988
21,3,1,10,0.9946666666666667
22,5,4,2,0.99936
23,6,1,37,0.9901333333333333
24,5,2,12,0.99616
25,11,4,36,0.9947636363636364
26,2,1,9,0.9928
27,3,1,6,0.9968
28,2,0,7,0.9944
29,8,5,26,0.9948
30,6,1,35,0.9906666666666667
31,7,2,41,0.9906285714285714
32,2,1,4,0.9968
33,4,1,37,0.9852
34,1,0,4,0.9936
35,4,1,16,0.9936
36,5,1,59,0.98112
37,3,1,5,0.9973333333333333
38,5,3,23,0.99264
39,3,0,16,0.9914666666666667
40,5,1,47,0.98496
41,3,0,58,0.9690666666666666
42,3,2,9,0.9952
43,2,1,15,0.988
44,6,1,55,0.9853333333333333
45,5,1,28,0.99104
46,5,1,36,0.98848
48,7,2,92,0.9789714285714286
49,6,2,70,0.9813333333333334
50,2,0,48,0.9616
51,1,0,32,0.9488
52,3,0,29,0.9845333333333334
53,3,0,58,0.9690666666666666
54,7,1,114,0.9739428571428571
55,4,0,45,0.982
56,7,0,110,0.9748571428571429
57,3,0,45,0.976
58,9,0,107,0.9809777777777777
59,1,0,19,0.9696
60,4,0,100,0.96
61,4,0,62,0.9752
62,2,0,32,0.9744
63,1,0,17,0.9728
65,6,0,134,0.9642666666666667
66,4,0,80,0.968
67,5,1,120,0.9616
68,4,0,122,0.9512
69,4,0,52,0.9792
70,4,0,117,0.9532
71,1,0,3,0.9952
72,3,0,81,0.9568
73,3,1,55,0.9706666666666667
74,4,0,126,0.9496
75,3,0,77,0.9589333333333333
76,1,0,31,0.9504
77,6,0,85,0.9773333333333334
78,5,0,127,0.95936
79,4,0,119,0.9524
80,2,0,103,0.9176
81,4,0,133,0.9468
82,1,0,9,0.9856
83,3,0,127,0.9322666666666667
84,10,1,271,0.95664
85,1,0,55,0.912
86,5,0,146,0.95328
87,7,0,258,0.9410285714285714
88,5,1,118,0.96224
89,2,0,92,0.9264
90,4,0,86,0.9656
91,5,0,126,0.95968
92,5,0,149,0.95232
93,4,0,123,0.9508
94,9,0,356,0.936711111111111
95,7,0,258,0.9410285714285714
96,2,0,128,0.8976
97,5,0,204,0.93472
98,3,0,98,0.9477333333333333
99,5,0,143,0.95424
100,4,0,157,0.9372
101,8,0,375,0.925
102,1,0,61,0.9024
103,6,0,317,0.9154666666666667
104,7,0,419,0.9042285714285714
105,5,0,274,0.91232
106,10,0,482,0.92288
107,7,0,251,0.9426285714285715
108,4,0,121,0.9516
109,2,0,50,0.96
110,8,0,459,0.9082
111,4,0,303,0.8788
112,3,0,165,0.912
113,9,0,610,0.8915555555555555
114,9,0,589,0.8952888888888889
115,3,0,175,0.9066666666666666
116,10,0,447,0.92848
117,4,0,216,0.9136
118,5,0,389,0.87552
119,7,0,330,0.9245714285714286
120,4,0,139,0.9444
121,5,0,290,0.9072
122,12,0,745,0.9006666666666666
123,7,0,550,0.8742857142857143
124,6,0,322,0.9141333333333334
125,4,0,192,0.9232
126,6,0,372,0.9008
127,7,0,462,0.8944
128,10,0,602,0.90368
129,6,0,539,0.8562666666666667
130,7,0,620,0.8582857142857143
131,10,0,641,0.89744
132,8,0,406,0.9188000000000001
133,9,0,725,0.8711111111111112
134,8,0,549,0.8902
135,10,0,656,0.8950400000000001
136,6,0,451,0.8797333333333334
137,4,0,392,0.8432
138,6,0,389,0.8962666666666667
139,12,0,704,0.9061333333333333
140,10,0,690,0.8896
141,5,0,355,0.8864
142,5,0,348,0.88864
143,8,0,459,0.9082
144,9,0,654,0.8837333333333334
145,6,0,508,0.8645333333333334
146,3,0,180,0.904
147,5,0,305,0.9024
148,9,0,849,0.8490666666666666
149,4,0,338,0.8648
150,4,0,301,0.8796
151,9,0,487,0.9134222222222222
152,7,0,554,0.8733714285714286
153,5,0,344,0.88992
154,7,0,497,0.8864
155,11,0,691,0.8994909090909091
156,13,0,1023,0.8740923076923077
157,4,0,251,0.8996
158,3,0,171,0.9088
159,3,0,82,0.9562666666666667
160,4,0,263,0.8948
161,3,0,260,0.8613333333333333
162,6,0,249,0.9336
163,5,0,404,0.8707199999999999
164,10,0,776,0.87584
165,10,0,754,0.87936
166,8,0,498,0.9004
167,7,0,522,0.8806857142857143
168,6,0,538,0.8565333333333334
169,4,0,500,0.8
170,3,0,257,0.8629333333333333
171,2,0,244,0.8048
172,3,0,178,0.9050666666666667
173,3,0,87,0.9536
174,3,0,287,0.8469333333333333
175,5,0,295,0.9056
176,4,0,290,0.884
177,5,0,290,0.9072
178,1,0,122,0.8048
180,1,0,23,0.9632000000000001
181,1,0,64,0.8976
182,1,0,25,0.96
183,2,0,50,0.96
184,2,0,240,0.808
185,1,0,115,0.8160000000000001
186,1,0,66,0.8944
193,3,0,83,0.9557333333333333
196,1,0,25,0.96
197,1,0,149,0.7616
200,1,0,85,0.864
