,delta 0,delta 1,delta 2,delta 3,delta 4,delta 5,total
0,0,60,38,28,21,17,164
1,0,16,5,5,1,0,27
2,0,7,4,3,2,4,20
3,0,4,1,3,3,4,15
4,0,5,6,4,2,1,18
5,0,10,3,3,4,0,20
6,0,7,2,5,2,4,20
7,0,8,3,3,3,1,18
8,0,4,1,4,1,3,13
9,0,9,2,3,2,1,17
10,0,4,4,1,1,0,10
11,0,6,3,0,0,1,10
12,0,5,2,1,2,2,12
13,0,1,0,4,0,2,7
14,0,7,5,0,1,3,16
15,0,5,3,1,0,1,10
16,0,8,1,4,4,1,18
17,0,3,2,2,1,1,9
18,0,3,2,2,0,2,9
19,0,5,1,1,2,2,11
20,0,4,4,1,1,1,11
21,0,2,1,0,1,2,6
22,0,2,5,0,4,2,13
23,0,4,2,1,2,3,12
24,0,3,1,0,1,2,7
25,0,3,3,2,0,0,8
26,0,1,2,1,0,1,5
27,0,1,3,0,1,3,8
28,0,1,2,2,2,1,8
29,0,0,1,1,2,1,5
30,0,1,0,1,2,3,7
32,0,0,1,0,2,0,3
33,0,0,6,1,1,0,8
34,0,0,2,4,2,2,10
35,0,0,2,0,2,2,6
36,0,0,1,1,0,1,3
37,0,0,1,3,0,0,4
38,0,0,2,1,2,1,6
39,0,0,1,2,1,1,5
40,0,0,2,0,3,2,7
41,0,0,1,0,1,1,3
42,0,0,1,3,0,2,6
43,0,0,4,1,1,0,6
44,0,0,1,1,0,1,3
45,0,0,4,4,1,1,10
46,0,0,5,0,1,0,6
47,0,0,3,1,1,1,6
48,0,0,5,1,1,3,10
49,0,0,2,1,2,1,6
50,0,0,1,2,1,0,4
51,0,0,2,2,1,2,7
52,0,0,4,0,1,1,6
53,0,0,4,1,1,2,8
54,0,0,3,1,1,0,5
55,0,0,3,2,1,0,6
56,0,0,2,0,1,1,4
57,0,0,1,2,2,2,7
58,0,0,1,1,2,0,4
59,0,0,1,0,1,0,2
60,0,0,1,2,1,0,4
61,0,0,1,0,2,2,5
62,0,0,1,1,4,1,7
63,0,0,0,1,3,3,7
64,0,0,2,2,2,0,6
65,0,0,0,2,2,0,4
66,0,0,1,0,2,2,5
67,0,0,1,0,0,0,1
68,0,0,0,4,1,1,6
69,0,0,1,3,1,1,6
70,0,0,0,2,2,0,4
71,0,0,0,4,2,4,10
72,0,0,1,0,2,2,5
73,0,0,1,1,3,1,6
74,0,0,0,3,1,3,7
75,0,0,0,3,3,3,9
76,0,0,0,4,1,2,7
77,0,0,0,2,2,1,5
78,0,0,1,1,0,1,3
79,0,0,0,3,3,1,7
80,0,0,0,2,4,3,9
81,0,0,0,2,3,2,7
82,0,0,0,3,1,0,4
83,0,0,0,1,0,1,2
84,0,0,0,2,2,3,7
85,0,0,0,2,1,3,6
86,0,0,0,3,3,2,8
87,0,0,0,0,4,2,6
88,0,0,0,1,4,1,6
89,0,0,0,2,4,2,8
90,0,0,0,1,2,2,5
91,0,0,0,2,2,1,5
92,0,0,0,0,2,2,4
93,0,0,0,2,2,1,5
94,0,0,0,0,1,1,2
95,0,0,0,0,3,2,5
96,0,0,0,2,5,5,12
97,0,0,0,3,2,3,8
98,0,0,0,1,2,0,3
99,0,0,0,2,1,2,5
100,0,0,0,2,0,2,4
101,0,0,0,1,2,2,5
102,0,0,0,0,1,0,1
103,0,0,0,0,1,1,2
104,0,0,0,0,4,2,6
105,0,0,0,0,0,2,2
106,0,0,0,0,1,3,4
107,0,0,0,1,1,4,6
108,0,0,0,1,2,0,3
109,0,0,0,0,2,1,3
110,0,0,0,1,1,1,3
111,0,0,0,0,1,0,1
112,0,0,0,0,1,0,1
113,0,0,0,1,1,2,4
114,0,0,0,0,3,2,5
115,0,0,0,0,0,2,2
116,0,0,0,0,1,3,4
118,0,0,0,0,0,1,1
119,0,0,0,0,0,1,1
120,0,0,0,0,1,1,2
121,0,0,0,0,0,1,1
122,0,0,0,0,1,1,2
124,0,0,0,0,2,1,3
125,0,0,0,0,1,0,1
127,0,0,0,0,1,0,1
129,0,0,0,0,1,1,2
131,0,0,0,0,0,1,1
133,0,0,0,0,0,1,1
135,0,0,0,0,0,1,1
137,0,0,0,0,1,0,1
144,0,0,0,0,1,0,1
