,count,game_hits,cell_fails,accuracy
2,2,1,1,0.9992
3,25,24,2,0.999872
4,34,34,0,1.0
5,6,2,11,0.9970666666666667
6,30,29,1,0.9999466666666667
7,7,5,6,0.9986285714285714
8,7,6,1,0.9997714285714285
9,5,3,4,0.99872
10,8,7,5,0.999
11,7,5,3,0.9993142857142857
12,6,3,20,0.9946666666666667
13,4,2,8,0.9968
14,12,7,28,0.9962666666666666
15,5,1,29,0.99072
16,5,2,16,0.99488
17,4,1,13,0.9948
18,5,1,9,0.99712
19,1,1,0,1.0
20,4,3,3,0.9988
21,3,1,10,0.9946666666666667
22,5,3,9,0.99712
23,6,1,37,0.9901333333333333
24,5,2,16,0.99488
25,11,3,71,0.9896727272727273
26,2,0,10,0.992
27,3,0,22,0.9882666666666666
28,2,0,8,0.9936
29,8,3,33,0.9934
30,6,0,61,0.9837333333333333
31,7,2,64,0.9853714285714286
32,2,0,12,0.9904
33,4,1,40,0.984
34,1,0,4,0.9936
35,4,0,19,0.9924
36,5,0,77,0.97536
37,3,0,30,0.984
38,5,1,54,0.98272
39,3,0,35,0.9813333333333334
40,5,0,56,0.98208
41,3,0,59,0.9685333333333334
42,3,0,19,0.9898666666666667
43,2,1,15,0.988
44,6,1,73,0.9805333333333334
45,5,0,53,0.98304
46,5,1,40,0.9872
48,7,2,101,0.9769142857142857
49,6,1,90,0.976
50,2,0,49,0.9608
51,1,0,30,0.952
52,3,0,24,0.9872
53,3,0,62,0.9669333333333333
54,7,1,127,0.9709714285714286
55,4,0,46,0.9816
56,7,0,132,0.9698285714285715
57,3,0,57,0.9696
58,9,1,128,0.9772444444444445
59,1,0,18,0.9712
60,4,0,125,0.95
61,4,0,72,0.9712
62,2,0,38,0.9696
63,1,0,13,0.9792
65,6,0,134,0.9642666666666667
66,4,0,89,0.9644
67,5,1,127,0.95936
68,4,0,138,0.9448
69,4,0,53,0.9788
70,4,0,116,0.9536
71,1,0,2,0.9968
72,3,0,81,0.9568
73,3,0,68,0.9637333333333333
74,4,0,128,0.9488
75,3,0,81,0.9568
76,1,0,34,0.9456
77,6,0,85,0.9773333333333334
78,5,0,126,0.95968
79,4,0,117,0.9532
80,2,0,105,0.916
81,4,0,132,0.9472
82,1,0,9,0.9856
83,3,0,122,0.9349333333333334
84,10,1,281,0.95504
85,1,0,52,0.9168000000000001
86,5,0,147,0.95296
87,7,0,254,0.9419428571428572
88,5,0,126,0.95968
89,2,0,100,0.92
90,4,0,86,0.9656
91,5,0,152,0.95136
92,5,0,142,0.95456
93,4,0,127,0.9492
94,9,0,349,0.9379555555555555
95,7,0,228,0.9478857142857143
96,2,0,123,0.9016
97,5,0,201,0.93568
98,3,0,102,0.9456
99,5,0,135,0.9568
100,4,0,164,0.9344
101,8,0,379,0.9242
102,1,0,63,0.8992
103,6,0,305,0.9186666666666666
104,7,0,441,0.8992
105,5,0,273,0.91264
106,10,0,481,0.92304
107,7,0,245,0.944
108,4,0,113,0.9548
109,2,0,48,0.9616
110,8,0,427,0.9146
111,4,0,304,0.8784
112,3,0,160,0.9146666666666666
113,9,0,606,0.8922666666666667
114,9,0,578,0.8972444444444444
115,3,0,163,0.9130666666666667
116,10,0,437,0.93008
117,4,0,212,0.9152
118,5,0,365,0.8832
119,7,0,338,0.9227428571428571
120,4,0,130,0.948
121,5,0,275,0.912
122,12,0,733,0.9022666666666667
123,7,0,521,0.8809142857142858
124,6,0,310,0.9173333333333333
125,4,0,166,0.9336
126,6,0,370,0.9013333333333333
127,7,0,451,0.8969142857142857
128,10,0,605,0.9032
129,6,0,505,0.8653333333333333
130,7,0,624,0.8573714285714286
131,10,0,634,0.89856
132,8,0,398,0.9204
133,9,0,695,0.8764444444444445
134,8,0,563,0.8874
135,10,0,670,0.8928
136,6,0,425,0.8866666666666667
137,4,0,377,0.8492
138,6,0,370,0.9013333333333333
139,12,0,706,0.9058666666666667
140,10,0,689,0.88976
141,5,0,344,0.88992
142,5,0,351,0.88768
143,8,0,458,0.9084
144,9,0,657,0.8832
145,6,0,509,0.8642666666666667
146,3,0,172,0.9082666666666667
147,5,0,293,0.90624
148,9,0,855,0.848
149,4,0,337,0.8652
150,4,0,293,0.8828
151,9,0,474,0.9157333333333333
152,7,0,514,0.8825142857142857
153,5,0,318,0.89824
154,7,0,496,0.8866285714285714
155,11,0,677,0.9015272727272727
156,13,0,1029,0.8733538461538461
157,4,0,245,0.902
158,3,0,164,0.9125333333333333
159,3,0,87,0.9536
160,4,0,270,0.892
161,3,0,255,0.864
162,6,0,262,0.9301333333333334
163,5,0,399,0.87232
164,10,0,772,0.87648
165,10,0,746,0.88064
166,8,0,501,0.8998
167,7,0,509,0.8836571428571429
168,6,0,509,0.8642666666666667
169,4,0,472,0.8112
170,3,0,251,0.8661333333333333
171,2,0,228,0.8176
172,3,0,163,0.9130666666666667
173,3,0,92,0.9509333333333333
174,3,0,277,0.8522666666666667
175,5,0,282,0.90976
176,4,0,287,0.8852
177,5,0,286,0.90848
178,1,0,124,0.8016
180,1,0,23,0.9632000000000001
181,1,0,69,0.8896
182,1,0,24,0.9616
183,2,0,46,0.9632000000000001
184,2,0,247,0.8024
185,1,0,125,0.8
186,1,0,64,0.8976
193,3,0,80,0.9573333333333334
196,1,0,25,0.96
197,1,0,144,0.7696000000000001
200,1,0,78,0.8752
