,delta 0,delta 1,delta 2,delta 3,delta 4,delta 5,total
0,0,2840,1778,1103,1059,807,7587
1,0,737,347,238,38,50,1410
2,0,494,359,213,109,86,1261
3,0,403,253,146,99,188,1089
4,0,343,252,197,129,41,962
5,0,306,193,160,95,94,848
6,0,297,166,153,105,97,818
7,0,294,170,146,100,55,765
8,0,321,141,129,129,112,832
9,0,308,147,124,99,141,819
10,0,329,131,98,119,109,786
11,0,305,133,127,88,118,771
12,0,310,144,101,74,105,734
13,0,305,137,90,80,83,695
14,0,285,153,87,86,95,706
15,0,279,127,92,80,76,654
16,0,275,127,86,69,106,663
17,0,262,123,83,68,68,604
18,0,216,110,78,63,83,550
19,0,175,113,85,66,71,510
20,0,159,130,69,76,77,511
21,0,162,128,70,65,65,490
22,0,129,134,67,81,64,475
23,0,123,140,73,60,52,448
24,0,95,144,90,55,74,458
25,0,77,120,78,67,65,407
26,0,53,130,72,64,63,382
27,0,59,116,79,59,46,359
28,0,24,153,85,72,60,394
29,0,26,129,86,68,55,364
30,0,23,140,80,55,55,353
31,0,22,127,91,74,60,374
32,0,14,169,73,50,59,365
33,0,9,177,76,59,55,376
34,0,11,148,77,53,58,347
35,0,6,166,79,64,57,372
36,0,5,175,87,67,49,383
37,0,2,168,72,55,55,352
38,0,1,132,66,46,61,306
39,0,2,133,83,67,74,359
40,0,1,142,89,53,68,353
41,0,2,142,84,70,48,346
42,0,1,132,78,58,62,331
43,0,0,145,84,61,63,353
44,0,0,119,84,65,63,331
45,0,0,131,84,59,63,337
46,0,0,129,89,70,43,331
47,0,0,103,94,59,59,315
48,0,0,94,97,75,62,328
49,0,0,88,102,57,56,303
50,0,0,96,83,69,61,309
51,0,0,97,97,79,72,345
52,0,0,74,93,75,62,304
53,0,0,57,92,72,80,301
54,0,0,82,102,80,64,328
55,0,0,48,100,81,68,297
56,0,0,49,100,59,55,263
57,0,0,51,106,63,59,279
58,0,0,38,97,75,69,279
59,0,0,27,120,55,65,267
60,0,0,41,115,69,81,306
61,0,0,28,119,77,71,295
62,0,0,31,95,78,77,281
63,0,0,22,117,87,92,318
64,0,0,23,116,76,68,283
65,0,0,16,112,95,77,300
66,0,0,10,116,81,77,284
67,0,0,15,97,85,70,267
68,0,0,10,120,87,97,314
69,0,0,6,112,73,91,282
70,0,0,4,107,76,103,290
71,0,0,4,114,100,88,306
72,0,0,6,118,96,81,301
73,0,0,5,122,84,112,323
74,0,0,3,117,92,92,304
75,0,0,5,76,109,101,291
76,0,0,3,116,99,121,339
77,0,0,2,67,95,114,278
78,0,0,0,87,102,97,286
79,0,0,2,79,95,109,285
80,0,0,1,77,100,98,276
81,0,0,0,75,95,98,268
82,0,0,0,71,113,96,280
83,0,0,0,77,101,91,269
84,0,0,0,56,121,128,305
85,0,0,0,67,112,122,301
86,0,0,0,51,93,112,256
87,0,0,0,45,97,110,252
88,0,0,0,38,114,111,263
89,0,0,0,37,89,112,238
90,0,0,0,39,89,108,236
91,0,0,0,33,98,112,243
92,0,0,0,40,104,80,224
93,0,0,0,29,81,95,205
94,0,0,0,20,99,96,215
95,0,0,0,15,91,90,196
96,0,0,0,14,81,82,177
97,0,0,0,19,92,78,189
98,0,0,0,15,75,94,184
99,0,0,0,8,51,86,145
100,0,0,0,4,69,97,170
101,0,0,0,6,75,70,151
102,0,0,0,8,61,85,154
103,0,0,0,7,68,73,148
104,0,0,0,6,54,75,135
105,0,0,0,8,42,67,117
106,0,0,0,5,58,63,126
107,0,0,0,2,50,61,113
108,0,0,0,2,36,47,85
109,0,0,0,0,36,48,84
110,0,0,0,0,37,54,91
111,0,0,0,1,42,43,86
112,0,0,0,1,29,42,72
113,0,0,0,0,19,34,53
114,0,0,0,1,28,27,56
115,0,0,0,0,23,28,51
116,0,0,0,1,16,20,37
117,0,0,0,0,10,25,35
118,0,0,0,0,19,24,43
119,0,0,0,0,8,25,33
120,0,0,0,0,12,22,34
121,0,0,0,0,12,20,32
122,0,0,0,1,15,18,34
123,0,0,0,0,4,19,23
124,0,0,0,0,7,8,15
125,0,0,0,0,5,13,18
126,0,0,0,0,8,8,16
127,0,0,0,0,2,8,10
128,0,0,0,0,7,12,19
129,0,0,0,0,5,4,9
130,0,0,0,0,2,7,9
131,0,0,0,0,3,5,8
132,0,0,0,0,1,5,6
133,0,0,0,0,0,3,3
134,0,0,0,0,1,7,8
135,0,0,0,0,1,1,2
136,0,0,0,0,1,2,3
137,0,0,0,0,2,2,4
138,0,0,0,0,0,2,2
139,0,0,0,0,0,1,1
140,0,0,0,0,0,1,1
141,0,0,0,0,0,1,1
142,0,0,0,0,0,3,3
144,0,0,0,0,1,1,2
147,0,0,0,0,0,1,1
152,0,0,0,0,0,1,1
157,0,0,0,0,1,0,1
