,count,cnn_fails,ga_fails,cnn_accuracy,ga_accuracy
2,62,555,44,0.9856774193548387,0.9988645161290323
3,964,9062,261,0.9849593360995851,0.9995668049792531
4,1137,2497,11,0.9964861917326298,0.9999845206684257
5,247,1148,139,0.9925635627530365,0.9990995951417004
6,925,3432,82,0.9940635675675675,0.9998581621621622
7,377,1423,108,0.9939607427055703,0.9995416445623342
8,480,1411,192,0.9952966666666667,0.99936
9,349,1372,204,0.9937100286532952,0.9990647564469914
10,369,1241,213,0.9946189701897019,0.9990764227642276
11,317,1553,386,0.9921615141955836,0.9980517350157728
12,556,3843,1176,0.9889410071942446,0.9966158273381295
13,245,932,278,0.9939134693877552,0.9981844897959183
14,325,1548,514,0.9923790769230769,0.9974695384615384
15,330,2248,781,0.989100606060606,0.9962133333333333
16,343,2186,857,0.989802915451895,0.996002332361516
17,248,1599,574,0.9896838709677419,0.9962967741935483
18,319,2365,892,0.9881379310344828,0.9955260188087774
19,264,2049,832,0.9875818181818182,0.9949575757575757
20,356,3245,1438,0.9854157303370786,0.9935370786516854
21,280,2614,1124,0.9850628571428571,0.9935771428571428
22,280,2508,1053,0.9856685714285714,0.9939828571428572
23,279,2595,1144,0.9851182795698925,0.9934394265232975
24,288,3004,1456,0.9833111111111111,0.9919111111111111
25,243,2838,1302,0.9813135802469136,0.9914271604938272
26,255,3077,1451,0.9806933333333333,0.9908956862745099
27,233,2549,1202,0.9824961373390558,0.9917459227467811
28,232,3006,1497,0.9792689655172414,0.9896758620689655
29,255,3217,1542,0.9798149019607844,0.990324705882353
30,239,3393,1691,0.9772853556485356,0.9886794979079498
31,246,3389,1611,0.9779577235772358,0.9895219512195121
32,224,3022,1462,0.9784142857142857,0.9895571428571428
33,204,2853,1413,0.9776235294117647,0.9889176470588236
34,229,3306,1754,0.9769013100436681,0.9877449781659389
35,243,3480,1859,0.9770864197530864,0.987759670781893
36,226,3843,2019,0.9727929203539823,0.9857061946902654
37,221,3769,1964,0.9727131221719457,0.9857809954751131
38,217,3831,2004,0.9717529953917051,0.9852239631336406
39,220,3953,1994,0.971250909090909,0.9854981818181818
40,223,4189,2153,0.9699443946188341,0.984552466367713
41,186,3403,1835,0.9707268817204301,0.9842150537634409
42,200,3517,1850,0.971864,0.9852
43,204,4175,2135,0.9672549019607843,0.9832549019607844
44,212,4556,2491,0.9656150943396227,0.9812
45,214,4564,2579,0.9658766355140187,0.9807177570093458
46,185,4289,2296,0.9629059459459459,0.9801427027027027
47,176,3965,2271,0.9639545454545455,0.9793545454545455
48,198,4528,2529,0.963410101010101,0.9795636363636364
49,213,4842,2675,0.9636281690140845,0.9799061032863849
50,202,4579,2539,0.9637306930693069,0.9798891089108911
51,206,5085,2862,0.9605048543689321,0.9777708737864078
52,175,4487,2411,0.958976,0.9779565714285714
53,171,3928,2303,0.963246783625731,0.9784514619883041
54,193,5396,3053,0.9552663212435233,0.9746901554404145
55,168,4783,2691,0.954447619047619,0.9743714285714286
56,205,5804,3318,0.954700487804878,0.9741034146341463
57,178,4558,2644,0.9590292134831461,0.9762337078651685
58,165,4917,2844,0.95232,0.9724218181818182
59,186,5681,3400,0.951131182795699,0.970752688172043
60,179,5115,3004,0.9542793296089386,0.9731486033519553
61,185,5687,3435,0.9508151351351352,0.9702918918918919
62,182,5497,3254,0.9516747252747253,0.9713934065934066
63,177,5344,3247,0.9516926553672317,0.9706485875706214
64,202,6221,3666,0.9507247524752476,0.9709623762376237
65,205,6472,3857,0.9494868292682926,0.9698965853658537
66,221,7694,4762,0.9442968325791855,0.9655239819004525
67,186,6592,3931,0.943294623655914,0.9661849462365592
68,211,7413,4447,0.9437876777251185,0.966278672985782
69,187,6800,4114,0.9418181818181818,0.9648
70,185,6827,4045,0.9409556756756756,0.9650162162162162
71,179,6282,3817,0.9438480446927374,0.9658815642458101
72,202,7621,4779,0.9396356435643565,0.9621465346534653
73,202,8001,4992,0.9366257425742575,0.9604594059405941
74,193,6818,4126,0.9434777202072538,0.9657948186528498
75,172,7477,4697,0.930446511627907,0.9563069767441861
76,156,5972,3633,0.938748717948718,0.9627384615384615
77,190,8294,5070,0.9301557894736842,0.9573052631578948
78,191,8224,5007,0.9311078534031414,0.9580565445026178
79,182,7719,4792,0.9321406593406594,0.9578725274725275
80,204,8780,5437,0.9311372549019608,0.957356862745098
81,190,8689,5345,0.9268294736842105,0.9549894736842105
82,205,9209,5646,0.9281248780487805,0.9559336585365854
83,231,10142,6283,0.929752380952381,0.9564813852813853
84,202,9348,5858,0.9259564356435643,0.9536
85,188,8925,5649,0.9240425531914893,0.9519234042553192
86,201,9415,5836,0.9250547263681592,0.9535442786069652
87,206,10299,6380,0.9200077669902913,0.9504466019417476
88,207,10765,6511,0.916792270531401,0.9496734299516908
89,191,9774,6072,0.9181235602094241,0.9491350785340315
90,232,11952,7521,0.9175724137931034,0.9481310344827586
91,199,10370,6482,0.9166231155778894,0.9478834170854271
92,232,11857,7413,0.9182275862068965,0.9488758620689655
93,239,12119,7485,0.9188686192468619,0.9498912133891213
94,224,12462,7865,0.9109857142857143,0.9438214285714286
95,249,13962,8741,0.9102843373493976,0.9438329317269076
96,233,13132,8251,0.9098231759656652,0.9433407725321888
97,224,13384,8415,0.9044,0.9398928571428571
98,241,13918,8916,0.9075983402489627,0.9408066390041494
99,207,11787,7469,0.9088927536231884,0.9422685990338164
100,261,15925,10253,0.902375478927203,0.9371463601532567
101,223,14304,8961,0.8973704035874439,0.9357058295964126
102,217,13244,8338,0.9023483870967742,0.9385216589861751
103,254,16435,10477,0.8964724409448819,0.9340031496062993
104,262,16805,10431,0.8973740458015267,0.9362992366412214
105,278,18314,11844,0.8945956834532374,0.9318330935251798
106,247,15842,10098,0.8973797570850203,0.9345878542510121
107,262,17553,11050,0.892806106870229,0.9325190839694657
108,253,16989,11061,0.8925596837944664,0.9300490118577075
109,234,15908,10146,0.8912273504273505,0.930625641025641
110,300,19965,12802,0.89352,0.9317226666666667
111,295,21349,13920,0.884208813559322,0.9245016949152542
112,279,19732,12498,0.8868415770609319,0.9283268817204301
113,285,20869,13400,0.882840701754386,0.9247719298245614
114,288,22383,14358,0.87565,0.9202333333333333
115,298,21864,14010,0.8826093959731544,0.9247785234899328
116,287,21460,13958,0.8803623693379791,0.9221853658536585
117,300,23077,14748,0.8769226666666666,0.921344
118,284,22443,14566,0.8735605633802817,0.917938028169014
119,329,25333,16395,0.8768,0.9202674772036474
120,358,28833,18700,0.8711374301675978,0.9164245810055865
121,316,25437,16325,0.8712050632911392,0.9173417721518987
122,342,27436,17693,0.8716444444444444,0.917225730994152
123,312,25895,16598,0.8672051282051282,0.9148820512820512
124,343,28642,18552,0.8663930029154518,0.9134600583090379
125,338,28164,18364,0.8666792899408284,0.9130698224852071
126,331,28065,18356,0.8643383685800604,0.9112700906344411
127,373,31514,20343,0.8648193029490616,0.9127378016085791
128,323,27275,17514,0.8648916408668731,0.9132433436532508
129,323,27002,17554,0.8662439628482972,0.9130452012383901
130,389,33708,21809,0.8613552699228793,0.9102971722365039
131,364,30841,20125,0.8644351648351649,0.9115384615384615
132,407,34994,22897,0.8624314496314496,0.9099872235872236
133,389,34542,22448,0.8579249357326478,0.9076688946015424
134,394,34647,22753,0.8593015228426396,0.9076020304568528
135,380,32393,20886,0.8636084210526316,0.9120589473684211
136,364,31544,20519,0.861345054945055,0.9098065934065934
137,427,40365,26363,0.8487494145199064,0.901215925058548
138,389,34247,22299,0.8591383033419023,0.9082817480719795
139,387,33818,22140,0.8601839793281654,0.9084651162790698
140,362,33320,21790,0.8527292817679558,0.9036906077348066
