,Game Index,Delta,Target Lives,CNN Lives,CNN Errors,GA Lives,GA Errors
0,50000,5,95,68,100,55,69
1,50001,5,163,88,152,76,105
2,50002,1,152,363,21,364,18
3,50003,2,95,428,23,427,13
4,50004,3,4,574,4,4,0
5,50005,4,131,409,130,445,86
6,50006,1,155,369,20,371,13
7,50007,2,8,102,0,110,0
8,50008,2,139,383,69,382,33
9,50009,1,156,364,30,366,20
10,50010,4,83,449,78,470,49
11,50011,3,119,424,91,422,59
12,50012,1,22,570,0,579,0
13,50013,1,193,322,39,327,27
14,50014,5,43,49,40,41,16
15,50015,3,52,511,19,505,15
16,50016,1,65,487,2,479,1
17,50017,2,156,352,79,358,46
18,50018,1,4,570,0,4,0
19,50019,4,48,504,34,537,18
20,50020,4,155,378,152,413,100
21,50021,1,11,574,1,600,0
22,50022,3,6,574,3,6,0
23,50023,4,40,512,24,503,21
24,50024,2,28,272,7,272,2
25,50025,5,124,78,125,73,79
26,50026,4,122,421,99,439,64
27,50027,4,150,385,147,409,93
28,50028,4,86,440,87,460,50
29,50029,2,93,441,26,434,16
30,50030,2,125,405,51,410,33
31,50031,3,55,519,23,502,12
32,50032,2,121,417,50,420,21
33,50033,3,6,574,0,6,0
34,50034,5,15,298,37,309,8
35,50035,1,172,349,30,351,22
36,50036,4,168,403,138,417,97
37,50037,1,99,433,7,435,5
38,50038,2,141,382,68,385,40
39,50039,3,164,375,141,387,85
40,50040,5,31,136,27,126,15
41,50041,1,35,547,1,552,1
42,50042,1,173,352,18,351,17
43,50043,5,15,222,3,15,0
44,50044,4,89,464,68,483,42
45,50045,4,148,383,163,410,93
46,50046,5,122,70,107,61,79
47,50047,3,134,381,127,393,78
48,50048,2,6,106,0,6,0
49,50049,2,156,365,61,365,47
50,50050,5,11,300,14,301,3
51,50051,3,153,371,134,397,84
52,50052,4,54,506,37,518,32
53,50053,5,156,86,152,73,103
54,50054,5,28,202,13,200,5
55,50055,3,4,574,4,4,0
56,50056,4,133,403,134,440,85
57,50057,5,48,62,28,56,7
58,50058,3,46,535,17,511,8
59,50059,4,86,467,65,472,40
60,50060,5,138,86,129,71,97
61,50061,3,131,376,106,384,69
62,50062,1,73,473,5,465,4
63,50063,5,61,49,55,48,44
64,50064,3,144,371,114,384,70
65,50065,5,120,65,100,57,74
66,50066,5,66,76,43,73,40
67,50067,1,164,346,17,349,15
68,50068,3,79,477,44,476,36
