,delta 0,delta 1,delta 2,delta 3,delta 4,delta 5,total
0,0,2820,1751,1121,1060,808,7560
1,0,723,342,246,40,55,1406
2,0,507,358,214,145,114,1338
3,0,384,254,153,105,144,1040
4,0,347,266,209,108,53,983
5,0,302,204,175,119,82,882
6,0,309,154,135,109,75,782
7,0,318,161,138,106,76,799
8,0,301,155,133,105,114,808
9,0,305,152,120,90,141,808
10,0,339,133,105,127,101,805
11,0,344,133,120,86,92,775
12,0,291,156,103,89,122,761
13,0,309,161,109,78,85,742
14,0,280,114,83,82,76,635
15,0,308,139,75,66,79,667
16,0,295,125,65,75,85,645
17,0,212,112,105,67,81,577
18,0,251,118,75,71,83,598
19,0,188,127,75,79,79,548
20,0,168,131,57,58,70,484
21,0,145,123,80,64,61,473
22,0,140,152,84,70,70,516
23,0,95,121,73,69,59,417
24,0,91,148,89,75,72,475
25,0,78,121,72,45,60,376
26,0,52,143,83,65,54,397
27,0,48,153,69,69,57,396
28,0,29,138,74,61,66,368
29,0,20,140,71,77,53,361
30,0,32,134,90,50,53,359
31,0,16,147,82,57,49,351
32,0,12,166,64,58,43,343
33,0,10,148,74,59,59,350
34,0,5,148,80,53,62,348
35,0,5,169,79,60,45,358
36,0,3,178,70,69,58,378
37,0,1,147,89,57,64,358
38,0,4,168,85,55,56,368
39,0,1,147,84,49,64,345
40,0,1,148,99,68,50,366
41,0,1,175,74,66,62,378
42,0,0,131,98,55,56,340
43,0,0,111,106,56,48,321
44,0,0,121,93,58,54,326
45,0,0,133,72,60,67,332
46,0,0,128,82,72,58,340
47,0,0,108,77,46,53,284
48,0,0,115,82,55,47,299
49,0,0,100,87,64,61,312
50,0,0,74,119,75,57,325
51,0,0,71,98,66,81,316
52,0,0,75,89,70,55,289
53,0,0,78,95,69,67,309
54,0,0,62,103,71,68,304
55,0,0,46,108,72,76,302
56,0,0,40,91,72,69,272
57,0,0,46,129,86,58,319
58,0,0,40,110,59,64,273
59,0,0,32,107,65,62,266
60,0,0,31,122,80,62,295
61,0,0,24,112,69,66,271
62,0,0,22,122,84,71,299
63,0,0,23,127,66,83,299
64,0,0,14,117,69,81,281
65,0,0,11,111,83,70,275
66,0,0,11,126,73,85,295
67,0,0,8,116,82,79,285
68,0,0,7,115,70,83,275
69,0,0,6,101,95,99,301
70,0,0,2,114,87,81,284
71,0,0,1,98,97,92,288
72,0,0,5,94,105,80,284
73,0,0,1,114,94,106,315
74,0,0,0,91,92,97,280
75,0,0,2,103,96,98,299
76,0,0,2,104,105,91,302
77,0,0,0,93,97,104,294
78,0,0,0,88,96,95,279
79,0,0,2,93,102,101,298
80,0,0,1,68,103,97,269
81,0,0,0,63,105,106,274
82,0,0,0,71,106,103,280
83,0,0,0,65,112,114,291
84,0,0,0,54,102,104,260
85,0,0,0,62,92,110,264
86,0,0,0,43,102,100,245
87,0,0,0,47,77,83,207
88,0,0,0,43,93,124,260
89,0,0,0,39,107,92,238
90,0,0,0,30,105,117,252
91,0,0,0,27,102,109,238
92,0,0,0,22,87,122,231
93,0,0,0,25,99,72,196
94,0,0,0,14,80,98,192
95,0,0,0,11,77,108,196
96,0,0,0,14,80,81,175
97,0,0,0,14,78,93,185
98,0,0,0,17,77,93,187
99,0,0,0,5,70,95,170
100,0,0,0,7,77,68,152
101,0,0,0,7,54,71,132
102,0,0,0,2,59,77,138
103,0,0,0,5,68,74,147
104,0,0,0,3,46,76,125
105,0,0,0,5,62,62,129
106,0,0,0,2,47,65,114
107,0,0,0,0,51,73,124
108,0,0,0,4,52,54,110
109,0,0,0,2,41,56,99
110,0,0,0,1,41,62,104
111,0,0,0,2,42,56,100
112,0,0,0,0,28,47,75
113,0,0,0,0,20,39,59
114,0,0,0,0,29,35,64
115,0,0,0,2,20,36,58
116,0,0,0,0,28,44,72
117,0,0,0,0,26,35,61
118,0,0,0,0,13,35,48
119,0,0,0,0,14,24,38
120,0,0,0,0,15,25,40
121,0,0,0,1,17,22,40
122,0,0,0,0,11,21,32
123,0,0,0,0,10,16,26
124,0,0,0,0,8,22,30
125,0,0,0,0,8,23,31
126,0,0,0,0,10,14,24
127,0,0,0,0,6,16,22
128,0,0,0,0,4,9,13
129,0,0,0,0,4,12,16
130,0,0,0,0,3,7,10
131,0,0,0,0,3,10,13
132,0,0,0,0,2,9,11
133,0,0,0,0,6,3,9
134,0,0,0,0,2,6,8
135,0,0,0,0,2,7,9
136,0,0,0,0,2,11,13
137,0,0,0,0,0,2,2
138,0,0,0,0,2,5,7
139,0,0,0,0,1,3,4
140,0,0,0,0,1,1,2
141,0,0,0,0,1,2,3
142,0,0,0,0,1,4,5
143,0,0,0,0,2,3,5
144,0,0,0,0,0,4,4
145,0,0,0,0,1,0,1
146,0,0,0,0,0,1,1
147,0,0,0,0,0,1,1
148,0,0,0,0,0,3,3
150,0,0,0,0,0,1,1
151,0,0,0,0,0,1,1
155,0,0,0,0,0,1,1
168,0,0,0,0,1,0,1
