,count,cnn_fails,ga_fails,cnn_accuracy,ga_accuracy
2,62,45,44,0.9988387096774194,0.9988645161290323
3,964,1451,216,0.9975917012448132,0.9996414937759336
4,1137,798,8,0.9988770448548813,0.9999887423043096
5,247,394,125,0.9974477732793522,0.9991902834008097
6,925,590,77,0.9989794594594594,0.9998668108108109
7,377,746,110,0.9968339522546419,0.9995331564986737
8,480,737,186,0.9975433333333333,0.99938
9,349,914,173,0.9958097421203438,0.999206876790831
10,369,929,200,0.9959718157181572,0.9991327913279133
11,317,1232,392,0.9937817034700316,0.9980214511041009
12,556,3337,1119,0.9903971223021583,0.9967798561151079
13,245,828,276,0.9945926530612245,0.9981975510204082
14,325,1451,511,0.9928566153846153,0.9974843076923077
15,330,2137,779,0.9896387878787879,0.9962230303030303
16,343,2059,774,0.9903953352769679,0.9963895043731779
17,248,1520,570,0.9901935483870967,0.9963225806451613
18,319,2254,838,0.988694670846395,0.9957968652037618
19,264,2018,799,0.987769696969697,0.9951575757575758
20,356,3159,1474,0.9858022471910113,0.9933752808988764
21,280,2601,1122,0.9851371428571428,0.9935885714285714
22,280,2498,1051,0.9857257142857143,0.9939942857142857
23,279,2495,1141,0.9856917562724015,0.9934566308243727
24,288,2975,1396,0.9834722222222222,0.9922444444444445
25,243,2820,1274,0.9814320987654321,0.9916115226337449
26,255,2948,1420,0.9815027450980393,0.9910901960784314
27,233,2510,1197,0.9827639484978541,0.9917802575107296
28,232,3009,1502,0.979248275862069,0.9896413793103448
29,255,3102,1504,0.9805364705882353,0.990563137254902
30,239,3396,1666,0.9772652719665272,0.9888468619246862
31,246,3393,1596,0.9779317073170731,0.9896195121951219
32,224,2937,1522,0.9790214285714286,0.9891285714285715
33,204,2741,1425,0.9785019607843137,0.9888235294117647
34,229,3286,1744,0.9770410480349345,0.9878148471615721
35,243,3418,1836,0.9774946502057613,0.9879111111111111
36,226,3797,1974,0.9731185840707964,0.986024778761062
37,221,3657,1977,0.9735239819004525,0.9856868778280543
38,217,3665,1992,0.9729769585253456,0.9853124423963133
39,220,3867,1959,0.9718763636363636,0.9857527272727272
40,223,4093,2159,0.9706331838565022,0.9845094170403588
41,186,3367,1792,0.9710365591397849,0.9845849462365591
42,200,3299,1859,0.973608,0.985128
43,204,3899,2156,0.9694196078431373,0.9830901960784314
44,212,4415,2482,0.9666792452830189,0.9812679245283019
45,214,4325,2558,0.9676635514018692,0.9808747663551401
46,185,4057,2309,0.9649124324324324,0.9800302702702702
47,176,3882,2231,0.964709090909091,0.9797181818181818
48,198,4327,2540,0.9650343434343435,0.9794747474747475
49,213,4613,2734,0.9653483568075117,0.9794629107981221
50,202,4400,2573,0.9651485148514851,0.979619801980198
51,206,4847,2885,0.9623533980582524,0.9775922330097088
