,Game Index,Delta,Target Lives,CNN Lives,CNN Errors,GA Lives,GA Errors
0,50000,5,95,69,102,65,67
1,50001,5,163,89,152,88,118
2,50002,1,152,364,21,366,18
3,50003,2,95,429,23,419,14
4,50004,3,4,617,0,4,0
5,50005,4,131,410,130,407,82
6,50006,1,155,370,19,368,13
7,50007,2,8,103,0,103,0
8,50008,2,139,384,65,375,29
9,50009,1,156,365,29,363,18
10,50010,4,83,450,83,436,46
11,50011,3,119,425,88,417,56
12,50012,1,22,571,0,571,0
13,50013,1,193,323,39,328,27
14,50014,5,43,28,18,46,15
15,50015,3,52,512,19,472,14
16,50016,1,65,488,2,484,1
17,50017,2,156,353,79,351,43
18,50018,1,4,612,0,4,0
19,50019,4,48,505,34,458,13
20,50020,4,155,379,152,400,96
21,50021,1,11,593,0,593,0
22,50022,3,6,608,0,6,0
23,50023,4,40,513,24,449,18
24,50024,2,28,273,7,269,2
25,50025,5,124,79,124,76,79
26,50026,4,122,422,99,421,68
27,50027,4,150,386,137,396,89
28,50028,4,86,441,86,436,47
29,50029,2,93,442,26,437,16
30,50030,2,125,406,45,405,31
31,50031,3,55,520,23,488,14
32,50032,2,121,418,50,412,23
33,50033,3,6,614,0,6,0
34,50034,5,15,299,34,314,4
35,50035,1,172,350,29,351,21
36,50036,4,168,404,135,401,102
37,50037,1,99,434,6,431,5
38,50038,2,141,383,64,382,35
39,50039,3,164,376,135,384,85
40,50040,5,31,137,27,141,15
41,50041,1,35,548,1,548,1
42,50042,1,173,353,18,349,17
43,50043,5,15,223,3,15,0
44,50044,4,89,465,68,440,37
45,50045,4,148,384,163,381,94
46,50046,5,122,71,104,77,79
47,50047,3,134,382,127,383,81
48,50048,2,6,107,0,6,0
49,50049,2,156,366,61,361,45
50,50050,5,11,301,14,304,4
51,50051,3,153,372,131,370,67
52,50052,4,54,507,37,465,22
53,50053,5,156,87,152,84,102
54,50054,5,28,203,13,214,6
55,50055,3,4,617,0,4,0
56,50056,4,133,404,131,413,78
57,50057,5,48,63,28,70,15
58,50058,3,46,536,17,494,9
59,50059,4,86,468,54,437,42
60,50060,5,138,87,134,81,98
61,50061,3,131,377,108,379,64
62,50062,1,73,474,5,468,4
63,50063,5,61,45,47,55,39
64,50064,3,144,372,117,379,87
65,50065,5,120,66,98,75,71
66,50066,5,66,77,43,88,40
67,50067,1,164,347,15,347,15
68,50068,3,79,478,44,450,34
69,50069,3,160,375,103,379,70
70,50070,3,8,609,0,8,0
71,50071,2,37,481,3,481,3
72,50072,3,8,604,1,604,1
73,50073,3,45,542,8,495,7
74,50074,1,168,343,28,342,23
75,50075,1,142,371,17,365,14
76,50076,3,148,377,102,377,72
77,50077,5,39,87,42,103,24
78,50078,5,104,69,84,78,61
79,50079,1,77,466,6,466,6
80,50080,2,11,202,0,202,0
81,50081,4,197,388,204,385,122
82,50082,4,139,412,126,400,100
83,50083,5,129,87,139,84,77
84,50084,2,136,397,59,393,26
85,50085,2,17,174,2,173,0
86,50086,1,183,355,40,353,27
87,50087,2,175,345,94,343,57
88,50088,5,107,67,104,83,69
89,50089,4,36,542,38,481,19
90,50090,5,170,86,128,86,105
91,50091,1,126,377,17,375,9
92,50092,5,126,75,127,84,93
93,50093,5,113,77,117,73,84
94,50094,5,116,74,104,76,74
95,50095,5,139,82,128,82,94
96,50096,5,14,236,26,247,5
97,50097,1,48,520,0,520,0
98,50098,1,49,529,0,529,0
99,50099,2,163,379,67,376,38
100,50100,3,101,426,51,418,33
101,50101,5,106,81,116,76,71
102,50102,3,3,616,0,616,0
103,50103,3,84,456,54,445,33
104,50104,2,110,416,34,410,19
105,50105,1,8,606,0,606,0
106,50106,3,7,607,0,7,0
107,50107,1,143,375,15,374,7
108,50108,4,127,404,111,403,81
109,50109,3,23,571,6,508,2
110,50110,1,174,349,24,346,22
111,50111,2,162,354,78,349,50
112,50112,1,26,575,1,575,1
113,50113,5,6,458,0,6,0
114,50114,2,4,89,0,4,0
115,50115,1,30,558,1,558,1
116,50116,5,44,126,35,129,14
117,50117,4,165,391,151,390,98
118,50118,5,174,85,153,93,132
119,50119,3,113,413,79,411,47
120,50120,2,141,384,47,379,30
121,50121,1,101,430,15,425,9
122,50122,4,88,430,81,420,57
123,50123,4,18,567,20,18,0
124,50124,4,96,424,103,433,52
125,50125,2,25,467,0,467,0
126,50126,2,62,475,13,466,4
127,50127,3,24,569,7,524,3
128,50128,3,158,382,115,384,70
129,50129,4,128,404,115,409,79
130,50130,5,80,59,76,71,44
131,50131,4,140,415,136,412,80
132,50132,3,12,596,7,558,4
133,50133,5,3,494,5,491,0
134,50134,5,74,49,45,69,28
135,50135,1,42,545,5,529,2
136,50136,5,7,363,3,373,2
137,50137,4,176,375,172,378,109
138,50138,4,44,518,25,471,19
139,50139,2,144,388,57,386,34
140,50140,3,139,401,81,398,47
141,50141,5,22,358,26,367,7
142,50142,1,176,339,19,339,13
143,50143,4,40,524,21,459,13
144,50144,4,123,428,110,424,74
145,50145,1,146,369,23,369,16
146,50146,1,124,396,14,392,8
147,50147,1,10,598,0,10,0
148,50148,2,83,442,32,442,15
149,50149,2,61,395,17,387,12
150,50150,4,126,415,114,415,71
151,50151,2,77,478,21,465,15
152,50152,4,93,457,86,433,56
153,50153,3,133,408,99,398,57
154,50154,4,25,569,25,499,13
155,50155,1,29,569,3,533,2
156,50156,2,175,366,70,367,48
157,50157,1,177,335,28,329,23
158,50158,3,103,410,67,403,49
159,50159,4,30,547,22,487,12
160,50160,5,84,56,68,64,49
161,50161,1,79,460,8,456,3
162,50162,4,116,402,119,406,62
163,50163,4,146,415,122,402,85
164,50164,5,84,61,78,61,59
165,50165,1,193,331,34,332,24
166,50166,2,18,162,1,162,1
167,50167,5,149,92,144,82,105
168,50168,1,112,417,13,416,10
169,50169,3,119,408,77,408,45
170,50170,3,156,384,129,387,82
171,50171,1,99,440,9,434,6
172,50172,5,130,74,109,74,90
173,50173,5,133,81,126,92,82
174,50174,1,72,474,3,475,1
175,50175,2,148,376,63,371,50
176,50176,3,6,607,1,607,1
177,50177,5,6,458,0,6,0
178,50178,2,106,428,43,424,19
179,50179,5,4,490,3,4,0
180,50180,4,15,590,1,590,1
181,50181,1,44,530,1,510,0
182,50182,5,12,321,3,12,0
183,50183,4,107,425,109,412,54
184,50184,5,94,69,81,78,65
185,50185,3,30,548,11,490,8
186,50186,4,163,379,163,381,99
187,50187,5,106,68,113,71,72
188,50188,2,90,456,13,453,6
189,50189,4,126,407,138,409,89
190,50190,1,9,594,0,594,0
191,50191,3,94,440,55,425,30
192,50192,4,65,486,51,486,33
193,50193,3,140,391,115,392,73
194,50194,4,143,406,119,404,78
195,50195,4,94,445,69,436,38
196,50196,4,95,418,109,424,55
197,50197,1,4,612,0,612,0
198,50198,1,86,471,3,464,1
199,50199,1,4,612,0,4,0
200,50200,3,171,374,123,375,79
201,50201,3,131,413,92,406,56
202,50202,4,5,606,3,606,3
203,50203,2,156,375,54,378,44
204,50204,3,134,406,104,406,65
205,50205,4,165,408,132,404,94
206,50206,4,151,391,122,394,87
207,50207,2,14,128,0,128,0
208,50208,1,159,343,25,346,18
209,50209,2,131,396,50,393,26
210,50210,4,56,498,43,460,27
211,50211,5,26,140,13,156,5
212,50212,1,155,361,19,363,16
213,50213,1,125,392,16,387,14
214,50214,3,152,382,115,387,61
215,50215,1,9,597,0,597,0
216,50216,3,7,609,0,7,0
217,50217,1,177,337,18,336,16
218,50218,3,56,519,20,492,12
219,50219,1,91,444,7,444,7
220,50220,3,77,479,60,458,38
221,50221,2,132,380,37,377,32
222,50222,3,56,505,23,472,11
223,50223,5,129,82,135,77,93
224,50224,2,58,459,3,456,2
225,50225,2,120,451,30,445,15
226,50226,3,165,373,122,375,75
227,50227,4,154,381,135,379,88
228,50228,4,112,419,116,424,73
229,50229,3,97,443,61,441,36
230,50230,3,142,384,103,377,71
231,50231,2,70,485,6,480,5
232,50232,4,3,613,2,3,0
233,50233,1,157,366,19,368,15
234,50234,4,111,430,102,428,60
235,50235,2,29,521,3,509,2
236,50236,5,87,58,71,67,47
237,50237,1,6,598,0,598,0
238,50238,5,147,88,139,85,97
239,50239,1,95,463,5,458,3
240,50240,4,115,428,123,398,74
241,50241,2,166,365,68,361,42
242,50242,3,105,453,64,447,39
243,50243,2,4,89,0,4,0
244,50244,5,41,70,42,98,30
245,50245,2,38,513,4,513,4
246,50246,5,36,149,31,163,22
247,50247,1,14,597,0,597,0
248,50248,4,66,485,48,452,27
249,50249,1,116,419,9,417,8
250,50250,3,25,586,21,529,7
251,50251,5,164,86,180,82,107
252,50252,1,162,358,22,359,15
253,50253,4,33,556,27,480,19
254,50254,4,49,499,42,458,20
255,50255,5,145,85,138,94,101
256,50256,1,164,356,27,356,18
257,50257,2,4,89,0,4,0
258,50258,4,8,604,0,8,0
259,50259,4,75,469,60,451,28
260,50260,2,110,416,48,412,19
261,50261,5,6,459,3,6,0
262,50262,5,74,50,64,67,50
263,50263,1,117,407,9,405,6
264,50264,1,3,612,0,612,0
265,50265,2,124,411,49,403,35
266,50266,3,106,406,91,405,41
267,50267,1,164,356,30,354,25
268,50268,2,143,370,64,378,36
269,50269,2,53,431,1,431,1
270,50270,4,4,615,0,4,0
271,50271,3,21,580,8,527,4
272,50272,2,4,89,0,4,0
273,50273,1,74,484,9,471,4
274,50274,4,81,477,60,450,32
275,50275,3,90,491,51,462,26
276,50276,2,144,369,71,364,44
277,50277,4,10,595,0,10,0
278,50278,3,13,588,11,544,6
279,50279,5,7,350,6,361,3
280,50280,2,3,88,0,3,0
281,50281,3,127,398,111,408,66
282,50282,2,58,492,14,483,6
283,50283,3,144,372,106,378,62
284,50284,3,141,391,111,391,60
285,50285,1,54,508,4,505,3
286,50286,5,67,92,60,102,33
287,50287,3,68,497,57,477,26
288,50288,2,127,365,64,363,33
289,50289,1,106,413,17,407,7
290,50290,2,138,400,35,392,23
291,50291,5,70,52,52,66,33
292,50292,3,21,581,0,21,0
293,50293,5,117,65,101,78,65
294,50294,5,141,78,129,82,90
295,50295,1,88,467,5,467,5
296,50296,5,38,107,37,121,25
297,50297,4,4,615,0,4,0
298,50298,5,169,92,149,94,122
299,50299,3,160,370,108,371,68
300,50300,1,131,387,19,386,11
301,50301,2,11,153,4,150,1
302,50302,1,35,556,1,556,1
303,50303,1,43,545,0,545,0
304,50304,3,59,508,24,471,17
305,50305,4,4,615,0,4,0
306,50306,1,29,567,0,567,0
307,50307,1,75,492,5,486,2
308,50308,1,167,356,17,355,14
309,50309,2,110,447,43,438,20
310,50310,4,85,458,85,446,53
311,50311,2,94,466,16,463,9
312,50312,5,14,296,0,14,0
313,50313,3,151,389,126,397,77
314,50314,1,24,568,0,568,0
315,50315,4,148,397,136,399,87
316,50316,5,56,70,77,85,26
317,50317,2,42,410,10,405,5
318,50318,2,55,506,11,491,4
319,50319,2,4,89,0,4,0
320,50320,3,91,457,64,451,37
321,50321,5,123,85,128,80,90
322,50322,1,128,391,13,390,8
323,50323,1,151,385,22,381,15
324,50324,4,130,431,115,409,69
325,50325,1,107,414,15,415,9
326,50326,3,135,382,110,377,67
327,50327,4,110,420,110,410,76
328,50328,4,115,437,96,413,65
329,50329,2,6,107,0,6,0
330,50330,3,172,382,111,380,80
331,50331,1,175,348,29,349,22
332,50332,3,136,388,107,386,72
333,50333,1,165,346,21,343,20
334,50334,5,119,75,122,90,85
335,50335,2,181,359,98,352,48
336,50336,2,186,355,87,347,62
337,50337,5,140,81,135,76,103
338,50338,1,116,419,10,415,7
339,50339,1,154,355,20,355,17
340,50340,5,123,75,100,82,74
341,50341,2,155,375,66,374,44
342,50342,4,6,610,0,6,0
343,50343,1,3,612,0,612,0
344,50344,3,145,396,122,395,66
345,50345,3,104,436,76,434,50
346,50346,5,113,76,102,77,69
347,50347,1,183,348,23,347,16
348,50348,5,131,79,132,90,98
349,50349,5,105,64,90,90,57
350,50350,5,49,45,27,61,24
351,50351,1,19,581,1,558,0
352,50352,4,148,407,126,400,92
353,50353,1,49,525,1,525,1
354,50354,3,127,402,93,392,60
355,50355,1,95,442,10,436,6
356,50356,4,87,452,79,432,54
357,50357,2,6,107,0,6,0
358,50358,5,70,51,47,63,39
359,50359,2,165,371,64,368,43
360,50360,2,6,105,0,6,0
361,50361,1,180,342,28,342,22
362,50362,4,152,379,165,375,105
363,50363,3,113,434,81,424,47
364,50364,1,52,528,2,528,2
365,50365,4,178,375,170,389,113
366,50366,2,22,386,0,386,0
367,50367,2,114,426,48,424,31
368,50368,1,144,375,16,369,10
369,50369,5,68,51,80,64,42
370,50370,3,41,527,16,495,8
371,50371,3,4,617,0,4,0
372,50372,4,65,484,42,449,33
373,50373,4,14,570,5,496,4
374,50374,4,138,404,120,410,75
375,50375,1,6,609,0,609,0
376,50376,3,97,431,71,417,38
377,50377,1,4,612,0,4,0
378,50378,3,104,444,72,429,41
379,50379,2,162,375,71,362,44
380,50380,4,105,427,72,418,55
381,50381,4,113,429,113,411,73
382,50382,3,92,433,72,433,45
383,50383,4,73,484,50,447,34
384,50384,5,106,71,104,76,61
385,50385,4,32,548,25,496,7
386,50386,1,163,360,23,359,19
387,50387,1,107,435,15,434,7
388,50388,5,91,59,66,69,50
389,50389,4,3,614,5,3,0
390,50390,4,118,421,131,413,80
391,50391,4,133,413,117,411,66
392,50392,3,33,550,3,500,1
393,50393,1,165,356,31,356,24
394,50394,1,173,348,25,347,18
395,50395,4,154,406,127,401,68
396,50396,5,156,91,155,90,119
397,50397,5,122,79,134,68,81
398,50398,1,115,396,10,395,8
399,50399,3,170,364,143,367,96
400,50400,5,169,96,175,79,126
401,50401,5,106,71,109,76,69
402,50402,3,9,605,1,605,1
403,50403,2,3,86,0,3,0
404,50404,3,36,535,12,494,9
405,50405,1,81,471,3,471,3
406,50406,1,69,487,6,479,2
407,50407,2,20,411,0,20,0
408,50408,1,54,523,1,507,0
409,50409,1,155,353,24,351,18
410,50410,5,156,90,139,92,108
411,50411,2,126,402,47,398,23
412,50412,4,101,442,84,426,43
413,50413,5,54,65,49,69,26
414,50414,1,4,612,0,4,0
415,50415,1,132,376,14,374,10
416,50416,3,45,544,24,506,15
417,50417,4,139,412,131,414,88
418,50418,2,151,357,94,359,57
419,50419,3,160,376,128,368,82
420,50420,4,78,450,76,436,48
421,50421,4,123,400,111,396,83
422,50422,5,148,85,147,82,108
423,50423,4,112,452,89,436,64
424,50424,1,45,515,1,515,1
425,50425,2,161,361,62,358,37
426,50426,2,109,429,31,421,23
427,50427,4,57,535,35,479,24
428,50428,5,130,76,121,82,90
429,50429,5,132,84,124,81,93
430,50430,1,3,616,0,616,0
431,50431,2,153,377,69,375,44
432,50432,3,68,500,32,465,18
433,50433,3,135,410,84,416,58
434,50434,1,143,375,12,368,10
435,50435,4,6,610,0,6,0
436,50436,5,157,87,144,89,95
437,50437,4,111,417,104,419,69
438,50438,5,4,490,3,4,0
439,50439,5,72,49,66,67,42
440,50440,4,18,583,4,480,2
441,50441,4,135,409,127,400,85
442,50442,5,101,81,107,69,64
443,50443,5,12,321,3,12,0
444,50444,2,108,410,37,408,26
445,50445,5,16,161,2,16,2
446,50446,5,23,351,25,360,13
447,50447,2,145,393,54,392,40
448,50448,5,148,90,143,82,101
449,50449,4,136,394,131,398,89
450,50450,3,4,617,0,4,0
451,50451,2,151,365,63,364,48
452,50452,4,148,399,141,403,95
453,50453,2,106,430,39,419,24
454,50454,3,166,357,151,368,90
455,50455,1,25,567,0,567,0
456,50456,5,156,83,133,86,110
457,50457,4,155,406,158,394,93
458,50458,3,161,376,134,372,83
459,50459,4,133,393,134,391,76
460,50460,4,107,436,99,433,60
461,50461,4,53,495,41,457,31
462,50462,3,148,390,109,384,70
463,50463,4,67,475,71,456,30
464,50464,3,128,402,119,408,63
465,50465,4,14,593,14,496,4
466,50466,3,34,553,5,509,3
467,50467,4,89,457,70,438,40
468,50468,4,87,461,86,431,49
469,50469,3,72,484,51,448,32
470,50470,3,53,511,40,480,24
471,50471,5,56,110,38,124,25
472,50472,5,14,420,34,430,6
473,50473,1,193,338,35,338,26
474,50474,1,8,600,0,600,0
475,50475,4,171,375,179,389,113
476,50476,1,48,533,0,533,0
477,50477,3,165,384,124,381,73
478,50478,2,6,105,0,6,0
479,50479,5,17,266,9,274,2
480,50480,1,101,426,9,423,4
481,50481,2,200,339,95,342,61
482,50482,3,136,395,102,398,61
483,50483,2,123,402,42,402,28
484,50484,2,4,89,0,4,0
485,50485,4,116,433,109,427,70
486,50486,4,185,390,142,385,97
487,50487,5,12,203,9,221,5
488,50488,3,134,388,91,388,58
489,50489,2,32,343,4,343,4
490,50490,3,142,402,128,399,60
491,50491,4,46,522,34,455,22
492,50492,5,94,62,84,68,51
493,50493,1,159,366,19,362,15
494,50494,5,99,54,78,65,61
495,50495,4,65,483,59,456,31
496,50496,1,14,596,0,596,0
497,50497,1,7,604,0,604,0
498,50498,4,60,492,41,469,26
499,50499,2,31,314,3,313,2
500,50500,1,153,381,22,371,11
501,50501,1,151,375,18,372,11
502,50502,2,122,402,42,402,24
503,50503,1,140,394,18,394,9
504,50504,1,56,487,3,484,1
505,50505,1,38,551,0,551,0
506,50506,4,164,389,145,396,104
507,50507,3,175,380,104,376,65
508,50508,3,146,412,74,409,49
509,50509,4,97,433,88,427,51
510,50510,4,45,521,43,465,22
511,50511,5,37,108,20,127,10
512,50512,1,157,354,16,353,13
513,50513,5,128,77,128,89,79
514,50514,4,114,436,116,419,63
515,50515,5,12,372,18,379,9
516,50516,2,138,392,65,390,36
517,50517,3,35,557,12,499,6
518,50518,3,169,365,146,373,93
519,50519,2,120,411,49,406,31
520,50520,4,105,440,92,423,62
521,50521,4,15,576,8,498,7
522,50522,5,106,73,110,74,74
523,50523,2,8,206,2,203,0
524,50524,2,140,390,64,390,33
525,50525,2,16,185,0,185,0
526,50526,3,139,385,102,385,61
527,50527,1,67,456,1,456,1
528,50528,2,139,369,58,364,41
529,50529,2,125,393,45,385,20
530,50530,3,143,394,103,380,60
531,50531,2,140,383,56,374,27
532,50532,5,48,46,30,47,24
533,50533,4,164,374,139,379,99
534,50534,3,48,528,37,491,14
535,50535,2,46,429,9,424,7
536,50536,5,49,133,43,157,22
537,50537,4,138,401,139,403,83
538,50538,3,90,455,61,429,32
539,50539,4,164,388,156,389,113
540,50540,3,70,500,48,476,33
541,50541,3,117,407,65,402,54
542,50542,4,145,407,126,410,84
543,50543,2,7,188,0,7,0
544,50544,3,7,610,0,610,0
545,50545,3,23,576,10,511,5
546,50546,3,54,524,28,482,11
547,50547,1,39,536,2,523,1
548,50548,5,104,65,104,80,69
549,50549,4,6,605,0,6,0
550,50550,3,167,377,128,374,72
551,50551,5,37,64,18,85,10
552,50552,5,145,73,124,83,84
553,50553,1,147,358,18,357,13
554,50554,5,144,76,123,71,99
555,50555,5,127,69,120,74,83
556,50556,2,66,413,27,407,11
557,50557,1,11,591,2,11,0
558,50558,1,88,468,8,463,6
559,50559,3,3,616,0,616,0
560,50560,2,134,366,55,360,32
561,50561,4,6,605,0,6,0
562,50562,5,166,93,166,95,120
563,50563,4,96,443,96,434,57
564,50564,2,158,350,85,352,53
565,50565,5,140,81,124,84,80
566,50566,3,84,466,58,457,27
567,50567,2,10,200,0,10,0
568,50568,3,139,396,116,397,74
569,50569,3,103,451,48,436,32
570,50570,4,44,529,30,480,13
571,50571,4,67,479,54,451,37
572,50572,2,128,389,44,387,28
573,50573,4,129,413,130,416,81
574,50574,2,10,209,0,10,0
575,50575,5,130,70,119,74,84
576,50576,5,119,73,111,79,81
577,50577,2,95,457,30,455,18
578,50578,5,134,83,119,82,91
579,50579,5,101,66,89,66,67
580,50580,4,50,521,32,466,22
581,50581,4,14,584,9,14,0
582,50582,1,14,587,0,587,0
583,50583,2,147,391,67,388,37
584,50584,1,147,383,15,382,10
585,50585,2,177,358,67,348,45
586,50586,3,151,388,118,386,69
587,50587,2,65,500,9,484,6
588,50588,4,128,420,124,413,76
589,50589,1,107,412,9,407,8
590,50590,4,25,555,22,481,6
