,delta 0,delta 1,delta 2,delta 3,delta 4,delta 5,total
0,0,2828,1754,1107,1059,807,7555
1,0,709,346,249,40,32,1376
2,0,503,339,208,134,87,1271
3,0,379,258,163,92,185,1077
4,0,342,250,195,115,43,945
5,0,315,205,170,94,77,861
6,0,291,167,156,109,90,813
7,0,309,160,135,97,75,776
8,0,309,149,126,107,111,802
9,0,300,152,103,102,146,803
10,0,331,124,114,136,94,799
11,0,320,141,113,79,100,753
12,0,309,142,94,80,94,719
13,0,302,136,96,81,87,702
14,0,267,132,77,87,90,653
15,0,298,139,85,71,84,677
16,0,263,107,82,68,96,616
17,0,255,117,90,67,80,609
18,0,234,131,70,58,74,567
19,0,193,120,80,82,77,552
20,0,162,117,65,65,68,477
21,0,157,123,64,67,68,479
22,0,131,123,77,90,73,494
23,0,132,137,84,67,68,488
24,0,84,139,77,61,67,428
25,0,74,129,91,72,46,412
26,0,66,134,78,70,60,408
27,0,58,129,75,57,62,381
28,0,38,137,81,67,54,377
29,0,30,137,77,65,57,366
30,0,30,125,74,47,42,318
31,0,18,133,74,45,59,329
32,0,11,155,87,54,47,354
33,0,13,161,68,68,53,363
34,0,9,150,78,67,61,365
35,0,4,181,94,50,51,380
36,0,4,148,74,65,50,341
37,0,3,146,71,68,63,351
38,0,4,159,71,58,50,342
39,0,1,117,76,58,62,314
40,0,3,159,70,57,60,349
41,0,0,147,82,52,65,346
42,0,1,142,69,56,47,315
43,0,0,128,99,75,61,363
44,0,0,124,89,68,61,342
45,0,0,149,73,68,67,357
46,0,0,110,92,55,60,317
47,0,0,97,96,58,62,313
48,0,0,119,81,70,61,331
49,0,0,87,104,52,61,304
50,0,0,105,97,51,55,308
51,0,0,95,96,58,73,322
52,0,0,81,90,69,47,287
53,0,0,76,88,79,59,302
54,0,0,74,91,76,62,303
55,0,0,53,107,63,55,278
56,0,0,54,102,76,63,295
57,0,0,52,103,70,80,305
58,0,0,55,103,76,74,308
59,0,0,44,116,70,67,297
60,0,0,35,115,86,58,294
61,0,0,36,113,74,66,289
62,0,0,22,102,77,68,269
63,0,0,25,113,68,78,284
64,0,0,21,120,86,68,295
65,0,0,11,106,78,65,260
66,0,0,11,129,80,87,307
67,0,0,16,111,73,73,273
68,0,0,8,128,94,80,310
69,0,0,13,116,82,96,307
70,0,0,10,114,103,96,323
71,0,0,7,109,84,100,300
72,0,0,10,81,91,95,277
73,0,0,5,98,96,90,289
74,0,0,3,103,90,92,288
75,0,0,3,94,99,109,305
76,0,0,3,107,99,95,304
77,0,0,1,104,106,85,296
78,0,0,0,94,112,112,318
79,0,0,0,77,85,121,283
80,0,0,1,75,96,117,289
81,0,0,1,81,117,103,302
82,0,0,0,78,106,104,288
83,0,0,0,62,117,98,277
84,0,0,0,65,94,111,270
85,0,0,1,61,110,107,279
86,0,0,1,61,97,99,258
87,0,0,0,58,109,106,273
88,0,0,0,57,87,102,246
89,0,0,0,38,90,115,243
90,0,0,0,44,99,109,252
91,0,0,0,27,105,116,248
92,0,0,0,29,95,104,228
93,0,0,0,33,85,116,234
94,0,0,0,22,90,101,213
95,0,0,0,24,76,88,188
96,0,0,0,20,72,93,185
97,0,0,0,17,74,90,181
98,0,0,0,19,73,95,187
99,0,0,0,10,83,75,168
100,0,0,0,11,89,84,184
101,0,0,0,5,70,84,159
102,0,0,0,6,70,89,165
103,0,0,0,4,50,77,131
104,0,0,0,4,58,67,129
105,0,0,0,7,49,70,126
106,0,0,0,1,55,63,119
107,0,0,0,5,57,77,139
108,0,0,0,4,47,69,120
109,0,0,0,3,46,51,100
110,0,0,0,1,39,50,90
111,0,0,0,0,25,54,79
112,0,0,0,0,24,34,58
113,0,0,0,0,27,40,67
114,0,0,0,1,32,35,68
115,0,0,0,1,15,40,56
116,0,0,0,0,26,39,65
117,0,0,0,0,11,34,45
118,0,0,0,0,14,33,47
119,0,0,0,0,13,27,40
120,0,0,0,0,12,18,30
121,0,0,0,0,9,22,31
122,0,0,0,0,10,18,28
123,0,0,0,0,7,23,30
124,0,0,0,0,8,9,17
125,0,0,0,0,7,16,23
126,0,0,0,0,7,12,19
127,0,0,0,0,8,5,13
128,0,0,0,0,4,10,14
129,0,0,0,0,5,9,14
130,0,0,0,0,0,7,7
131,0,0,0,0,1,9,10
132,0,0,0,0,3,8,11
133,0,0,0,0,4,7,11
134,0,0,0,0,3,6,9
135,0,0,0,0,2,4,6
136,0,0,0,0,0,4,4
137,0,0,0,0,1,1,2
138,0,0,0,0,0,3,3
139,0,0,0,0,0,3,3
141,0,0,0,0,0,2,2
142,0,0,0,0,1,1,2
143,0,0,0,0,0,3,3
144,0,0,0,0,0,1,1
146,0,0,0,0,2,0,2
148,0,0,0,0,1,0,1
151,0,0,0,0,0,1,1
153,0,0,0,0,1,0,1
