,count,cnn_fails,ga_fails,cnn_accuracy,ga_accuracy
2,62,45,45,0.9988387096774194,0.9988387096774194
3,964,330,248,0.9994522821576763,0.9995883817427386
4,1137,9,9,0.9999873350923483,0.9999873350923483
5,247,149,133,0.9990348178137651,0.9991384615384615
6,925,109,84,0.9998114594594595,0.9998547027027027
7,377,151,116,0.9993591511936339,0.9995076923076923
8,480,241,194,0.9991966666666666,0.9993533333333333
9,349,269,195,0.9987667621776505,0.9991060171919771
10,369,288,208,0.9987512195121951,0.9990981029810299
11,317,494,400,0.9975066246056782,0.9979810725552051
12,556,1647,1156,0.9952604316546763,0.9966733812949641
13,245,365,277,0.9976163265306123,0.9981910204081632
14,325,695,530,0.9965784615384615,0.9973907692307692
15,330,1055,767,0.9948848484848485,0.9962812121212121
16,343,1145,856,0.9946588921282798,0.9960069970845481
17,248,801,609,0.9948322580645161,0.9960709677419355
18,319,1161,871,0.994176802507837,0.9956313479623824
19,264,1092,817,0.9933818181818181,0.9950484848484848
20,356,1947,1486,0.9912494382022472,0.9933213483146067
21,280,1512,1139,0.99136,0.9934914285714286
22,280,1435,1056,0.9918,0.9939657142857143
23,279,1532,1158,0.9912143369175628,0.9933591397849463
24,288,1942,1444,0.9892111111111112,0.9919777777777777
25,243,1728,1304,0.9886222222222222,0.9914139917695474
26,255,1930,1474,0.9878901960784314,0.9907513725490196
27,233,1635,1235,0.9887725321888412,0.991519313304721
28,232,1977,1503,0.9863655172413793,0.9896344827586206
29,255,2036,1545,0.9872250980392157,0.9903058823529411
30,239,2224,1750,0.9851112970711297,0.9882845188284519
31,246,2213,1657,0.9856065040650407,0.9892227642276423
32,224,2031,1497,0.9854928571428572,0.9893071428571428
33,204,1929,1467,0.9848705882352942,0.9884941176470589
34,229,2334,1797,0.9836925764192139,0.9874445414847162
35,243,2483,1884,0.9836510288065844,0.9875950617283951
36,226,2677,2028,0.9810477876106195,0.9856424778761061
37,221,2619,2042,0.9810389140271493,0.9852162895927602
38,217,2668,2057,0.9803281105990783,0.9848331797235023
39,220,2708,2004,0.9803054545454546,0.9854254545454545
40,223,2980,2215,0.9786188340807175,0.9841076233183856
41,186,2427,1881,0.9791225806451613,0.9838193548387096
