,Game Index,Delta,Target Lives,CNN Lives,CNN Errors,GA Lives,GA Errors
0,50000,5,95,47,83,57,70
1,50001,5,163,72,134,80,111
2,50002,1,152,368,20,364,18
3,50003,2,95,432,20,425,15
4,50004,3,4,4,0,4,0
5,50005,4,131,419,112,422,85
6,50006,1,155,370,16,373,14
7,50007,2,8,110,0,110,0
8,50008,2,139,377,49,380,30
9,50009,1,156,368,25,363,19
10,50010,4,83,433,62,455,45
11,50011,3,119,416,73,422,57
12,50012,1,22,579,0,579,0
13,50013,1,193,326,31,329,29
14,50014,5,43,25,17,39,14
15,50015,3,52,482,17,511,15
16,50016,1,65,487,1,487,1
17,50017,2,156,362,71,353,49
18,50018,1,4,4,0,4,0
19,50019,4,48,467,25,480,18
20,50020,4,155,397,129,397,99
21,50021,1,11,600,0,600,0
22,50022,3,6,6,0,6,0
23,50023,4,40,523,24,499,19
24,50024,2,28,275,6,268,4
25,50025,5,124,71,105,72,80
26,50026,4,122,413,88,433,63
27,50027,4,150,384,127,388,86
28,50028,4,86,465,62,443,49
29,50029,2,93,438,21,435,16
30,50030,2,125,415,42,411,31
31,50031,3,55,488,20,498,17
32,50032,2,121,411,42,417,23
33,50033,3,6,6,0,6,0
34,50034,5,15,0,15,313,8
35,50035,1,172,352,26,350,21
36,50036,4,168,395,124,408,95
37,50037,1,99,434,6,432,5
38,50038,2,141,388,57,381,43
39,50039,3,164,371,114,387,84
40,50040,5,31,152,17,131,15
41,50041,1,35,552,1,552,1
42,50042,1,173,351,17,349,17
43,50043,5,15,15,0,15,0
44,50044,4,89,489,54,475,48
45,50045,4,148,406,131,404,92
46,50046,5,122,61,97,56,86
47,50047,3,134,380,112,375,73
48,50048,2,6,6,0,6,0
49,50049,2,156,362,58,358,44
50,50050,5,11,293,6,308,4
51,50051,3,153,389,117,377,73
52,50052,4,54,466,34,481,26
53,50053,5,156,98,134,77,102
54,50054,5,28,210,6,216,5
55,50055,3,4,4,0,4,0
56,50056,4,133,402,110,422,80
57,50057,5,48,54,27,63,17
58,50058,3,46,493,14,503,9
59,50059,4,86,480,54,462,40
60,50060,5,138,88,117,76,95
61,50061,3,131,390,98,385,69
62,50062,1,73,471,4,471,4
63,50063,5,61,46,47,40,44
64,50064,3,144,376,110,376,75
65,50065,5,120,44,92,57,77
66,50066,5,66,82,43,68,40
67,50067,1,164,349,15,348,14
68,50068,3,79,473,43,474,35
69,50069,3,160,386,96,378,74
70,50070,3,8,8,0,8,0
71,50071,2,37,481,3,475,2
72,50072,3,8,610,1,610,1
73,50073,3,45,555,8,558,6
74,50074,1,168,345,28,338,18
75,50075,1,142,370,16,369,14
76,50076,3,148,382,97,377,74
77,50077,5,39,99,30,115,26
78,50078,5,104,84,76,74,65
79,50079,1,77,469,6,469,6
80,50080,2,11,203,0,203,0
81,50081,4,197,382,171,393,114
82,50082,4,139,411,115,425,87
83,50083,5,129,88,97,79,80
84,50084,2,136,406,52,396,32
85,50085,2,17,171,1,172,0
86,50086,1,183,352,37,354,25
87,50087,2,175,361,86,349,58
88,50088,5,107,44,95,61,69
89,50089,4,36,469,23,525,15
90,50090,5,170,86,128,84,114
91,50091,1,126,379,14,372,9
92,50092,5,126,86,111,73,93
93,50093,5,113,68,98,67,85
94,50094,5,116,52,85,67,75
95,50095,5,139,78,112,78,88
96,50096,5,14,246,6,249,5
97,50097,1,48,525,0,525,0
98,50098,1,49,535,0,535,0
99,50099,2,163,386,61,382,42
100,50100,3,101,420,49,422,32
101,50101,5,106,63,81,67,74
102,50102,3,3,617,0,617,0
103,50103,3,84,438,42,444,31
104,50104,2,110,414,29,412,19
105,50105,1,8,610,0,610,0
106,50106,3,7,7,0,7,0
107,50107,1,143,379,12,377,8
108,50108,4,127,409,104,412,74
109,50109,3,23,576,6,576,6
110,50110,1,174,349,24,348,23
111,50111,2,162,355,72,345,48
112,50112,1,26,577,1,577,1
113,50113,5,6,6,0,6,0
114,50114,2,4,4,0,4,0
115,50115,1,30,561,1,561,1
116,50116,5,44,135,31,117,18
117,50117,4,165,397,141,405,100
118,50118,5,174,88,145,90,125
119,50119,3,113,424,67,418,47
120,50120,2,141,385,47,386,29
121,50121,1,101,428,12,423,8
122,50122,4,88,413,62,443,56
