,delta 0,delta 1,delta 2,delta 3,delta 4,delta 5,total
0,0,4254,1750,1112,1060,806,8982
1,0,955,337,249,39,33,1613
2,0,670,347,203,151,99,1470
3,0,607,265,159,97,168,1296
4,0,569,265,203,107,57,1201
5,0,509,201,165,103,80,1058
6,0,484,162,163,96,83,988
7,0,416,157,147,111,62,893
8,0,359,178,101,106,111,855
9,0,288,145,128,108,144,813
10,0,237,114,104,101,112,668
11,0,193,134,118,90,91,626
12,0,135,142,97,79,111,564
13,0,102,123,91,83,85,484
14,0,95,142,99,82,78,496
15,0,78,131,89,80,78,456
16,0,35,117,70,67,88,377
17,0,40,129,70,79,70,388
18,0,20,114,63,67,76,340
19,0,13,120,93,75,71,372
20,0,10,121,69,76,72,348
21,0,11,110,69,77,67,334
22,0,4,124,72,57,73,330
23,0,1,146,81,60,76,364
24,0,0,135,95,63,76,369
25,0,0,129,62,72,56,319
26,0,2,142,97,68,53,362
27,0,1,150,70,64,63,348
28,0,0,128,91,57,54,330
29,0,1,109,94,57,58,319
30,0,0,142,74,51,40,307
31,0,0,140,63,66,64,333
32,0,1,165,75,60,49,350
33,0,0,169,73,53,64,359
34,0,0,119,59,52,47,277
35,0,0,151,77,61,58,347
36,0,0,170,84,65,56,375
37,0,0,143,87,54,58,342
38,0,0,166,89,63,58,376
39,0,0,150,59,76,44,329
40,0,0,156,91,59,52,358
41,0,0,148,65,73,61,347
42,0,0,144,72,52,62,330
43,0,0,139,88,57,62,346
44,0,0,141,83,58,65,347
45,0,0,115,109,66,61,351
46,0,0,106,81,70,64,321
47,0,0,121,81,75,65,342
48,0,0,101,89,63,60,313
49,0,0,97,86,60,67,310
50,0,0,84,82,56,42,264
51,0,0,96,89,59,70,314
52,0,0,87,105,77,60,329
53,0,0,80,114,82,61,337
54,0,0,73,99,67,60,299
55,0,0,55,109,65,68,297
56,0,0,42,124,69,66,301
57,0,0,46,105,66,82,299
58,0,0,48,106,78,62,294
59,0,0,45,121,72,49,287
60,0,0,47,99,69,61,276
61,0,0,31,116,80,61,288
62,0,0,32,92,76,66,266
63,0,0,16,131,73,81,301
64,0,0,20,119,82,83,304
65,0,0,10,130,65,88,293
66,0,0,17,104,66,81,268
67,0,0,12,123,81,73,289
68,0,0,9,116,108,95,328
69,0,0,8,114,84,81,287
70,0,0,9,106,82,96,293
71,0,0,4,107,93,91,295
72,0,0,9,112,112,108,341
73,0,0,5,113,95,73,286
74,0,0,3,95,107,88,293
75,0,0,1,94,104,107,306
76,0,0,1,88,113,102,304
77,0,0,0,80,88,112,280
78,0,0,0,85,107,108,300
79,0,0,0,81,110,106,297
80,0,0,2,91,97,117,307
81,0,0,0,72,91,111,274
82,0,0,0,68,110,115,293
83,0,0,1,73,102,106,282
84,0,0,1,52,110,105,268
85,0,0,0,63,102,115,280
86,0,0,0,60,87,114,261
87,0,0,0,58,91,111,260
88,0,0,0,44,104,82,230
89,0,0,0,47,104,88,239
90,0,0,0,34,102,103,239
91,0,0,0,28,88,111,227
92,0,0,0,38,86,117,241
93,0,0,0,18,90,111,219
94,0,0,0,23,92,98,213
95,0,0,0,14,82,108,204
96,0,0,0,27,77,94,198
97,0,0,0,11,77,82,170
98,0,0,0,12,84,95,191
99,0,0,0,15,60,75,150
100,0,0,0,10,60,76,146
101,0,0,0,7,70,88,165
102,0,0,0,4,55,71,130
103,0,0,0,6,47,74,127
104,0,0,0,6,52,75,133
105,0,0,0,6,58,71,135
106,0,0,0,3,58,61,122
107,0,0,0,1,50,67,118
108,0,0,0,1,36,53,90
109,0,0,0,2,48,49,99
110,0,0,0,1,41,52,94
111,0,0,0,0,41,65,106
112,0,0,0,0,28,43,71
113,0,0,0,0,32,37,69
114,0,0,0,2,22,41,65
115,0,0,0,0,19,37,56
116,0,0,0,0,16,36,52
117,0,0,0,0,17,25,42
118,0,0,0,0,16,26,42
119,0,0,0,0,15,29,44
120,0,0,0,0,16,24,40
121,0,0,0,0,10,14,24
122,0,0,0,0,10,24,34
123,0,0,0,0,13,20,33
124,0,0,0,0,6,18,24
125,0,0,0,0,13,13,26
126,0,0,0,0,4,12,16
127,0,0,0,0,3,13,16
128,0,0,0,0,0,7,7
129,0,0,0,0,1,11,12
130,0,0,0,0,3,7,10
131,0,0,0,0,2,3,5
132,0,0,0,0,5,5,10
133,0,0,0,0,1,5,6
134,0,0,0,0,1,6,7
135,0,0,0,0,1,5,6
136,0,0,0,0,2,3,5
137,0,0,0,0,3,5,8
138,0,0,0,0,0,3,3
139,0,0,0,0,2,0,2
141,0,0,0,0,1,3,4
142,0,0,0,0,0,4,4
143,0,0,0,0,0,2,2
144,0,0,0,0,1,1,2
146,0,0,0,0,0,1,1
147,0,0,0,0,1,0,1
154,0,0,0,0,1,0,1
