,count,cnn_fails,ga_fails,cnn_accuracy,ga_accuracy
2,62,45,44,0.9988387096774194,0.9988645161290323
3,964,307,265,0.9994904564315352,0.9995601659751038
4,1137,10,10,0.999985927880387,0.999985927880387
5,247,148,131,0.9990412955465587,0.9991514170040486
6,925,102,80,0.9998235675675675,0.9998616216216216
7,377,144,106,0.9993888594164456,0.9995501326259947
8,480,220,179,0.9992666666666666,0.9994033333333333
9,349,252,188,0.9988446991404012,0.9991381088825215
10,369,266,196,0.9988466124661246,0.999150135501355
11,317,477,388,0.997592429022082,0.9980416403785489
12,556,1608,1147,0.9953726618705036,0.9966992805755396
13,245,343,277,0.99776,0.9981910204081632
14,325,657,513,0.9967655384615385,0.9974744615384615
15,330,1021,771,0.9950496969696969,0.9962618181818181
16,343,1099,830,0.9948734693877551,0.9961282798833819
17,248,770,585,0.9950322580645161,0.9962258064516128
18,319,1136,872,0.9943021943573668,0.9956263322884013
19,264,1055,832,0.9936060606060606,0.9949575757575757
20,356,1886,1436,0.991523595505618,0.9935460674157304
21,280,1459,1122,0.9916628571428572,0.9935885714285714
22,280,1386,1047,0.99208,0.9940171428571428
23,279,1486,1135,0.9914781362007169,0.9934910394265233
24,288,1893,1426,0.9894833333333334,0.9920777777777777
25,243,1678,1278,0.9889514403292181,0.9915851851851852
26,255,1882,1447,0.9881913725490196,0.9909207843137255
27,233,1552,1203,0.9893424892703863,0.9917390557939915
28,232,1929,1500,0.986696551724138,0.9896551724137931
29,255,2003,1530,0.9874321568627451,0.9904
30,239,2196,1713,0.9852987447698744,0.9885322175732217
31,246,2182,1630,0.9858081300813009,0.9893983739837399
32,224,1984,1476,0.9858285714285714,0.9894571428571428
33,204,1882,1441,0.9852392156862745,0.9886980392156863
34,229,2279,1762,0.9840768558951966,0.9876890829694324
35,243,2446,1864,0.9838946502057613,0.9877267489711934
36,226,2627,1993,0.9814017699115044,0.9858902654867256
37,221,2584,2010,0.9812923076923077,0.9854479638009049
38,217,2643,1993,0.9805124423963134,0.985305069124424
39,220,2653,1989,0.9807054545454545,0.9855345454545454
40,223,2879,2136,0.9793434977578476,0.9846744394618834
41,186,2340,1829,0.9798709677419355,0.9842666666666666
42,200,2422,1905,0.980624,0.98476
43,204,2883,2190,0.9773882352941177,0.9828235294117647
44,212,3244,2478,0.9755169811320755,0.9812981132075471
45,214,3267,2566,0.9755738317757009,0.9808149532710281
46,185,3079,2326,0.9733708108108108,0.9798832432432433
47,176,2916,2181,0.9734909090909091,0.9801727272727273
48,198,3306,2519,0.9732848484848485,0.9796444444444444
49,213,3557,2755,0.9732807511737089,0.9793051643192489
50,202,3386,2534,0.9731801980198019,0.9799287128712871
51,206,3744,2829,0.9709203883495146,0.9780271844660194
52,175,3191,2402,0.9708251428571428,0.9780388571428571
53,171,3017,2325,0.9717707602339182,0.9782456140350877
54,193,3971,3084,0.967079792746114,0.9744331606217617
55,168,3552,2779,0.9661714285714286,0.9735333333333334
56,205,4363,3295,0.9659473170731707,0.9742829268292683
57,178,3462,2614,0.9688808988764045,0.9765033707865168
58,165,3698,2848,0.964140606060606,0.9723830303030303
59,186,4434,3384,0.961858064516129,0.9708903225806451
60,179,3969,3005,0.9645229050279329,0.9731396648044692
61,185,4501,3440,0.9610724324324325,0.9702486486486487
62,182,4272,3223,0.962443956043956,0.971665934065934
63,177,4196,3209,0.9620700564971751,0.9709920903954802
64,202,4918,3672,0.9610455445544555,0.9709148514851486
65,205,5143,3796,0.959859512195122,0.9703726829268293
66,221,6238,4838,0.9548380090497738,0.9649737556561085
67,186,5234,3952,0.9549763440860215,0.9660043010752688
68,211,5940,4484,0.954957345971564,0.9659981042654029
69,187,5458,4027,0.9533005347593583,0.965544385026738
70,185,5395,4107,0.9533405405405405,0.96448
71,179,5079,3844,0.9546011173184358,0.9656402234636872
72,202,6217,4745,0.9507564356435644,0.9624158415841584
73,202,6579,4985,0.9478891089108911,0.9605148514851485
74,193,5546,4062,0.9540227979274611,0.9663253886010362
75,172,6205,4728,0.9422790697674419,0.9560186046511628
76,156,4888,3695,0.9498666666666666,0.9621025641025641
77,190,6790,5122,0.942821052631579,0.9568673684210526
78,191,6787,5114,0.9431455497382198,0.9571602094240838
79,182,6349,4786,0.9441846153846154,0.9579252747252748
80,204,7306,5439,0.9426980392156863,0.9573411764705883
81,190,7235,5375,0.9390736842105263,0.9547368421052631
82,205,7552,5690,0.9410575609756098,0.9555902439024391
83,231,8406,6318,0.9417766233766234,0.956238961038961
84,202,7683,5830,0.9391445544554455,0.9538217821782178
85,188,7456,5544,0.9365446808510638,0.9528170212765957
86,201,7894,5762,0.9371621890547264,0.9541333333333333
87,206,8570,6380,0.9334368932038835,0.9504466019417476
88,207,8819,6573,0.9318338164251208,0.9491942028985507
89,191,8095,5964,0.9321884816753927,0.9500397905759163
90,232,9943,7553,0.9314275862068966,0.9479103448275862
91,199,8603,6477,0.9308301507537688,0.9479236180904522
92,232,9803,7247,0.9323931034482759,0.9500206896551724
93,239,10125,7408,0.9322175732217574,0.9504066945606695
94,224,10474,7849,0.9251857142857143,0.9439357142857143
95,249,11707,8826,0.924774297188755,0.9432867469879518
96,233,10994,8257,0.9245047210300429,0.9432995708154507
97,224,11321,8400,0.9191357142857143,0.94
98,241,11957,8992,0.9206174273858921,0.9403020746887967
99,207,9965,7359,0.922975845410628,0.9431188405797102
100,261,13672,10297,0.9161869731800767,0.9368766283524904
101,223,12114,9037,0.9130834080717489,0.9351605381165919
102,217,11191,8396,0.9174857142857142,0.9380940092165898
103,254,14147,10550,0.9108850393700787,0.9335433070866141
104,262,14202,10431,0.9132702290076335,0.9362992366412214
105,278,15592,11880,0.9102618705035971,0.9316258992805755
106,247,13550,10041,0.9122267206477732,0.9349570850202429
107,262,14680,11090,0.9103511450381679,0.9322748091603054
108,253,14671,11010,0.9072189723320159,0.9303715415019763
109,234,13569,10080,0.9072205128205129,0.931076923076923
110,300,17088,12771,0.908864,0.931888
111,295,18503,13910,0.8996447457627119,0.9245559322033898
112,279,16871,12430,0.9032487455197132,0.9287168458781362
113,285,17897,13243,0.8995256140350877,0.9256533333333333
114,288,19372,14478,0.8923777777777778,0.9195666666666666
115,298,18824,14018,0.8989315436241611,0.9247355704697986
116,287,18474,13859,0.8970090592334495,0.9227372822299652
117,300,19903,14770,0.8938506666666667,0.9212266666666666
118,284,19416,14505,0.8906140845070423,0.918281690140845
119,329,21713,16268,0.8944048632218845,0.9208851063829787
120,358,25033,18766,0.8881206703910615,0.9161296089385474
121,316,22179,16377,0.8877012658227847,0.9170784810126582
122,342,23746,17614,0.8889076023391813,0.9175953216374269
123,312,22594,16573,0.8841333333333333,0.9150102564102565
124,343,24730,18275,0.8846413994169097,0.9147521865889213
125,338,24534,18279,0.8838627218934911,0.9134721893491125
126,331,24437,18215,0.8818755287009064,0.9119516616314199
127,373,27569,20268,0.8817415549597856,0.9130595174262734
128,323,23774,17300,0.8822340557275542,0.9143034055727555
129,323,23533,17378,0.8834278637770898,0.9139170278637772
130,389,29059,21487,0.8804771208226221,0.9116215938303341
131,364,26805,19806,0.8821758241758242,0.9129406593406594
132,407,30437,22475,0.880345945945946,0.9116461916461917
133,389,30367,22194,0.8750971722365039,0.9087136246786632
134,394,30310,22567,0.8769137055837564,0.9083573604060914
135,380,28382,20771,0.8804968421052631,0.9125431578947368
136,364,27642,20475,0.8784967032967033,0.91
137,427,35558,26279,0.8667615925058548,0.9015306791569087
138,389,29806,21885,0.8774046272493573,0.9099845758354755
139,387,29609,21719,0.8775855297157623,0.9102056847545219
140,362,29307,21520,0.8704662983425414,0.9048839779005525
141,399,32320,23763,0.8703959899749374,0.9047097744360902
142,377,28354,20891,0.8796647214854112,0.9113379310344828
143,387,31071,22631,0.8715410852713178,0.906435142118863
144,360,28760,20782,0.8721777777777777,0.9076355555555555
145,371,31230,23241,0.8653153638814016,0.8997692722371968
146,393,31755,23463,0.8707175572519084,0.9044763358778626
147,439,33309,24363,0.8786004555808656,0.9112054669703873
148,374,31365,22819,0.8658181818181818,0.9023786096256684
149,345,27727,20583,0.8714110144927536,0.9045426086956522
150,381,31020,22561,0.8697322834645669,0.9052556430446195
151,368,31012,22659,0.8651652173913044,0.9014826086956522
152,304,25221,18217,0.8672578947368421,0.9041210526315789
153,348,29213,21344,0.865687356321839,0.9018666666666667
154,357,29765,21726,0.8665994397759104,0.9026285714285714
155,372,31169,22732,0.8659397849462366,0.9022279569892473
156,311,26676,19403,0.8627601286173634,0.9001774919614148
157,317,25220,18231,0.8727066246056783,0.9079823343848581
158,309,25259,18393,0.8692090614886732,0.9047611650485436
159,263,22256,16166,0.8646022813688212,0.901651711026616
160,296,22622,16348,0.877718918918919,0.9116324324324324
161,261,23875,17287,0.8536398467432951,0.8940260536398468
162,300,24330,17402,0.87024,0.9071893333333333
163,288,25095,18463,0.8605833333333334,0.8974277777777778
164,262,21996,15789,0.8656732824427481,0.9035786259541985
165,252,19263,13971,0.8776952380952381,0.9112952380952382
166,246,19656,14394,0.8721560975609756,0.906380487804878
167,205,17214,12587,0.8656468292682926,0.90176
168,228,20911,15144,0.8532561403508772,0.8937263157894737
169,218,18606,13470,0.8634422018348624,0.9011376146788991
170,198,15826,11481,0.8721131313131313,0.9072242424242424
171,207,17408,12724,0.8654454106280194,0.9016502415458937
172,184,16174,11719,0.8593565217391305,0.8980956521739131
173,160,13950,10233,0.8605,0.89767
174,143,12299,8764,0.8623888111888112,0.9019412587412587
175,158,13383,9673,0.8644759493670886,0.9020455696202532
176,151,13026,9414,0.8619761589403974,0.9002490066225166
177,124,10088,7282,0.8698322580645161,0.9060387096774194
178,137,12209,8789,0.8574131386861313,0.8973547445255474
179,117,9706,6918,0.867268376068376,0.9053948717948718
180,94,7772,5594,0.8677106382978723,0.9047829787234043
181,91,7785,5524,0.8631208791208791,0.9028747252747252
182,108,9093,6673,0.8652888888888889,0.9011407407407408
183,96,6605,4682,0.8899166666666667,0.9219666666666666
184,65,5379,3856,0.8675938461538462,0.9050830769230769
185,78,5958,4225,0.8777846153846154,0.9133333333333333
186,74,5628,3975,0.8783135135135135,0.914054054054054
187,69,5572,3938,0.8707942028985507,0.9086840579710145
188,61,4997,3511,0.8689311475409836,0.9079081967213115
189,52,3752,2703,0.8845538461538461,0.9168307692307692
190,41,3555,2540,0.8612682926829268,0.9008780487804878
191,35,2816,2011,0.8712685714285714,0.9080685714285714
192,40,2398,1636,0.90408,0.9345600000000001
193,45,3676,2604,0.8692977777777777,0.9074133333333333
194,33,2107,1422,0.8978424242424242,0.9310545454545455
195,32,2771,1988,0.86145,0.9006
196,28,2329,1679,0.8669142857142857,0.9040571428571429
197,22,1811,1298,0.8682909090909091,0.9056
198,22,2026,1419,0.8526545454545454,0.8968
199,27,2060,1479,0.8779259259259259,0.9123555555555556
200,19,1815,1294,0.8471578947368421,0.8910315789473684
201,16,1187,828,0.8813,0.9172
202,13,1018,730,0.8747076923076923,0.9101538461538462
203,18,1044,808,0.9072,0.9281777777777778
204,12,1191,826,0.8412,0.8898666666666667
205,18,1606,1166,0.8572444444444445,0.8963555555555556
206,9,950,680,0.8311111111111111,0.8791111111111111
207,8,835,614,0.833,0.8772
208,3,131,81,0.9301333333333334,0.9568
209,5,252,194,0.91936,0.93792
210,5,148,91,0.95264,0.97088
211,2,115,84,0.908,0.9328
212,5,573,409,0.81664,0.86912
213,3,472,347,0.7482666666666666,0.8149333333333333
216,1,162,109,0.7408,0.8256
217,2,31,23,0.9752,0.9816
219,4,268,178,0.8928,0.9288
222,1,93,65,0.8512,0.896
223,1,123,80,0.8032,0.872
225,1,14,11,0.9776,0.9824
226,1,161,110,0.7424,0.8240000000000001
227,1,146,99,0.7664,0.8416
228,1,30,13,0.952,0.9792
233,1,8,7,0.9872,0.9888
235,1,211,154,0.6624,0.7536
