,Game Index,Delta,Target Lives,CNN Lives,CNN Errors,GA Lives,GA Errors
0,50000,5,95,62,91,57,66
1,50001,5,163,74,138,90,109
2,50002,1,152,148,6,147,5
3,50003,2,95,432,20,425,15
4,50004,3,4,4,0,4,0
5,50005,4,131,417,108,420,84
6,50006,1,155,160,4,158,3
7,50007,2,8,110,0,110,0
8,50008,2,139,376,49,374,31
9,50009,1,156,155,13,156,10
10,50010,4,83,428,62,436,47
11,50011,3,119,421,78,417,53
12,50012,1,22,20,0,20,0
13,50013,1,193,200,12,198,8
14,50014,5,43,51,16,51,16
15,50015,3,52,475,18,503,15
16,50016,1,65,64,0,64,0
17,50017,2,156,351,69,357,45
18,50018,1,4,4,0,4,0
19,50019,4,48,450,27,490,16
20,50020,4,155,393,130,396,99
21,50021,1,11,16,0,16,0
22,50022,3,6,6,0,6,0
23,50023,4,40,523,24,508,22
24,50024,2,28,271,4,271,4
25,50025,5,124,71,105,70,77
26,50026,4,122,417,84,413,57
27,50027,4,150,395,120,391,83
28,50028,4,86,431,64,431,41
29,50029,2,93,438,21,435,18
30,50030,2,125,405,40,411,33
31,50031,3,55,478,20,488,16
32,50032,2,121,418,37,416,24
33,50033,3,6,6,0,6,0
34,50034,5,15,316,11,310,5
35,50035,1,172,174,21,169,12
36,50036,4,168,401,126,408,92
37,50037,1,99,92,4,92,3
38,50038,2,141,388,57,382,39
39,50039,3,164,386,123,380,78
40,50040,5,31,146,20,142,15
41,50041,1,35,36,0,36,0
42,50042,1,173,165,5,165,3
43,50043,5,15,15,0,15,0
44,50044,4,89,436,50,440,39
45,50045,4,148,387,135,398,99
46,50046,5,122,61,97,63,80
47,50047,3,134,382,114,380,79
48,50048,2,6,6,0,6,0
49,50049,2,156,362,58,362,44
50,50050,5,11,293,6,298,3
51,50051,3,153,373,114,378,71
52,50052,4,54,457,35,500,21
53,50053,5,156,76,138,84,101
54,50054,5,28,211,6,214,5
55,50055,3,4,4,0,4,0
56,50056,4,133,397,112,396,67
57,50057,5,48,82,26,69,20
58,50058,3,46,491,12,509,9
59,50059,4,86,480,54,462,37
60,50060,5,138,84,124,85,106
61,50061,3,131,390,98,379,72
62,50062,1,73,71,0,71,0
63,50063,5,61,58,44,50,40
64,50064,3,144,376,107,382,72
65,50065,5,120,53,95,61,79
66,50066,5,66,82,43,84,41
67,50067,1,164,177,13,177,3
68,50068,3,79,454,41,473,36
69,50069,3,160,386,96,381,68
70,50070,3,8,8,0,8,0
71,50071,2,37,481,3,475,2
72,50072,3,8,610,1,610,1
73,50073,3,45,555,8,543,7
74,50074,1,168,173,20,169,13
75,50075,1,142,163,22,168,11
76,50076,3,148,381,100,385,72
77,50077,5,39,100,36,108,23
78,50078,5,104,57,77,67,66
79,50079,1,77,85,1,85,1
80,50080,2,11,203,0,203,0
81,50081,4,197,378,175,391,125
82,50082,4,139,402,113,406,85
83,50083,5,129,72,102,76,83
84,50084,2,136,403,48,396,27
85,50085,2,17,171,0,171,0
86,50086,1,183,166,7,166,6
87,50087,2,175,359,86,344,61
88,50088,5,107,78,91,63,68
89,50089,4,36,473,21,522,14
90,50090,5,170,86,128,85,106
91,50091,1,126,135,7,138,3
92,50092,5,126,85,109,78,93
93,50093,5,113,85,94,77,78
94,50094,5,116,60,87,69,75
95,50095,5,139,78,112,76,89
96,50096,5,14,242,6,249,4
97,50097,1,48,47,0,47,0
98,50098,1,49,42,2,43,1
99,50099,2,163,386,61,380,39
100,50100,3,101,422,45,420,37
101,50101,5,106,85,82,78,68
102,50102,3,3,617,0,617,0
103,50103,3,84,449,45,450,36
104,50104,2,110,421,29,413,18
105,50105,1,8,7,0,7,0
106,50106,3,7,7,0,7,0
107,50107,1,143,141,7,139,6
108,50108,4,127,409,100,413,71
109,50109,3,23,576,6,540,5
110,50110,1,174,164,20,162,10
111,50111,2,162,355,72,346,50
112,50112,1,26,21,0,21,0
113,50113,5,6,6,0,6,0
114,50114,2,4,4,0,4,0
115,50115,1,30,27,1,27,0
116,50116,5,44,139,28,123,15
117,50117,4,165,379,140,392,117
118,50118,5,174,88,145,92,119
119,50119,3,113,424,67,416,48
120,50120,2,141,383,44,385,29
121,50121,1,101,113,3,114,1
122,50122,4,88,441,64,438,56
123,50123,4,18,18,0,18,0
124,50124,4,96,417,84,431,62
125,50125,2,25,476,0,476,0
126,50126,2,62,470,6,472,4
127,50127,3,24,580,3,580,3
128,50128,3,158,382,100,384,76
129,50129,4,128,418,109,410,73
130,50130,5,80,51,57,54,47
131,50131,4,140,429,109,418,81
132,50132,3,12,604,4,604,4
133,50133,5,3,498,0,498,0
134,50134,5,74,39,41,49,24
135,50135,1,42,37,0,37,0
136,50136,5,7,368,3,368,3
137,50137,4,176,376,150,379,111
138,50138,4,44,482,24,472,21
139,50139,2,144,386,54,383,34
140,50140,3,139,399,71,393,52
141,50141,5,22,364,10,367,8
142,50142,1,176,182,18,184,10
143,50143,4,40,482,14,486,13
144,50144,4,123,414,98,431,68
145,50145,1,146,149,5,150,2
146,50146,1,124,129,9,128,5
147,50147,1,10,10,0,10,0
148,50148,2,83,451,28,444,21
149,50149,2,61,388,15,386,12
150,50150,4,126,410,103,414,86
151,50151,2,77,473,17,479,16
152,50152,4,93,441,73,438,53
153,50153,3,133,398,90,409,56
154,50154,4,25,477,13,487,13
155,50155,1,29,21,0,21,0
156,50156,2,175,373,70,368,53
157,50157,1,177,194,18,192,10
158,50158,3,103,407,63,406,50
159,50159,4,30,478,18,509,12
160,50160,5,84,41,54,60,50
161,50161,1,79,77,0,77,0
162,50162,4,116,391,98,409,71
163,50163,4,146,418,116,411,83
164,50164,5,84,53,67,52,58
165,50165,1,193,189,13,190,11
166,50166,2,18,165,1,165,1
167,50167,5,149,77,129,85,105
168,50168,1,112,109,4,111,2
169,50169,3,119,406,67,411,52
170,50170,3,156,392,121,389,81
171,50171,1,99,104,4,102,3
172,50172,5,130,64,108,77,83
173,50173,5,133,85,113,83,81
174,50174,1,72,77,0,77,0
175,50175,2,148,371,57,369,50
176,50176,3,6,609,1,609,1
177,50177,5,6,6,0,6,0
178,50178,2,106,422,28,420,20
179,50179,5,4,4,0,4,0
180,50180,4,15,597,1,597,1
181,50181,1,44,42,0,42,0
